Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  AMY_d1_m2-VR-006.txt
Log File Name:                   AMY_d1_m2-VR-006.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            2733249748
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   AMY_d1_m2-VR-006.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	No RJ Local Branch	No RJ Local Node	
1000000	360.435094	1	0.301250740933	0.671078724423	0.471269429872	0.181386700821	0.455360660393	0.383362688989	0.366668675484	-0.162386793035	-0.005547378610	-0.168181443703	-0.109808748585	-0.260193244440	0.000354404186	0.911326697963	N\A	0.058370116033	0.219266784482	0.204800154298	0.213923240281	0.209359996687	0.310546040583	0.062615581383	0.061091810655	0.061228410552	0.064738289859	0.063793465232	57	25	
1050000	344.504902	1	0.047965548809	0.606689681501	0.075812488242	0.161409639896	0.601503442691	0.423723214204	0.717068009725	-0.044242045087	0.033750376606	-0.080199805322	-0.077159206806	-0.099726517725	0.000171275965	0.911651552797	N\A	0.065750402127	0.280589413848	0.189378654039	0.226497778648	0.192204994407	0.246663793191	0.069045095331	0.067966317787	0.072829311186	0.070232454813	0.069332196097	56	25	
1100000	355.283328	1	0.171466846366	0.623270058345	0.314810875522	0.138000095114	0.707798223945	0.269736082621	0.602535404653	-0.073837362323	0.040750329791	-0.102825289268	-0.078514861368	-0.205644539301	0.000168619268	0.911068208326	N\A	0.065837730146	0.219768940077	0.206154117625	0.217763184892	0.212723660959	0.258409738782	0.069282017264	0.067868852479	0.071344948204	0.071884339948	0.070885501945	48	24	
1150000	356.807558	1	0.168791713301	0.616221316143	0.555667259647	0.349228474826	0.806806300415	0.536098326690	0.566591662052	-0.074838794567	0.043006039514	-0.117376919872	-0.130442722907	-0.192668237622	0.000236559287	0.909658617809	N\A	0.048400283429	0.201368035734	0.194727749193	0.198474999514	0.198294847128	0.256895880800	0.054028487800	0.051691719513	0.052706684473	0.056221473262	0.054098096666	51	31	
1200000	371.042975	1	0.278590790140	0.687163211362	0.357914692532	0.165047002100	0.210314704286	0.324471762395	0.333195666404	-0.147565670558	-0.035524495308	-0.114706849455	-0.141182228984	-0.215369959609	0.000193785559	0.911790862460	N\A	0.055741933861	0.200050783622	0.184325306811	0.200711566123	0.190113737554	0.244055069192	0.059629819181	0.058408196188	0.062263984903	0.061839104981	0.059544706773	40	30	
1250000	354.256773	1	-0.129203805980	0.714661603396	0.709498139661	0.595495708840	1.156173605198	0.530532379164	0.663748775409	-0.170479651702	-0.094630821161	-0.219785310620	-0.130685022137	-0.218471321972	0.000201170927	0.908783126265	N\A	0.085993017988	0.341228153118	0.331339865936	0.336600306367	0.336099705863	0.369774465016	0.088991425378	0.087634417348	0.089298891183	0.092122392529	0.088773194778	39	21	
1300000	364.010594	1	0.079062206685	0.732806550039	0.137443243955	0.162371446639	1.003652431718	0.363174479374	0.697260404373	-0.161044883438	-0.062113017970	-0.182818836934	-0.177161706208	-0.273106097083	0.000259516734	0.925570865440	N\A	0.055767891613	0.229097831239	0.211923193931	0.464046782731	0.216522145701	0.280364203786	0.058272356376	0.058049806259	0.061442840428	0.063584930649	0.060074701859	56	26	
1350000	356.731503	1	0.217559426558	0.628838600156	0.371060118157	0.301077433142	0.864770750592	0.484060896992	0.368319526425	-0.066180244286	0.016104811060	-0.170732929180	-0.102972186405	-0.168986448794	0.000200887397	0.959873741331	N\A	0.045569941604	0.185505354094	0.167709487128	0.260363216090	0.173074925992	0.236763456973	0.050388384298	0.046271070941	0.061663125960	0.053173464252	0.051165278545	47	23	
1400000	355.237141	1	0.327831154614	0.589146714557	0.649822413884	0.524472586585	0.572027728348	0.519947820232	-0.120257260387	-0.070443510319	0.059954718899	-0.094506035025	-0.062510869666	-0.068304003347	0.000367176342	0.906502437877	N\A	0.063030790130	0.226379165130	0.213547961326	0.250192491275	0.216511076820	0.318642400493	0.067392605694	0.065109889960	0.070846024048	0.067919410230	0.069183834349	50	24	
1450000	339.729102	1	-0.011801115004	0.664812859541	0.632140300032	0.425402055591	0.590307915131	0.439304228966	0.843082677244	-0.177976095553	-0.073257153541	-0.120458623811	-0.135777569936	-0.206643090110	0.000245071884	0.893341868242	N\A	0.050428940857	0.208011313014	0.193455660830	0.202644514094	0.211237249851	0.261621301312	0.055803896898	0.053839852873	0.057604238627	0.059701361653	0.057086311768	49	21	
1500000	352.487765	1	0.422609068579	0.621643007296	0.247812812524	0.149496417836	0.349311693620	0.069740243093	0.073837511690	-0.075550073652	-0.032960480744	-0.117966914839	-0.104155907514	-0.142173180410	0.000201779167	0.903382120534	N\A	0.043758493353	0.185655218364	0.168768802177	0.265156206692	0.173841303747	0.267994990204	0.048907595787	0.047178209339	0.052418600813	0.052921336861	0.050823813520	53	25	
1550000	361.430094	1	-0.024038391939	0.680346751130	0.437219561559	0.334930478698	0.770745984119	0.541803864580	1.092702568525	-0.127546564162	-0.039544081018	-0.218507833770	-0.125190320151	-0.175797474303	0.000201666231	0.915625386845	N\A	0.043529482156	0.186395113970	0.169126029105	0.210263900015	0.173214011545	0.385251560718	0.048504385754	0.046802798363	0.052717837780	0.052002230707	0.047560925247	43	29	
1600000	350.573200	1	-0.202684758467	1.009564276792	0.507703822877	0.388791570151	0.891171614663	0.771671751629	0.782892259598	-0.443359490994	-0.376440428644	-0.505033859917	-0.443523612673	-0.521602426026	0.000208036991	0.915566849481	N\A	0.113916879207	0.484176058020	0.476419606513	0.350234325881	0.345631565137	0.379853143201	0.117277663825	0.115226139889	0.115247545905	0.117688363831	0.115325873299	39	34	
1650000	362.832365	1	-0.166070022172	0.734581515171	0.808128724304	0.691182052325	1.301117044858	0.651755161800	0.811722640312	-0.159392917928	-0.081137979378	-0.316983014753	-0.232022319298	-0.244530637521	0.000276629507	0.901187569817	N\A	0.051098115082	0.204051746735	0.189093767474	0.215809406506	0.201036605784	0.274367451383	0.055358704004	0.054133195026	0.060236717633	0.060085516166	0.056248782802	43	22	
1700000	372.058041	1	0.548835749602	0.739586837210	0.519184913392	0.522941793799	0.668776917191	0.550498955880	0.067821587858	-0.181438041284	-0.092104639892	-0.187998712836	-0.229396457099	-0.254146734245	0.000200028934	0.913922950191	N\A	0.045748683283	0.190072796798	0.171922425363	0.185314749101	0.176920528885	0.549639224240	0.051631424745	0.049072221176	0.053013292039	0.053365085281	0.049512208150	52	23	
1750000	359.996319	1	0.054332075026	0.621550469385	0.483745099646	0.487199558843	0.660335373646	0.491139879972	0.630846075916	-0.068247473132	0.022052890990	-0.092659121607	-0.101629596580	-0.152018299567	0.000368763705	0.904298852268	N\A	0.059724539937	0.223449330417	0.209666904305	0.238649652864	0.218813951200	0.322412261119	0.064003092152	0.061887385645	0.067884367519	0.068086359160	0.066018964459	49	26	
1800000	370.237792	1	0.226495974072	0.628284223375	0.218860856829	0.258445668916	0.579330743046	0.231816607661	0.215424480459	-0.050768566197	0.007225515115	-0.134729091853	-0.043082804430	-0.161264309561	0.000177478791	0.920814076655	N\A	0.123559419569	0.302619409532	0.293864343167	0.308015996789	0.298378199250	0.561149002535	0.125862114657	0.124393657857	0.127658558705	0.126872794667	0.125115096300	41	29	
1850000	354.101131	1	0.026208752931	0.684119259537	0.619095531050	0.412389330424	0.739919841361	0.538153902289	0.795556881220	-0.170622604734	-0.024744803607	-0.236603607666	-0.192856225608	-0.231401668427	0.000344889249	0.902836802956	N\A	0.048416265831	0.323051766327	0.311302750541	0.320661863760	0.315223912187	0.387524882362	0.053647900512	0.051508452943	0.056190824653	0.058012909813	0.053714263129	52	24	
1900000	357.193223	1	0.511079920116	0.533140524622	-0.006718752195	-0.208768134074	0.051559018560	-0.043534999037	0.197572689014	0.002449848958	0.145547670074	-0.006956017383	0.037997026527	-0.073875848132	0.000170112869	0.901567155563	N\A	0.066620624669	0.199359425896	0.183327913721	0.220081641291	0.185216104971	0.239586302597	0.069872286854	0.069671286049	0.073251441794	0.070303172998	0.070137471527	60	24	
1950000	360.278985	1	0.192039901548	0.632602640840	0.602251502603	0.470415047449	0.616637540702	0.213951108558	0.040244994265	-0.120397393110	0.008244341391	-0.108256898353	-0.074715211125	-0.183585179694	0.000216798849	0.911504675505	N\A	0.048664006082	0.180160273080	0.160758149662	0.183800134470	0.172271294320	0.392939873860	0.053516161031	0.051431202765	0.059375794967	0.057435378484	0.052122988243	44	34	
2000000	356.209041	1	0.018218378646	0.637258892504	0.685672945772	0.506527851118	0.838171249382	0.567045966891	0.640951601184	-0.105822312415	-0.004840347460	-0.140511370996	-0.129977847142	-0.155745605917	0.000164593652	0.911906205403	N\A	0.051975327082	0.182571042521	0.167754888513	0.186877970198	0.169962957154	0.219661571993	0.055705000709	0.054788974020	0.059045486826	0.056998455621	0.058436691981	51	21	
2050000	349.569811	1	0.554313740263	0.635281277390	-0.172378259309	-0.228230946992	0.339004422926	-0.062706558624	0.032603072186	-0.043717136990	0.012324725604	-0.135574577030	-0.077458280950	-0.202070064498	0.000245741963	0.902077754932	N\A	0.066522987595	0.620656110446	0.613357676119	0.621346180283	0.615248270750	0.787584446136	0.073404129218	0.068376060339	0.072342154524	0.072780564473	0.071043792742	49	22	
2100000	363.459674	1	0.419348969089	0.637557218930	0.220120911859	0.010401728349	0.358601847804	0.094570311294	0.227984781607	-0.133980893683	-0.019108529647	-0.097249378434	-0.084937597089	-0.203199877489	0.000182492018	0.912442811959	N\A	0.076703075712	0.221513129170	0.208475913287	0.221088256489	0.216911471931	0.259820274231	0.079552215938	0.078491047049	0.081660195170	0.081559063366	0.079180304953	45	24	
2150000	360.929851	1	-0.021288031542	0.715681324487	0.562885389800	0.497088156632	0.961110786476	0.492350220160	0.805181663479	-0.168497671805	-0.088234526742	-0.219352244024	-0.185776882239	-0.273348989490	0.000218034355	0.908067371753	N\A	0.070900186507	0.415311021073	0.410155862139	0.244876171822	0.210239081678	0.273425831360	0.074413402949	0.072970981444	0.077561057726	0.076066728573	0.074099837508	50	21	
