Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  AMY_d1_m2-bm-001.txt
Log File Name:                   AMY_d1_m2-bm-001.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            3614282964
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   AMY_d1_m2-bm-001.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	
1000000	255.556544	1	-0.445376736515	0.776132905292	0.963443256736	0.801450310730	1.384476279694	0.961985682141	1.189594463325	-0.240799260423	-0.098229570936	-0.243125331123	-0.258273562514	-0.315951682380	0.000567618629	0.820670132109	N\A	0.072943826000	0.311300811844	0.281579292224	0.295150898317	0.286056120385	0.387860988740	0.081163820757	0.078328432530	0.081425980239	0.084618454031	0.077341330282	
1050000	257.780439	1	-0.019983318720	0.801383566742	0.573634910285	0.405442547572	1.060601609933	0.685459548726	0.590713064737	-0.293443665890	-0.172610550954	-0.380269928970	-0.265707310895	-0.321599418024	0.000560326777	0.822973874285	N\A	0.072473778946	0.309294802049	0.279764806695	0.293248957909	0.284212786357	0.385361628272	0.080640804390	0.077823687290	0.080901274528	0.084073176148	0.076842945889	
1100000	260.789464	1	-0.158818914297	0.728137985562	0.964619922139	0.598365801815	1.187971785791	0.529485785077	0.881048905361	-0.250321975775	-0.101540684180	-0.269649929880	-0.146856812821	-0.268438418295	0.000550609481	0.826043895605	N\A	0.071842603337	0.306601147354	0.277328329328	0.290695046796	0.281737571445	0.382005506048	0.079938501992	0.077145919222	0.080196703689	0.083340981155	0.076173719117	
1150000	259.410516	1	-0.015231497310	0.795145947216	0.489891695858	0.362139800869	0.741744343921	0.260423304127	0.717344472873	-0.242150463215	-0.128453349818	-0.271831021537	-0.142112391447	-0.342799518960	0.000555041537	0.824643659663	N\A	0.072131167431	0.307832646190	0.278442250517	0.291862656946	0.282869202863	0.383539875179	0.080259584196	0.077455784695	0.080518822990	0.083675729808	0.076479679637	
1200000	257.004145	1	0.661539600695	0.516520337729	0.114382403399	-0.031373164016	0.307843685617	-0.008291164700	-0.232896539723	0.057588163326	0.160532344382	-0.049867592345	0.106679696113	-0.066799483509	0.000562861435	0.822173090382	N\A	0.072637512834	0.309993565675	0.280396855697	0.293911470515	0.284854884303	0.386232243255	0.080822989349	0.077999507775	0.081084047945	0.084263115575	0.077016550667	
1250000	260.647577	1	-0.078801829658	0.679064604439	0.656159048235	0.391039966940	0.934824960202	0.579685892724	0.730777517338	-0.167999217179	-0.002968150980	-0.189591013883	-0.053786400339	-0.197460136958	0.000551063880	0.825900335846	N\A	0.071872241791	0.306727634751	0.277442740310	0.290814972178	0.281853801447	0.382163101290	0.079971480384	0.077177745543	0.080229788602	0.083375363230	0.076205144360	
1300000	258.738663	1	0.138050802911	0.694067245088	0.333542219821	0.123075153679	0.772016474862	0.208860963224	0.481168622934	-0.115504896625	-0.081494453842	-0.177129726448	-0.070281494989	-0.220515364450	0.000557213837	0.823957356892	N\A	0.072272181660	0.308434449609	0.278986596610	0.292433239524	0.283422203513	0.384289683917	0.080416489231	0.077607208388	0.080676234829	0.083839313304	0.076629195074	
1350000	258.256948	1	-0.085380520877	0.694762538340	0.812291772501	0.608558464665	0.900358543646	0.384825351273	0.872285835476	-0.108366043041	-0.002313144772	-0.226072066783	-0.123322085680	-0.238143015675	0.000558776593	0.823463629510	N\A	0.072373457608	0.308866662814	0.279377544157	0.292843030026	0.283819366733	0.384828194049	0.080529177903	0.077715960378	0.080789287486	0.083956798424	0.076736576562	
1400000	253.814052	1	0.219165075141	0.636259651612	-0.056663469130	-0.408578930987	0.539410060598	-0.285649379115	0.718353885017	-0.154121405246	0.035909445207	-0.193903883647	0.040465203399	-0.142164397385	0.000573398267	0.818844149640	N\A	0.073314251769	0.312881670006	0.283009217575	0.296649743450	0.287508780114	0.389830637345	0.081575989577	0.078726202588	0.081839480367	0.085048166286	0.077734087604	
1450000	254.989390	1	0.398517095400	0.558209310127	0.021504010361	-0.264788979452	0.309133533080	-0.304499372440	0.524853145916	0.015267770118	0.069902466891	-0.146484565699	0.063472104129	-0.080189414698	0.000569493388	0.820077832769	N\A	0.073064187891	0.311814477724	0.282043915732	0.295637915827	0.286528130940	0.388500983718	0.081297746156	0.078457679360	0.081560338218	0.084758079792	0.077468948332	
