Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  AMY_d1_m2-fab-005.txt
Log File Name:                   AMY_d1_m2-fab-005.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            3717862612
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   AMY_d1_m2-fab-005.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.287140
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.67 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	No RJ Local Node	No RJ LS Betas	
1000000	380.857216	1	0.211260835984	0.643954484738	0.868058365039	0.371697447624	0.565673853251	0.495939776770	0.308394833968	-0.107258944530	-0.018311185184	-0.099176613442	-0.154911712076	-0.147102707207	0.000215414768	0.916428562558	N\A	0.079179582665	0.275768932021	0.264957887543	0.272801041464	0.260755712711	0.319088611913	0.081960291543	0.081145610764	0.083179935668	0.081556538162	0.082017199081	26	11	
1050000	383.722586	1	-0.515540745115	0.709618847939	1.726376334173	0.461053783244	0.628442518377	0.226022232344	1.305563100531	-0.132144419377	-0.101799567895	-0.171278092515	-0.179380823056	-0.261099918776	0.000238643457	0.934718032288	N\A	0.052109597083	0.198887804205	0.181925749239	0.196085515670	0.186824617712	0.254576333609	0.056128994329	0.054691032696	0.057109804488	0.058289529814	0.053689222317	44	15	
1100000	396.412343	1	-0.028099570299	0.707975657348	1.345868291873	0.488621687315	0.908186682348	0.266660414196	0.902409002271	-0.126456018339	-0.089779032229	-0.237109819667	-0.175244103759	-0.224340360755	0.000290705791	0.928065305047	N\A	0.082733608525	0.237961189747	0.228545913891	0.251664971569	0.244475775160	0.308416922695	0.085477518606	0.083874982842	0.087496856745	0.088532709373	0.085207572811	31	10	
1150000	405.007644	1	-0.630449579281	0.616999451294	1.904448784558	1.173073276389	1.367463394148	1.070091337641	0.299420846365	-0.085914015172	0.033782427804	-0.059573494973	-0.052877482890	-0.134699545347	0.000197273601	0.930563930306	N\A	0.043002599054	0.184010602026	0.165439357958	0.181811879096	0.169554753248	0.229054105874	0.048510344572	0.045447412636	0.051577912063	0.050508949775	0.045998042513	24	13	
1200000	392.131529	1	-0.948801366790	0.563957145214	1.759064170110	1.623993791880	1.732888961532	1.583582415779	1.485431403978	-0.066918318608	0.091102214134	-0.042671905263	-0.040281610781	-0.073264444522	0.000209666555	0.924813385486	N\A	0.057218909351	0.228564968781	0.213752837020	0.220024245644	0.217765982895	0.268847180117	0.061011801651	0.060039273614	0.060768305775	0.063457326557	0.059461266605	38	9	
1250000	408.832770	1	-0.213991145816	0.460144508887	0.492800256831	0.450983534448	0.506125400893	1.228983934818	1.213290148892	0.088055880392	0.174716872730	0.122267723678	0.066747070866	-0.050138458436	0.000194913483	0.918563434129	N\A	0.055212678740	0.193968626979	0.175450452255	0.187913840358	0.178132001720	0.236412470827	0.061036637272	0.057379169130	0.060922942078	0.060663793021	0.058276799643	31	12	
1300000	382.946599	1	0.337144445691	0.664849054840	0.212229089845	0.071519462555	-0.529837786535	0.002472465277	0.335885392805	-0.158747870121	-0.063294514156	-0.055663009223	-0.156682438928	-0.160140314984	0.000434965832	0.912500959809	N\A	0.063853953285	0.236221851833	0.223691683593	0.232363369426	0.232161470498	0.334962903708	0.067178404275	0.066272780492	0.068358241500	0.070579076092	0.066624002761	26	11	
1350000	416.005296	1	-1.219440355990	0.589788343645	0.974157974621	0.977162041994	0.592249142760	0.352662042838	1.021031499394	-0.016080561015	0.053987858728	-0.033125936767	-0.063224416798	-0.112877209110	0.000170656737	0.924685288895	N\A	0.049749050667	0.192782340417	0.180041055347	0.195129419174	0.182648016908	0.232537578070	0.054118154108	0.052462754293	0.056931574908	0.055523133962	0.052279906938	29	22	
1400000	380.186083	1	-0.170738761313	0.744126233993	1.562866216034	1.407402556910	0.899906386364	0.524357706426	1.202369002967	-0.157787849713	-0.113793249239	-0.232202550224	-0.218299453439	-0.272347047303	0.000195801305	0.912443514487	N\A	0.042841829553	0.187356503946	0.165737199785	0.177228548413	0.168269206382	0.229804345437	0.053135512861	0.046325198595	0.049315096001	0.050039671775	0.046959880047	39	11	
1450000	394.327379	1	1.583735616179	0.733532028245	1.059320467471	1.064048271344	0.386968539253	0.509133129736	-0.944626351679	-0.159632395123	-0.088772047709	-0.211955742800	-0.173980437080	-0.247740051494	0.000181130488	0.926537984197	N\A	0.128303134730	0.280701689821	0.269746025793	0.274438681267	0.272456731126	0.308471388702	0.130682052435	0.129485736346	0.130105545913	0.131123742084	0.129069985286	41	13	
