Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  AMY_d1_m2-glob-005.txt
Log File Name:                   AMY_d1_m2-glob-005.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            183112916
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   AMY_d1_m2-glob-005.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.287140
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.67 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	No RJ Local Node	No RJ LS Betas	Global Trend	
1000000	413.257585	1	0.170715622090	0.608625549197	0.023702302246	-0.013592101165	0.013726249860	0.103508411127	0.631683621536	-0.049058224518	0.034493341516	-0.065879263090	-0.112676472561	-0.176150038212	0.000191238177	0.999447421683	N\A	0.073333292610	0.103623091688	0.089833671737	0.124156902470	0.122791301326	0.166002495903	0.075657379676	0.074776704149	0.077130784068	0.079493382083	0.075209013225	39	12	-0.213786713453	Global Trend	
1050000	402.304554	1	0.359138316844	0.638854401716	0.490447656984	0.291697366482	0.743972002921	0.224798559261	-0.787079083101	-0.133433457333	-0.000828406721	-0.130721590387	-0.133680238846	-0.165603245420	0.000195402213	0.930494972271	N\A	0.062222894205	0.107772009727	0.090513359909	0.124648097998	0.108154534103	0.165060054771	0.065427001854	0.064033548283	0.066452787982	0.066468727808	0.064707029981	31	14	0.003768955071	Global Trend	
1100000	393.262761	1	0.012212981767	0.686313425365	0.035815088773	-0.005167579318	1.004656743748	-0.000362572215	0.007521333393	-0.080899677450	-0.040563556356	-0.183976281342	-0.188251591580	-0.228840360492	0.000272964374	0.998022860965	N\A	0.050458023860	0.116406405431	0.093180562816	0.122956638034	0.110225371031	0.187213455738	0.057576013560	0.053346001935	0.054061181945	0.056425847431	0.053186035799	38	13	0.196062911649	Global Trend	
1150000	380.790650	1	-0.095004076612	0.683503997805	-0.173360083380	-0.254902279962	0.749149707719	-0.263616439869	0.910161036168	-0.141440022505	-0.054174853897	-0.148705952215	-0.114842003154	-0.192782106012	0.000240802179	0.997925701154	N\A	0.044466208241	0.112574561025	0.090329446559	0.142345211794	0.111228380955	0.177755941809	0.050009380215	0.047588179810	0.054572820652	0.052820122928	0.047992997193	29	8	-0.153028211876	Global Trend	
1200000	390.084162	1	0.569579003970	0.672545955243	-0.068445209598	-0.042399867763	0.579003073374	0.002559149315	0.494646765532	-0.113321665886	-0.028802340274	-0.158109033008	-0.146217879232	-0.235177235224	0.000224927148	0.964950631077	N\A	0.043067905774	0.112592284760	0.087210136749	0.121040456157	0.107023388385	0.173172949198	0.051345402240	0.046499962602	0.049932303762	0.051152590153	0.047304460939	22	8	-0.040156758652	Global Trend	
1250000	376.203398	1	0.352457148836	0.625583415958	0.050467207824	-0.017679786769	0.688913165692	-0.084082886946	0.185206364034	-0.107242910902	0.008980489519	-0.209421659079	-0.039030569456	-0.109416995109	0.000346069066	0.978670713472	N\A	0.057077600274	0.105939229736	0.091122249157	0.147024169330	0.127427118766	0.207870567283	0.062482961029	0.058883507877	0.064803432596	0.066260128864	0.060746413061	37	7	-0.036017171316	Global Trend	
1300000	396.271124	1	0.453085134331	0.653862297495	0.377532356957	0.112853672128	0.585170325468	0.364158875036	0.026348197689	-0.169954509269	-0.022701579829	-0.135504675587	-0.110515427824	-0.144543437434	0.000320989752	0.929954279894	N\A	0.052364808226	0.125655479868	0.112740880337	0.171035896741	0.137219270466	0.232839527026	0.055249581462	0.054592400893	0.059613282314	0.055901136588	0.055892248376	32	9	0.001298289123	Global Trend	
1350000	395.078772	1	0.398032688440	0.667472034764	0.076099759305	-0.047925766137	0.397462964938	0.209571304004	0.420960928181	-0.143634199258	-0.048864633926	-0.142042613872	-0.141867760118	-0.218907488148	0.000179955330	0.963238342216	N\A	0.060210738503	0.102541037052	0.086889633177	0.116598172338	0.108079501700	0.156244723553	0.063204266569	0.062548259025	0.063542051732	0.066036176905	0.062034147196	28	6	0.016536947319	Global Trend	
1400000	397.235450	1	0.379916139487	0.598654603794	0.028056883930	-0.113976281335	0.272237194867	0.084615652235	0.377883486090	-0.062592048707	0.048105013026	-0.081405691421	-0.062581799183	-0.087809035021	0.000184200714	0.999620002609	N\A	0.056609061371	0.102227865136	0.084752580519	0.117370654929	0.102213878088	0.156981969568	0.059892739699	0.058547369243	0.060674978763	0.061172009037	0.058595970103	27	10	0.224604814995	Global Trend	
1450000	374.046373	1	0.321822642368	0.577967136134	-0.614310712645	-0.661388491390	1.373354334538	0.260220484136	0.315595596074	0.013951246389	0.068309859764	-0.164798286202	-0.066437160243	-0.102832399816	0.000278752993	0.999894171155	N\A	0.045417653630	0.098059796033	0.083249902705	0.133839422549	0.104992374570	0.186681846585	0.049778320116	0.048719949510	0.054418690712	0.053710979785	0.050068971555	34	7	-0.574072020676	Global Trend	
