Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  AMY_d1_m3-glob-004.txt
Log File Name:                   AMY_d1_m3-glob-004.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            2048693461
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   AMY_d1_m3-glob-004.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.287140
Restrictions:
    Beta-1                       None
    Beta-2                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.67 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      3
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	No RJ Local Node	No RJ LS Betas	Global Trend	
1000000	408.720348	1	0.350825060628	0.725679602370	-0.039011694438	0.000305620804	0.921353428740	N\A	0.023148018251	0.005178165293	39	8	-0.000487587714	Global Trend	
1050000	396.002120	1	0.381466425673	0.759794794449	-0.046615676521	0.000232493902	0.917629850117	N\A	0.023013281177	0.005068775634	40	9	-0.001834631630	Global Trend	
1100000	412.075906	1	0.360090580902	0.694457674193	-0.033804455064	0.000197173270	0.924068344291	N\A	0.021894200114	0.004522342506	36	7	0.000391603946	Global Trend	
1150000	404.443350	1	0.312184196012	0.731307752397	-0.043072755413	0.000183837158	0.924280590744	N\A	0.021422762427	0.004638890029	36	7	-0.000277992767	Global Trend	
1200000	398.667639	1	0.097467345733	0.757842689764	-0.044984466932	0.000218008693	0.913775480215	N\A	0.022965464881	0.004977665272	24	8	0.004024987961	Global Trend	
1250000	395.277272	1	0.297895534050	0.799221248303	-0.050713818431	0.000227050781	0.926374820056	N\A	0.023091699263	0.004942953762	43	5	-0.001252920182	Global Trend	
1300000	404.782895	1	0.327653800081	0.778731328465	-0.050317684066	0.000143575110	0.928335955147	N\A	0.020936098147	0.004378680455	32	6	-0.000947644791	Global Trend	
1350000	390.122983	1	0.241380926831	0.760029426277	-0.043721399985	0.000272748452	0.929870343274	N\A	0.021901551997	0.005087414197	45	6	0.001034382121	Global Trend	
1400000	406.858930	1	0.324514769338	0.745542951319	-0.042530691179	0.000184137640	0.937314831514	N\A	0.020404183736	0.004807657018	38	9	-0.000255810471	Global Trend	
1450000	399.488330	1	0.412314825267	0.725554366741	-0.039935616011	0.000136781508	0.931619930634	N\A	0.018621399527	0.003882409796	38	9	-0.000523081027	Global Trend	
1500000	407.109941	1	0.441850479198	0.692630816594	-0.033543862403	0.000211965939	0.920412014290	N\A	0.022187073780	0.004830489839	42	8	-0.001131368209	Global Trend	
1550000	398.932735	1	0.371410733554	0.746363656212	-0.046940996871	0.000196066638	0.925942078662	N\A	0.021812772032	0.004669092994	44	8	-0.000130985452	Global Trend	
1600000	415.386660	1	0.504149182210	0.726509466881	-0.042067008902	0.000259336556	0.937960338266	N\A	0.018596710206	0.004197704354	34	6	-0.002696437246	Global Trend	
1650000	417.670533	1	0.345289188172	0.738092767302	-0.045021419755	0.000193384127	0.928230874188	N\A	0.021168458291	0.004690409935	37	11	0.000005052701	Global Trend	
1700000	407.337928	1	0.398683689793	0.754940635764	-0.049405582659	0.000219786355	0.933372917017	N\A	0.020375190945	0.004647705205	28	10	-0.001272794837	Global Trend	
1750000	406.937516	1	0.541501532417	0.670901935396	-0.029635457221	0.000162120149	0.925476136531	N\A	0.022005229124	0.005033081711	34	11	-0.001553582027	Global Trend	
1800000	397.156542	1	0.414992938504	0.733800536081	-0.040858647573	0.000214379264	0.921357812917	N\A	0.022961492372	0.005174584172	35	10	-0.001792410591	Global Trend	
1850000	401.730963	1	0.550793197797	0.720543048169	-0.037684528903	0.000290914213	0.942403346935	N\A	0.019978450808	0.004472513137	41	9	-0.001037116372	Global Trend	
1900000	404.123457	1	0.542484697832	0.740031632548	-0.041461996600	0.000260912930	0.920258637085	N\A	0.022338089132	0.004873312187	28	8	-0.003170334053	Global Trend	
1950000	392.162275	1	0.457437185502	0.689822211276	-0.029402542245	0.000285885863	0.918300704913	N\A	0.023242994031	0.005292286513	35	10	-0.001941499036	Global Trend	
2000000	406.984503	1	0.378776690294	0.749580225101	-0.051235104329	0.000289626374	0.931943243687	N\A	0.021986329459	0.004774662089	37	13	-0.000382371876	Global Trend	
2050000	406.022734	1	0.442441814057	0.715656204078	-0.039526536657	0.000198106901	0.919538732506	N\A	0.022449691869	0.004917277055	25	10	-0.001628983474	Global Trend	
