Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  AMY_d1_m7-VR-006.txt
Log File Name:                   AMY_d1_m7-VR-006.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            3967620313
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   AMY_d1_m7-VR-006.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Branch	No RJ Local Node	
1000000	484.340277	1	-1.010114298035	0.744698656522	0.219227779232	-0.040103982537	0.000102581684	0.957187806515	N\A	0.035199893897	0.029962937456	0.004037364145	52	19	
1050000	488.547940	1	-1.031228945797	0.764659312053	0.198609106445	-0.036103480398	0.000090392567	0.963269481337	N\A	0.032072815842	0.027837949924	0.003890674777	51	24	
1100000	479.938154	1	-1.097186859217	0.791792424681	0.187853125847	-0.033454659043	0.000102991487	0.958062666295	N\A	0.031937503265	0.029025632242	0.003937195712	53	20	
1150000	474.778710	1	-1.004760081282	0.738491397410	0.209604704298	-0.030906671773	0.000093428873	0.955674320791	N\A	0.036171537100	0.031720703545	0.003963699964	41	32	
1200000	490.794885	1	-0.927587123237	0.736376565451	0.171473710134	-0.026688903856	0.000115041870	0.960050476160	N\A	0.032453558686	0.028944859776	0.004118195800	45	33	
1250000	474.428430	1	-0.950513452074	0.719657538257	0.223349169649	-0.035843815689	0.000087084085	0.957079509927	N\A	0.030778599224	0.026801755399	0.004107387396	48	29	
1300000	478.797911	1	-0.948164680398	0.735878002339	0.170323634876	-0.023892602331	0.000109774056	0.950547830899	N\A	0.037104946303	0.030817162386	0.003681633386	51	31	
1350000	466.526335	1	-1.045545533437	0.754310432140	0.226758117202	-0.038818625684	0.000101932819	0.954857972492	N\A	0.034066640206	0.031700915241	0.004151014435	51	26	
1400000	494.834244	1	-0.967074018594	0.735762091131	0.200763250164	-0.032676586764	0.000077977044	0.960434958387	N\A	0.031141234139	0.028505407699	0.003976749293	48	32	
1450000	491.811361	1	-0.963636341207	0.734102559205	0.195318719991	-0.028300985066	0.000146296285	0.957557791410	N\A	0.034043921403	0.031150067088	0.004121702259	58	25	
