Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  AMY_d1_m7-fab-005.txt
Log File Name:                   AMY_d1_m7-fab-005.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            1081939161
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   AMY_d1_m7-fab-005.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.287140
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.67 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Node	No RJ LS Betas	
1000000	495.881085	1	-1.055395287652	0.784842197040	0.163914234284	-0.030622307553	0.000121072653	0.957867271493	N\A	0.033209589017	0.027922848766	0.003522816020	43	4	
1050000	497.230905	1	-0.839103328659	0.658583674074	0.229327380009	-0.021231588028	0.000082314849	0.958827715461	N\A	0.035767950127	0.030929857427	0.003512495858	34	2	
1100000	500.585051	1	-0.915958111000	0.699596549914	0.225714836169	-0.030615177977	0.000110254116	0.960033491982	N\A	0.035029013681	0.029720921916	0.003631342500	43	5	
1150000	506.298552	1	-0.997440688094	0.750218510635	0.173709534593	-0.024163809119	0.000147497383	0.959060438103	N\A	0.033278239070	0.029537102093	0.003673907557	34	4	
1200000	504.207591	1	-0.997614928758	0.755525184308	0.165954854995	-0.025260160504	0.000110656642	0.965253035580	N\A	0.029774727324	0.022714390248	0.003186039420	29	4	
1250000	516.866129	1	-0.988257632124	0.738627789102	0.194660535811	-0.028067733049	0.000109004749	0.964191966054	N\A	0.031010568526	0.027700336362	0.003242639650	36	8	
1300000	515.913266	1	-0.887020564524	0.689603273861	0.223156208701	-0.028377687186	0.000085597419	0.965313045209	N\A	0.027588097889	0.022885836209	0.002837047772	36	6	
1350000	497.572410	1	-0.984287880310	0.751087082845	0.182658699708	-0.030695763518	0.000066837225	0.958608091692	N\A	0.031923717367	0.031069399901	0.004104091700	38	4	
1400000	518.350247	1	-0.894025355822	0.691566686294	0.245029578864	-0.032022166061	0.000095248701	0.966075727048	N\A	0.028041412870	0.024670094946	0.003013298505	40	8	
1450000	517.533929	1	-0.960723597060	0.713266314924	0.228406858466	-0.030574268463	0.000110159904	0.964083780362	N\A	0.029149313891	0.026420812105	0.003374539436	40	6	
