Species_TTOL	AMY	rest_of_brain	rest_of_brain2	BOD
Anourosorex_squamipes	1.186	3.0789623596587	9.48000921219507	1.307
Atelerix_algirus	2.014	3.0789623596587	9.48000921219507	2.867
Blarina_brevicauda	1.039	3.0789623596587	9.48000921219507	1.267
Chrysochloris_asiatica	1.302	3.0789623596587	9.48000921219507	1.69
Chrysochloris_stuhlmanni	1.365	3.0789623596587	9.48000921219507	1.626
Crocidura_attenuata	0.823	3.0789623596587	9.48000921219507	0.968
Crocidura_flavescens	1.101	3.0789623596587	9.48000921219507	1.467
Crocidura_hildegardeae	0.838	3.0789623596587	9.48000921219507	0.996
Crocidura_denti	0.882	3.0789623596587	9.48000921219507	1.079
Crocidura_russula	0.823	3.0789623596587	9.48000921219507	1.049
Crocidura_suaveolens	0.774	3.0789623596587	9.48000921219507	1.013
Cryptotis_parvus	0.959	3.0789623596587	9.48000921219507	0.991226075692495
Desmana_moschata	1.958	3.0789623596587	9.48000921219507	2.646
Echinops_telfairi	1.352	3.0789623596587	9.48000921219507	1.942
Echinosorex_gymnura	2.231	3.0789623596587	9.48000921219507	2.921
Erinaceus_europaeus	2.036	3.0789623596587	9.48000921219507	2.929
Euroscaptor_micrura	1.356	3.0789623596587	9.48000921219507	1.617
Galemys_pyrenaicus	1.561	3.0789623596587	9.48000921219507	1.778
Geogale_aurita	0.615	3.0789623596587	9.48000921219507	1
Hemicentetes_semispinosus	1.313	3.0789623596587	9.48000921219507	2.062
Hemiechinus_auritus	1.852	3.0789623596587	9.48000921219507	2.371
Hylomys_suillus	1.573	3.0789623596587	9.48000921219507	1.756
Limnogale_mergulus	1.428	3.0789623596587	9.48000921219507	1.964
Microgale_dobsoni	1.228	3.0789623596587	9.48000921219507	1.504
Microgale_talazaci	1.388	3.0789623596587	9.48000921219507	1.683
Micropotamogale_lamottei	1.28	3.0789623596587	9.48000921219507	1.808
Micropotamogale_ruwenzorii	1.344	3.0789623596587	9.48000921219507	1.986
Myosorex_sclateri	1.082	3.0789623596587	9.48000921219507	1.23
Neomys_anomalus	0.913	3.0789623596587	9.48000921219507	1.037
Neomys_fodiens	0.934	3.0789623596587	9.48000921219507	1.182
Oryzorictes_hova	1.317	3.0789623596587	9.48000921219507	1.645
Parascalops_breweri	1.354	3.0789623596587	9.48000921219507	1.731
Potamogale_velox	1.794	3.0789623596587	9.48000921219507	2.791
Ruwenzorisorex_suncoides	1.011	3.0789623596587	9.48000921219507	1.262
Scalopus_aquaticus	1.49	3.0789623596587	9.48000921219507	2.061
Scutisorex_somereni	1.252	3.0789623596587	9.48000921219507	1.792
