Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  AMY_d1_m8-glob-005.txt
Log File Name:                   AMY_d1_m8-glob-005.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            3476985047
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   AMY_d1_m8-glob-005.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.287140
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.67 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Node	No RJ LS Betas	Global Trend	
1000000	508.234808	1	-1.743055748403	1.206660493436	-0.054786108550	0.005912868382	0.000103361123	0.967658309940	N\A	0.040867532644	0.004655253808	0.017592632237	32	3	-0.003373963206	Global Trend	
1050000	505.789412	1	-1.597905342295	1.224726931750	-0.058527863465	0.009208696941	0.000106805106	0.963480523209	N\A	0.044345149022	0.005252814629	0.019000403683	26	6	0.002208024488	Global Trend	
1100000	509.008182	1	-1.452167084356	1.077323858287	-0.040009155474	0.027144536424	0.000090162944	0.965550709549	N\A	0.047406809900	0.006213697938	0.018809065967	32	2	-0.000581872924	Global Trend	
1150000	508.146967	1	-1.610546810766	1.163642909590	-0.056780931673	0.036437322034	0.000105867653	0.962182621881	N\A	0.047814133409	0.006020368428	0.022170133646	37	2	-0.002414110450	Global Trend	
1200000	507.127387	1	-1.539592509919	1.138208783482	-0.052901830579	0.035487374189	0.000099121093	0.960262612610	N\A	0.046710923971	0.006010117262	0.020950719775	29	2	-0.001452944446	Global Trend	
1250000	506.558843	1	-1.533426864374	1.119141346443	-0.054282410685	0.066048814371	0.000054828939	0.964996740258	N\A	0.047532109339	0.005695537863	0.020345983387	37	4	-0.000482169317	Global Trend	
1300000	513.211180	1	-1.487234497353	1.157518902466	-0.059087622535	0.053434323419	0.000105820773	0.962697974140	N\A	0.050993602394	0.006328328858	0.022447562765	32	3	0.001752314585	Global Trend	
1350000	501.675133	1	-1.540498506859	1.126726285236	-0.053136529736	0.053675839993	0.000113777217	0.962913847450	N\A	0.049594172053	0.006273766368	0.019985623340	29	3	-0.000654446100	Global Trend	
1400000	501.699819	1	-1.826590123497	1.241232902281	-0.062241501067	0.014698229425	0.000089484589	0.966340572838	N\A	0.044252849496	0.006303184897	0.019313704960	42	5	-0.001065291157	Global Trend	
1450000	507.755500	1	-1.495910274219	1.140703005613	-0.053768066938	0.031533634409	0.000096003455	0.967826794418	N\A	0.040875058921	0.005491906319	0.017031711721	38	3	0.000562275424	Global Trend	
