Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  AMY_d1_m9-VR-004.txt
Log File Name:                   AMY_d1_m9-VR-004.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            2961514695
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   AMY_d1_m9-VR-004.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      5
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	No RJ Local Branch	No RJ Local Node	
1000000	481.897650	1	-1.927903885738	1.434279956794	-0.104342854615	-0.021551100586	0.019807838609	0.000100843553	0.959604446850	N\A	0.098391550045	0.013914327479	0.044397009278	0.008438599063	58	26	
1050000	491.436725	1	-1.518393008425	1.132158756545	-0.051792298298	0.053585323634	-0.005370417724	0.000089102109	0.960942151263	N\A	0.089238230509	0.012207629474	0.041853645251	0.007593768884	44	19	
1100000	475.382779	1	-1.729594619696	1.315490521078	-0.081124041281	-0.032851662514	0.016607509277	0.000109899827	0.951670788722	N\A	0.089807222679	0.012413351058	0.042357468549	0.007487873597	41	23	
1150000	489.208445	1	-1.694948348075	1.258950932125	-0.073721238416	0.010307860796	0.011205863015	0.000099288950	0.964951286352	N\A	0.094237818074	0.013174690505	0.040769892483	0.007376476278	54	24	
1200000	486.988522	1	-1.723525332076	1.293312702791	-0.070473883912	-0.041300147331	0.013786684903	0.000094650397	0.966752571635	N\A	0.103218037189	0.015043913200	0.042524566164	0.008021904449	42	25	
1250000	488.375925	1	-1.816244766665	1.384540189352	-0.093266666498	-0.026261571782	0.015727571834	0.000093081687	0.963829747074	N\A	0.096427445204	0.014103483880	0.041406806892	0.007860066745	47	23	
1300000	495.914589	1	-1.594022721918	1.190837890046	-0.058050154258	0.040269538078	-0.004047071356	0.000074193984	0.963830397107	N\A	0.086510022990	0.012874433328	0.038700977734	0.007677695941	49	26	
1350000	488.697916	1	-1.814157468023	1.377476335262	-0.086940254151	-0.020142164529	0.009912375990	0.000072581930	0.961157577181	N\A	0.092342816572	0.012517143020	0.042187697014	0.007431006270	48	28	
1400000	495.199325	1	-1.794467470265	1.329164559549	-0.078034005443	-0.020773886781	0.008334907857	0.000097858816	0.963542267092	N\A	0.082781499483	0.011077340575	0.037894423330	0.007229378778	38	19	
1450000	484.721800	1	-1.623181332179	1.267972015342	-0.074362303003	-0.033634258852	0.014245751029	0.000176099376	0.957148181347	N\A	0.107217543758	0.014845407360	0.047069030659	0.008477372791	49	25	
