Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  AMY_d1_m9-fab-006.txt
Log File Name:                   AMY_d1_m9-fab-006.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            3336347696
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   AMY_d1_m9-fab-006.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.287140
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.67 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      5
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	No RJ Local Node	No RJ LS Betas	
1000000	501.362270	1	-2.018915451843	1.487233680058	-0.098066218066	-0.080230602770	0.022555613695	0.000096507278	0.959769641916	N\A	0.093846246698	0.013258615019	0.041218437695	0.007220614450	29	5	
1050000	511.899247	1	-1.957561980939	1.501516220283	-0.105438699074	-0.094120592995	0.031058787844	0.000099928920	0.972043480770	N\A	0.065995722090	0.010810867061	0.026229533569	0.005832535714	40	10	
1100000	505.236063	1	-1.932604973615	1.451640006329	-0.101248928136	-0.048433058088	0.021413266126	0.000115658315	0.959957897863	N\A	0.099773603338	0.014130201079	0.043106953415	0.007727302024	35	5	
1150000	505.578299	1	-1.824096621839	1.386586577783	-0.079952534187	-0.078896882909	0.017992155895	0.000081061602	0.959597470321	N\A	0.085229135777	0.011388786524	0.039461222471	0.006631797788	32	7	
1200000	512.202768	1	-1.932240323828	1.445437308889	-0.095627345652	-0.075018026425	0.023948598059	0.000087821482	0.961408793537	N\A	0.106081811631	0.014287989271	0.045571543641	0.007809483490	41	7	
1250000	493.113271	1	-1.800719814965	1.356898723902	-0.084099825522	-0.045785562549	0.019316805782	0.000154360850	0.971907593504	N\A	0.082606741206	0.011212063979	0.036309816628	0.006475838081	34	7	
1300000	503.530441	1	-1.607181153025	1.228107104549	-0.068228573356	-0.012040214062	0.013874406834	0.000115976370	0.962665715698	N\A	0.094048085615	0.012602960207	0.043023244880	0.007479657700	31	7	
1350000	503.332165	1	-1.560402724675	1.124805993870	-0.054619481463	0.052214856527	0.004132890927	0.000106738826	0.966747295096	N\A	0.090350592282	0.012472465001	0.035784085953	0.006407212879	47	9	
1400000	506.020854	1	-1.739129980779	1.282338789562	-0.062424894481	-0.040356817088	0.004146158969	0.000112214961	0.959785798026	N\A	0.084411257349	0.010134051445	0.041402950562	0.006305606538	30	7	
1450000	507.689483	1	-1.489538993196	1.094787791021	-0.048381406828	0.102674950115	-0.013584385707	0.000118330259	0.960878313253	N\A	0.081709597445	0.010155233192	0.041238267050	0.006739939132	36	7	
1500000	506.726256	1	-1.625011341639	1.186569193236	-0.055656460763	0.030741995072	-0.002852972323	0.000139999786	0.963221278577	N\A	0.076499311316	0.009197308797	0.038583657267	0.006001265478	36	10	
1550000	505.229967	1	-1.627651131191	1.183440552707	-0.062684860709	0.065611009758	0.000138530728	0.000102407276	0.959693748618	N\A	0.085388988164	0.010839172209	0.040499405025	0.006419741092	39	9	
1600000	526.661346	1	-1.750514829021	1.268138727197	-0.061743002978	-0.020499389779	0.006202055890	0.000105533700	0.971539217746	N\A	0.061606166610	0.008324010739	0.030274137278	0.005542555128	40	8	
1650000	508.281899	1	-1.868243347619	1.348330901676	-0.075898709047	-0.052857848885	0.013039971102	0.000096528046	0.965049224659	N\A	0.094172655423	0.012883259703	0.041330688591	0.007019900286	30	7	
1700000	518.144421	1	-1.512801915398	1.190123878857	-0.054822013368	-0.023044661161	0.006045551410	0.000104495460	0.962819032712	N\A	0.098271183992	0.014173913947	0.041101320860	0.007492826954	41	11	
1750000	523.868106	1	-1.629826941886	1.206943089042	-0.062009757033	0.025175516853	0.003384880117	0.000107199027	0.969579177209	N\A	0.083042292488	0.011574394029	0.033073238842	0.006323506263	35	7	
1800000	517.321652	1	-2.051301173748	1.553433434077	-0.117695920814	-0.079812658195	0.028622531788	0.000101588742	0.962383680995	N\A	0.092872185902	0.013323078936	0.039445363907	0.007247020027	32	11	
1850000	510.939772	1	-1.663999876127	1.233015645952	-0.062657665766	-0.000930518712	0.005513925311	0.000112771675	0.958964971543	N\A	0.083127375701	0.010036444290	0.041764747318	0.006309487402	25	8	
1900000	503.934551	1	-1.732693949346	1.306339436010	-0.078411848842	-0.020153103905	0.013619797919	0.000111867802	0.961678824953	N\A	0.084172643077	0.011961264436	0.037029361041	0.006206204712	30	7	
1950000	498.560069	1	-2.049783609194	1.508062573804	-0.106170535006	-0.047010148781	0.017918102241	0.000142972175	0.959605275471	N\A	0.084480457922	0.011613168116	0.038463075371	0.006691161547	31	7	
2000000	511.119211	1	-1.739332439265	1.300873889141	-0.070143852220	-0.044914832119	0.011282542324	0.000105789370	0.964673701064	N\A	0.092717806774	0.013252330894	0.039182248232	0.006888885110	38	6	
2050000	522.093704	1	-1.900403708812	1.406150945682	-0.084562631518	-0.062637601205	0.013462934374	0.000091716419	0.971804679030	N\A	0.077077692849	0.012181332074	0.033104264265	0.006941775148	39	8	
2100000	515.828719	1	-1.892578120046	1.444378194819	-0.104138450744	-0.044784285094	0.024036439405	0.000107688335	0.972476570327	N\A	0.064406267179	0.009992516369	0.027727153785	0.005456649816	38	9	
2150000	512.746152	1	-1.628239386282	1.230273596763	-0.071499196205	0.033166109033	0.006205636302	0.000097289020	0.962244452456	N\A	0.088947872502	0.012382502015	0.039309331284	0.006751617770	25	6	
2200000	502.303322	1	-1.870887499198	1.404029624989	-0.086256443801	-0.054176623941	0.011894839914	0.000070943718	0.966826008073	N\A	0.088579971235	0.012255450008	0.039096508719	0.007215485983	36	5	
2250000	515.305814	1	-1.740336354220	1.318102514489	-0.074379923978	-0.023059959820	0.011437874440	0.000107541579	0.981712533177	N\A	0.051389164978	0.008987630819	0.022254408817	0.005431649014	33	8	
2300000	502.198186	1	-1.509884358687	1.130666017821	-0.057642984550	0.085937084292	-0.005021451038	0.000107491970	0.964997600493	N\A	0.086215002724	0.011359291417	0.041007106865	0.007147431799	38	7	
2350000	508.459135	1	-1.541310131148	1.145712378249	-0.053383318813	0.044667269123	-0.001921555740	0.000094064112	0.968200779836	N\A	0.095986493345	0.013502306257	0.040412904546	0.007232188663	33	6	
2400000	505.982555	1	-1.769611791790	1.322505162241	-0.079750451110	-0.036347554171	0.018378659871	0.000103957602	0.966656710751	N\A	0.074079057322	0.010290320768	0.034190085191	0.005984231438	28	9	
2450000	500.393342	1	-1.656621055048	1.214054059247	-0.057591985274	0.003965363148	0.003462460105	0.000134713924	0.960405724201	N\A	0.093356284428	0.011988871312	0.043486558929	0.006920362653	26	7	
2500000	502.179843	1	-1.705951573385	1.290755583231	-0.080806699503	0.024714774766	0.005072379808	0.000109473856	0.961723604779	N\A	0.097211505005	0.013197630030	0.044139935331	0.007819209797	42	7	
2550000	508.867494	1	-1.813813246599	1.376309913388	-0.078968792472	-0.068118852220	0.015359286769	0.000088825885	0.968246057187	N\A	0.087671617905	0.012190469183	0.038190407225	0.006623911917	33	4	
2600000	506.713212	1	-1.567012799650	1.214832734722	-0.078954413559	0.073361519173	0.003405284363	0.000108320623	0.959449478711	N\A	0.088807801383	0.012124598751	0.040486905378	0.007401860773	31	3	
2650000	509.819529	1	-1.914423740710	1.419993602671	-0.088894820472	-0.062739737827	0.019349510344	0.000084077159	0.965327270798	N\A	0.085364993286	0.012239945316	0.037457128783	0.006693236786	33	6	
2700000	515.490757	1	-1.801745515511	1.378894886690	-0.086682145879	-0.031965881583	0.014418833444	0.000111106877	0.965611872684	N\A	0.075498252661	0.011358829582	0.033237871044	0.006507623288	39	5	
2750000	518.177012	1	-1.777907339044	1.342801094963	-0.086360928484	-0.001453457396	0.011376837632	0.000092698144	0.967815926066	N\A	0.078462703817	0.010661151749	0.036404223637	0.006598235936	43	6	
2800000	510.063804	1	-1.413290722322	1.039232516890	-0.039066047645	0.096391322146	-0.012780482888	0.000108610183	0.963158198224	N\A	0.089009656682	0.012477219463	0.039382756486	0.006978142335	36	4	
2850000	498.436997	1	-1.498821687836	1.137213841737	-0.055381927178	0.027780488755	0.003204114103	0.000112678806	0.960929269282	N\A	0.094917243938	0.012990244534	0.042317876946	0.007475915890	38	4	
2900000	500.091930	1	-1.790197788138	1.299987232647	-0.076431828517	0.030381094237	0.002353306278	0.000116510693	0.958073358766	N\A	0.101748110868	0.014223719916	0.042964740183	0.007628934927	37	2	
2950000	501.239278	1	-1.642278911430	1.220340219072	-0.056014390757	-0.009182610119	-0.000874898326	0.000098022624	0.959790493465	N\A	0.095114850695	0.013207698289	0.042163578018	0.007124889509	27	3	
3000000	506.040232	1	-1.224042350196	0.930296398922	-0.030747137603	0.140732733561	-0.015051872822	0.000128713888	0.960000662258	N\A	0.078523378548	0.009397669313	0.039799615083	0.006328025728	36	4	
3050000	501.565898	1	-1.761670159033	1.313465263566	-0.076538886604	-0.015870867124	0.011079369161	0.000088052575	0.962659960770	N\A	0.091053823171	0.013186559267	0.037797736281	0.006857818386	36	3	
3100000	505.961154	1	-1.741067116562	1.279429418854	-0.067456113930	-0.006499528939	0.003408122703	0.000099347724	0.960553975137	N\A	0.085882741109	0.011572826825	0.040364184126	0.006876316680	29	5	
3150000	497.810038	1	-1.432396863979	1.087182456417	-0.047475660967	0.048426539928	-0.000091293183	0.000143743693	0.972082041336	N\A	0.094191208694	0.012779450279	0.036278688964	0.006815116986	38	2	
3200000	507.372295	1	-1.745545339570	1.295782897788	-0.075727828629	0.001021056027	0.007139568113	0.000103554809	0.966412733460	N\A	0.081218054117	0.012019453503	0.035339755789	0.006630776832	32	4	
3250000	501.171868	1	-1.654606596644	1.237611892494	-0.067943106408	0.025231604152	0.001814309197	0.000119377627	0.956066518455	N\A	0.095783159251	0.013166214120	0.042803443345	0.007392873929	33	4	
3300000	492.100652	1	-1.438552410766	1.063949718359	-0.041454783674	0.104981498221	-0.019011385087	0.000114298367	0.958711229358	N\A	0.081711224532	0.010122155990	0.038091015467	0.006426001781	31	3	
3350000	502.099376	1	-1.761060424108	1.304154954795	-0.069784041579	-0.042941604843	0.012667967217	0.000109402464	0.965630795508	N\A	0.072335951287	0.010963695928	0.032918599352	0.006572522795	31	3	
3400000	497.603381	1	-1.733262733914	1.310072030091	-0.075178604904	-0.031655944092	0.012143503405	0.000078468683	0.958020634351	N\A	0.090020782109	0.012528238344	0.040174672555	0.006943607275	30	4	
3450000	512.170832	1	-1.574989736466	1.199661358298	-0.067037915575	0.034681119330	0.002939493411	0.000100481002	0.960428407732	N\A	0.096543614209	0.013487393791	0.042861563875	0.007814991325	30	3	
