Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  AMY_d1_m9-glob-003.txt
Log File Name:                   AMY_d1_m9-glob-003.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            769433658
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   AMY_d1_m9-glob-003.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.287140
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.67 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      5
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	No RJ Local Node	No RJ LS Betas	Global Trend	
1000000	512.729786	1	-1.966995399287	1.456649540454	-0.099982925245	-0.058749070586	0.022484138829	0.000092329816	0.982994455854	N\A	0.047975055050	0.008883912071	0.016847001917	0.004513735255	41	5	-0.000392892537	Global Trend	
1050000	514.870991	1	-1.525144695532	1.197588506645	-0.071676790370	0.028131654144	0.012707570124	0.000098140384	0.964810218725	N\A	0.081939657175	0.011465482022	0.036890815569	0.006646836687	45	8	0.001076598793	Global Trend	
1100000	501.056244	1	-1.849380291204	1.397105539137	-0.100093128318	-0.018255915033	0.021271161369	0.000108463294	0.961473078824	N\A	0.081856006696	0.009972488413	0.037967629305	0.005907294626	29	8	-0.000505819022	Global Trend	
1150000	509.066756	1	-1.570566969596	1.215074499063	-0.068074345490	0.030218852830	0.005670431548	0.000097622017	0.961409621913	N\A	0.091792664445	0.013127138247	0.040397535511	0.007071902194	32	6	0.001100169891	Global Trend	
1200000	502.302014	1	-1.654398106594	1.205487961923	-0.065570616749	0.014984537202	0.006665424136	0.000106794491	0.959932080576	N\A	0.086718219981	0.011820224538	0.039936069983	0.006309802618	32	5	-0.002564608379	Global Trend	
1250000	506.088993	1	-1.360393717681	1.069609198143	-0.053891966173	0.106730392013	-0.002439497733	0.000080012605	0.965159402801	N\A	0.071394427168	0.010052278542	0.036941084518	0.006692091689	42	5	0.002232827858	Global Trend	
1300000	494.699926	1	-1.732074602566	1.257234780738	-0.064120046030	-0.003607230835	0.003441252066	0.000119910813	0.968301788076	N\A	0.091956430240	0.012700274313	0.038975029641	0.006967790660	27	12	-0.000782128179	Global Trend	
1350000	506.906237	1	-1.584375864251	1.253664639757	-0.072029903002	0.007103661605	0.010545207194	0.000122910328	0.962442580351	N\A	0.073153334627	0.010384743194	0.035326348588	0.006255170298	39	6	0.002851181851	Global Trend	
1400000	505.859574	1	-1.559173091855	1.194520954394	-0.063812126456	-0.000862140350	0.010933365352	0.000049298165	0.971013999873	N\A	0.094449510745	0.012844341735	0.042019038869	0.007357458168	45	7	-0.000112784603	Global Trend	
1450000	514.354555	1	-1.153539786877	0.906391426376	-0.024448484877	0.123258742441	-0.011572599819	0.000091965391	0.995332316424	N\A	0.027741435948	0.003435639885	0.028878127620	0.004526730207	28	8	-0.047082439894	Global Trend	
