Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  CEREB_d1_m2-VR-003.txt
Log File Name:                   CEREB_d1_m2-VR-003.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            3280679502
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   CEREB_d1_m2-VR-003.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	No RJ Local Branch	No RJ Local Node	
1000000	362.911726	1	-0.065816725224	1.127610954742	1.304154534329	1.144260403720	1.551926931117	1.292421600717	1.061794877554	-0.507465801907	-0.429429689963	-0.485088988946	-0.574486317299	-0.522159160381	0.000260278109	0.945694819356	N\A	0.085628478511	0.232410784896	0.216646174000	0.230574651046	0.230713381597	0.286090781233	0.086867840944	0.087037087464	0.090515677422	0.092811152206	0.089303713837	50	25	
1050000	366.770088	1	0.599324866773	0.762204158268	0.723832106030	0.318266787122	0.650701484792	0.557854105092	0.334383975344	-0.104661813902	-0.058536690104	-0.069004244724	-0.171870876846	-0.144889513865	0.000185070562	0.952707165224	N\A	0.081473609456	0.454018524818	0.369522818974	0.229888994857	0.220543924191	0.269984633981	0.082718759288	0.082556743041	0.086428585005	0.085908818026	0.085081554344	45	32	
1100000	380.973703	1	0.180255128636	0.983531840339	1.130988725258	0.919309740704	1.362447184104	1.004249649212	0.816323971686	-0.341977464458	-0.286252947620	-0.319955281714	-0.409038212716	-0.402147146171	0.000273949790	0.940047152563	N\A	0.075793199423	0.229131461910	0.216417214302	0.250509268047	0.224395891069	0.287864891304	0.078183077416	0.077273099963	0.082175446692	0.083596526334	0.078696073748	40	28	
1150000	373.036284	1	0.428474381896	0.819810719191	0.819688806346	0.713318081819	0.916535757835	0.783535525217	0.561722100690	-0.146040607879	-0.130368097117	-0.158639487387	-0.194419131265	-0.224502509110	0.000241141003	0.957699690184	N\A	0.074990427358	0.221577227208	0.206173241841	0.212150200942	0.229388977707	0.274052481541	0.075939855356	0.076777347155	0.077074479326	0.086664290582	0.078142909216	58	23	
1200000	368.631817	1	0.555178329268	0.710634735226	0.404516724966	0.223261334923	0.492700321343	0.229588652477	0.673214469246	-0.058301725802	0.029651449034	-0.071541207976	-0.097522338630	-0.049142138613	0.000386119939	0.951844071194	N\A	0.063722645510	0.245023926563	0.228115294651	0.254292031980	0.234301218567	0.326676581572	0.066205287664	0.065070512510	0.071206019850	0.071261448155	0.067032178412	44	32	
1250000	348.787131	1	0.060212637728	1.067018075394	0.988518915581	0.953604312141	1.167895064243	0.916365978103	1.005486490625	-0.407250269698	-0.367299233236	-0.427826786353	-0.491242303494	-0.448177690662	0.000191307734	0.942188608217	N\A	0.062100584533	0.200680343163	0.187610003255	0.199334969451	0.198075375388	0.248553611960	0.064021477270	0.064428715887	0.067352530711	0.070515928469	0.066296961280	42	31	
1300000	356.714929	1	-0.001873837571	0.944816293595	1.193691289804	1.039463224332	1.394372945809	0.965320357521	1.034594049073	-0.255427847154	-0.215878838685	-0.326239085867	-0.365877515674	-0.295411012702	0.000380675500	0.950633889750	N\A	0.070011706583	0.227938573690	0.224899203329	0.231974404950	0.234170215186	0.322382782651	0.071482919202	0.072232244853	0.073527793278	0.079655908255	0.072284940868	54	28	
1350000	375.886020	1	0.184238594127	1.009145036932	0.776946392016	0.821024283041	0.946731407047	0.755259414795	0.932588862405	-0.329367575976	-0.319118892070	-0.337008730608	-0.398166748368	-0.367050917361	0.000319375735	0.954218769516	N\A	0.094816410363	0.235118167298	0.234139093016	0.252986795698	0.266136623483	0.317348309734	0.095631372603	0.096162863072	0.099366594473	0.101145638754	0.096895289504	52	24	
1400000	364.075730	1	0.474082485110	0.869800229111	0.736582863959	0.609990278718	0.791858064205	0.413824627553	0.523752996028	-0.221013807639	-0.176885153912	-0.222290551398	-0.228342872779	-0.244646089555	0.000193477167	0.929341916372	N\A	0.061946603013	0.198747412522	0.182221813779	0.197333692657	0.186518989591	0.246406229072	0.066232966358	0.064727286819	0.067832926322	0.068056170638	0.065401999293	49	26	
1450000	373.876338	1	0.189771354008	0.910258052506	0.963652805165	0.819700495024	1.260734399176	0.755518268743	0.725864996130	-0.269135715076	-0.228304134424	-0.251438583759	-0.290497565497	-0.262605028744	0.000226707446	0.941636017395	N\A	0.080231080340	0.250749325723	0.242962378447	0.256141527036	0.255098604448	0.300445162844	0.082339863352	0.081477127604	0.085000899422	0.089222447702	0.083606145943	49	31	
