Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  CEREB_d1_m2-bm-002.txt
Log File Name:                   CEREB_d1_m2-bm-002.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1468342866
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   CEREB_d1_m2-bm-002.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	
1000000	283.568748	1	0.502287441284	0.773248803225	0.503037575304	0.405105551436	0.704100735814	0.404899672953	0.566348605432	-0.095589983289	-0.078296310259	-0.093816165915	-0.118786416252	-0.145321836146	0.000482310508	0.892693292144	N\A	0.067239361435	0.286955989981	0.259558798064	0.272069056675	0.263685522466	0.357528890913	0.074816523599	0.072202872736	0.075058181285	0.078000992363	0.071292965367	
1050000	278.857540	1	0.949391742748	0.739464217493	0.487017762221	0.527698815707	0.380179994983	0.134277246003	-0.252297888673	-0.093180856775	-0.045542521409	-0.028175658278	-0.083212794692	-0.132690839325	0.000495703943	0.889713457766	N\A	0.068166564259	0.290912993712	0.263138005915	0.275820775788	0.267321636131	0.362459065590	0.075848212337	0.073198520316	0.076093202382	0.079076593600	0.072276065702	
1100000	281.418619	1	0.644038828114	0.791706582041	0.561466714145	0.234774929395	0.345902438131	0.018432936620	0.491860014618	-0.197579123099	-0.065077256839	-0.076701342317	-0.116791398423	-0.171593350779	0.000488377593	0.891343458445	N\A	0.067660948821	0.288755189481	0.261186218560	0.273774915858	0.265338817316	0.359770578922	0.075285619407	0.072655581086	0.075528792274	0.078490054628	0.071739968643	
1150000	277.567719	1	1.035552941443	0.597892278530	-0.019219437537	-0.324239730670	-0.002869672411	-0.194049300248	0.049666888771	0.036963174810	0.084435492796	0.140776222247	0.063511640058	0.023359586575	0.000499435178	0.888883315051	N\A	0.068422633077	0.292005813152	0.264126488157	0.276856901064	0.268325834248	0.363820649024	0.076133137393	0.073473491760	0.076379047747	0.079373646123	0.072547571930	
1200000	279.777549	1	0.662853076231	0.686017373931	0.149482986588	-0.002475932232	0.454581691979	-0.215179132754	0.525531872728	-0.064786060490	0.015594912867	0.037138965740	0.026511401877	-0.036886803351	0.000493059554	0.890301793799	N\A	0.067984500000	0.290136001955	0.262435197632	0.275084093433	0.266607653901	0.361490983337	0.075645631369	0.073003016340	0.075889967077	0.078865390035	0.072083025486	
1250000	277.960544	1	0.581987562397	0.741624252001	0.505103501010	0.458567544252	0.719509469883	0.337798941359	0.534606671967	-0.104467501024	-0.027531547947	-0.141038965050	-0.140651624305	-0.114793770581	0.000498295838	0.889136800703	N\A	0.068344543731	0.291672552912	0.263825046018	0.276540929966	0.268019599482	0.363405427986	0.076046248206	0.073389637972	0.076291877907	0.079283058610	0.072464774876	
1300000	275.585224	1	0.666566042164	0.676192653382	0.425102646996	0.413638527375	0.264738440112	0.452922232698	0.524143031451	-0.050791492483	-0.000968307230	0.021581305737	-0.029055872366	-0.103837843512	0.000505225038	0.887595159679	N\A	0.068818095773	0.293693520873	0.265653061579	0.278457052528	0.269876678656	0.365923425376	0.076573164536	0.073898146934	0.076820496180	0.079832402454	0.072966875560	
1350000	281.249507	1	0.794705531901	0.729890921265	0.622911452865	0.253573703933	0.622790619188	0.130241353961	-0.007871325037	-0.123888231725	-0.020986519310	-0.034580623891	0.006295986296	-0.102498717783	0.000488858006	0.891236573979	N\A	0.067694219375	0.288897177517	0.261314650255	0.273909537725	0.265469290945	0.359947486974	0.075322639200	0.072691307624	0.075565931641	0.078528650121	0.071775244952	
1400000	280.620351	1	0.807331367294	0.620412352755	0.375645325649	0.351799835555	0.501800541589	0.308800492301	0.062918176961	0.060055604773	0.124232569413	0.045273365072	0.038476032811	0.013868239495	0.000490649466	0.890838001482	N\A	0.067818141458	0.289426037152	0.261793016889	0.274410960755	0.265955263129	0.360606412402	0.075460525986	0.072824377454	0.075704263803	0.078672405880	0.071906637824	
1450000	280.247355	1	1.090690143628	0.702551998893	0.276175992709	-0.025906317134	0.496300150920	0.080071265789	-0.492925889155	-0.087942508862	0.052084338398	-0.024136305824	-0.038478219729	-0.069290823603	0.000491714635	0.890601017653	N\A	0.067891716007	0.289740029686	0.262077030911	0.274708663732	0.266243792688	0.360997627105	0.075542391606	0.072903383168	0.075786393848	0.078757756004	0.071984647901	
1500000	279.275422	1	0.670893424909	0.861063830962	0.419356198945	0.333230209326	0.677442359091	0.273136558066	0.255139893079	-0.206488806513	-0.131654150609	-0.224963120818	-0.158407569830	-0.256007150194	0.000494501069	0.889981078797	N\A	0.068083807622	0.290559814976	0.262818547003	0.275485919542	0.266997098143	0.362019027375	0.075756129906	0.073109654705	0.076000822524	0.078980591799	0.072188319984	
1550000	278.773817	1	0.141777685024	0.726564384491	0.879910537238	0.618894011492	0.874466629786	0.444201240383	1.321376533639	-0.040144635515	0.011750443308	-0.045695472877	-0.068114022592	-0.116668041222	0.000495945290	0.889659761758	N\A	0.068183156614	0.290983804553	0.263202056074	0.275887913047	0.267386704623	0.362547291389	0.075866674474	0.073216337494	0.076111724152	0.079095841555	0.072293658347	
1600000	280.715776	1	0.613615792096	0.795034996228	0.492650272199	0.269519620638	0.962533091414	0.401353028192	0.178760601831	-0.182117867998	-0.081273126937	-0.127532415296	-0.088771876285	-0.157203276457	0.000490377333	0.890898547044	N\A	0.067799331538	0.289345762455	0.261720406437	0.274334850613	0.265881498244	0.360506395241	0.075439596387	0.072804179013	0.075683266601	0.078650585440	0.071886693925	
1650000	281.450325	1	0.366485210887	0.742293274874	0.857592350236	0.707933993303	0.821149418700	0.308228691926	0.833547110643	-0.077279178019	-0.042787777253	-0.069414384824	-0.083249736794	-0.123824453746	0.000488287576	0.891363485996	N\A	0.067654712907	0.288728576606	0.261162146556	0.273749683627	0.265314362591	0.359737420974	0.075278680772	0.072648884846	0.075521831228	0.078482820659	0.071733356790	
1700000	283.433738	1	0.661958326708	0.740446938586	0.406315341352	0.228838623715	0.459296977631	0.208555287521	0.282812750530	-0.127338853017	-0.012391037519	-0.025693063413	-0.061961791938	-0.080998577271	0.000482689243	0.892609029248	N\A	0.067265756204	0.287068634373	0.259660687705	0.272175857210	0.263789032051	0.357669238652	0.074845892778	0.072231215928	0.075087645327	0.078031611603	0.071320951375	
1750000	280.666566	1	0.728921710657	0.692721573847	-0.019610451084	-0.030835072314	0.663472208129	-0.181373273452	0.367149626937	-0.033523817314	0.038115236384	-0.013052001028	0.003712646129	-0.054887598231	0.000490517652	0.890867328057	N\A	0.067809031111	0.289387157117	0.261757848934	0.274374097769	0.265919536039	0.360557970354	0.075450388999	0.072814594594	0.075694094073	0.078661837426	0.071896978249	
1800000	278.679335	1	0.512303388867	0.797451500938	0.669326851535	0.222746143489	0.423072748885	0.500064307976	0.567474002014	-0.175842191950	-0.034086264676	-0.046668069677	-0.127514617131	-0.185019322380	0.000496217794	0.889599133686	N\A	0.068201886162	0.291063736247	0.263274356270	0.275963697981	0.267460154319	0.362646881189	0.075887514644	0.073236449630	0.076132631635	0.079117568759	0.072313517028	
1850000	277.712815	1	0.784147705808	0.719293033330	0.571316305388	0.305471697841	0.780760732192	0.235750735471	-0.052907318039	-0.166396159457	0.024419418944	-0.073459150490	-0.075792828574	-0.055417213386	0.000499014042	0.888977011416	N\A	0.068393779156	0.291882673889	0.264015105645	0.276740150118	0.268212680866	0.363667225344	0.076101031941	0.073442507885	0.076346838595	0.079340174145	0.072516978517	
1900000	280.498334	1	0.785917921232	0.680887715061	0.376699756201	0.189088845796	0.398763741774	0.209612796185	0.164519279208	0.004002479039	0.069624926793	0.054627473801	-0.083638481161	-0.053593960159	0.000490997659	0.890760533995	N\A	0.067842200972	0.289528715427	0.261885891931	0.274508312203	0.266049614790	0.360734342994	0.075487296752	0.072850213006	0.075731121038	0.078700316109	0.071932147794	
1950000	277.643358	1	0.730580789853	0.753757288144	0.562812789938	0.529104249743	0.596330977224	0.204211151657	0.165739850171	-0.067387287690	-0.019646386937	-0.072422988499	-0.174526907271	-0.126189413664	0.000499215594	0.888932169142	N\A	0.068407589913	0.291941613762	0.264068418219	0.276796032261	0.268266841057	0.363740660673	0.076116399024	0.073457338132	0.076362255313	0.079356195307	0.072531621872	
2000000	279.500999	1	0.481892847288	0.733250181825	0.845880091902	0.477311884801	1.068174298892	0.297347375345	0.551765076676	-0.050230466909	0.018349252301	-0.088440344314	-0.057469980812	-0.120670766908	0.000493852958	0.890125273493	N\A	0.068039176468	0.290369343552	0.262646260884	0.275305329548	0.266822072847	0.361781712109	0.075706469295	0.073061728945	0.075951001509	0.078928817448	0.072140998189	
2050000	280.931723	1	0.310919617435	0.767668996512	0.726646239132	0.569422986654	0.800686537505	0.444732624070	0.972528647584	-0.154510711590	-0.043819328998	-0.071706903286	-0.057626513148	-0.187595046227	0.000489762046	0.891035438825	N\A	0.067756783597	0.289164181514	0.261556161981	0.274162689874	0.265714642465	0.360280156951	0.075392253745	0.072758490245	0.075635771042	0.078601227719	0.071841580932	
2100000	276.598742	1	0.266823153598	0.744665351752	0.753480104190	0.783066034146	0.905464675058	0.549759875788	1.068242457574	-0.095118441479	-0.059549633011	-0.097761710225	-0.155503897758	-0.145666980346	0.000502256731	0.888255562727	N\A	0.068615637273	0.292829493046	0.264871527016	0.277637849431	0.269082718477	0.364846901723	0.076347891112	0.073680743243	0.076594495122	0.079597540557	0.072752211611	
2150000	275.719457	1	0.128334720828	0.805828785534	0.582829575164	0.760918315332	0.878134335193	0.474505358698	1.240863474171	-0.110094542690	-0.086488549102	-0.067666557461	-0.082254290760	-0.228605617457	0.000504830902	0.887682848935	N\A	0.068791247352	0.293578940438	0.265549420739	0.278348416389	0.269771390030	0.365780665451	0.076543290583	0.073869316601	0.076790525733	0.079801256954	0.072938408550	
2200000	276.302203	1	0.302549432224	0.841654118562	1.189787557422	0.783313045461	1.336006337547	0.663404700476	0.593689019370	-0.247283882528	-0.167939429594	-0.182620819951	-0.208163324243	-0.214702398215	0.000503123399	0.888062742185	N\A	0.068674811591	0.293082030024	0.265099952965	0.277877285092	0.269314776170	0.365161546716	0.076413733748	0.073744285723	0.076660550430	0.079666185700	0.072814953323	
2250000	276.443183	1	0.690747581944	0.805540438650	0.268113717121	0.401727282498	0.336128310485	0.099124038377	0.394683487567	-0.106881453480	-0.100302890458	-0.151684776441	-0.086775403523	-0.199572833163	0.000502711184	0.888154453881	N\A	0.068646672729	0.292961942403	0.264991330738	0.277763427473	0.269204426958	0.365011925187	0.076382423935	0.073714069692	0.076629139486	0.079633543226	0.072785118076	
2300000	281.269616	1	0.699462910083	0.656180350813	0.539347151506	0.424676853241	0.499291699840	0.384562408842	0.234553215953	-0.030845013465	0.067363515625	0.026567243023	0.047997189401	-0.035911101218	0.000488800856	0.891249288941	N\A	0.067690262371	0.288880290296	0.261299375345	0.273893526593	0.265453773180	0.359926446571	0.075318236283	0.072687058520	0.075561514503	0.078524059800	0.071771049396	
2350000	282.463116	1	0.694588266935	0.716945809687	0.437439918743	0.142915428462	0.473063477335	0.072554985119	0.276549100775	-0.105718049694	0.029181849490	-0.013287100800	0.012055574249	-0.066985952172	0.000485420831	0.892001292796	N\A	0.067455819572	0.287879763760	0.260394374320	0.272944906176	0.264534383547	0.358679854219	0.075057374270	0.072435309497	0.075299809905	0.078252094532	0.071522472937	
2400000	279.510875	1	0.652426878621	0.712575461399	0.335951035348	0.251093086735	0.645916486893	0.049823784236	0.314118830556	-0.027740512428	0.053247790603	-0.024023758405	-0.070265333369	-0.040347416621	0.000493824604	0.890131581958	N\A	0.068037223203	0.290361007645	0.262638720850	0.275297426097	0.266814412934	0.361771326099	0.075704295917	0.073059631492	0.075948821112	0.078926551564	0.072138927169	
2450000	279.320499	1	0.709214159385	0.728426445886	0.127741243636	0.067764604990	0.491177825670	-0.064426940373	0.343747479899	-0.004707343576	0.036317404119	-0.046888016239	-0.045873572051	-0.075156437353	0.000494371487	0.890009908740	N\A	0.068074886516	0.290521742563	0.262784109563	0.275449822280	0.266962113182	0.361971591572	0.075746203486	0.073100075056	0.075990864042	0.078970242874	0.072178861059	
2500000	280.793348	1	0.318331546555	0.806186685554	0.800156999282	0.761050564065	0.979573502427	0.352376968414	0.858097332531	-0.183073765862	-0.095409762048	-0.153270454537	-0.135129558580	-0.197629507962	0.000490156222	0.890947740820	N\A	0.067784044477	0.289280522190	0.261661395003	0.274272994935	0.265821548587	0.360425110026	0.075422586637	0.072787763483	0.075666201909	0.078632851691	0.071870485266	
2550000	278.140379	1	0.847737774754	0.760541835110	0.789674642755	0.480600812486	0.715692116122	-0.049032339848	-0.047057597777	-0.123252416702	-0.057256294101	-0.103579464307	-0.077514807084	-0.156599089054	0.000497775114	0.889252653758	N\A	0.068308824060	0.291520112836	0.263687160195	0.276396398298	0.267879521412	0.363215497359	0.076006503308	0.073351281528	0.076252004633	0.079241622022	0.072426901803	
2600000	283.341648	1	0.567623101230	0.741664218285	0.425501102522	0.217816480052	0.711701756802	0.149113659561	0.530267963776	-0.116414120673	-0.043846561939	-0.054118148107	-0.074171746758	-0.105392591492	0.000482947746	0.892551516356	N\A	0.067283765774	0.287145493431	0.259730208626	0.272248728912	0.263859658284	0.357765000144	0.074865931835	0.072250554938	0.075107749110	0.078052503597	0.071340046673	
2650000	275.085117	1	0.087869257392	0.704224687068	0.676757377106	0.551783692521	0.663526888516	0.390047001000	1.398373492552	-0.047786180674	-0.003188929077	-0.002285500498	0.046929260563	-0.049172980892	0.000506696169	0.887267855557	N\A	0.068918216343	0.294120803297	0.266039549111	0.278862168051	0.270269310952	0.366455792068	0.076684567631	0.074005658258	0.076932259108	0.079948547278	0.073073032016	
2700000	278.660706	1	0.208217914860	0.819114831913	1.169221042582	0.898365789573	0.963720723618	0.770397175194	0.766292408988	-0.219899050054	-0.077055489654	-0.070971960745	-0.105378675125	-0.207149817067	0.000496271543	0.889587175465	N\A	0.068205579752	0.291079499303	0.263288614345	0.275978643269	0.267474639083	0.362666520954	0.075891624463	0.073240415876	0.076136754729	0.079121853507	0.072317433291	
