Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  CEREB_d1_m2-fab-001.txt
Log File Name:                   CEREB_d1_m2-fab-001.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            555591975
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   CEREB_d1_m2-fab-001.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.111269
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.79 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	No RJ Local Node	No RJ LS Betas	
1000000	363.915692	1	1.162748247244	0.543578981351	-0.141448760137	-0.400138835847	-0.165662215696	-0.683171667892	-0.283229584673	0.099649255907	0.178073294356	0.166100380014	0.120031157913	0.073255769228	0.000257148444	0.939377334893	N\A	0.101922871976	0.328327444507	0.322371994935	0.330412016909	0.329170177992	0.371481385788	0.103446931337	0.103197708787	0.105528415948	0.109413104320	0.104335861925	34	10	
1050000	379.564071	1	1.028031909582	0.734277889817	-0.259753078697	-0.351972361203	-0.098747789624	0.197451382381	-0.105720014642	-0.052970944894	0.006984682873	0.010496075480	-0.206832354021	-0.066326925592	0.000490317344	0.940085556742	N\A	0.085964988266	0.256050694265	0.248844103618	0.281572116073	0.251609737726	0.371162808913	0.088468557774	0.087428482816	0.090165695344	0.089791094400	0.089243550873	32	6	
1100000	398.448228	1	0.359578701286	0.814293754175	0.620054489346	0.424843015227	0.930109869886	0.652407176354	1.053465575680	-0.152373988331	-0.101051656165	-0.198750321533	-0.215626869760	-0.227640875124	0.000267357660	0.949039074053	N\A	0.050061808419	0.209850367092	0.190607082984	0.203037124476	0.199616959354	0.308287591060	0.052847174477	0.051778677185	0.056580057133	0.060903831647	0.056005237127	38	8	
1150000	394.961111	1	0.135866548931	0.934735922580	1.076020285632	0.846961116339	1.348945281814	0.917731920255	1.062593251310	-0.302766706612	-0.229983542298	-0.306665824249	-0.340540951930	-0.372574457603	0.000273175075	0.947984505879	N\A	0.051748554537	0.206896989508	0.195044208277	0.206232797678	0.202178093940	0.272436404575	0.053589604713	0.054440493821	0.057885013904	0.061792069814	0.056559166038	30	8	
1200000	390.764076	1	0.387581064916	0.934722348086	0.913659109003	0.718858399250	0.906830889646	0.644685308592	0.587422319473	-0.294424791615	-0.198516769614	-0.260443160388	-0.288119406894	-0.353317278218	0.000280026505	0.939013764786	N\A	0.050172081058	0.195598126377	0.189563905645	0.209484741920	0.208311459617	0.274400215302	0.053855014440	0.052829725259	0.056909718214	0.062531600934	0.054834581392	38	8	
1250000	390.672169	1	0.300175089070	0.842139635921	0.834532427781	0.732277670553	1.019353997923	0.435675981672	0.759907783395	-0.180279797850	-0.146166240578	-0.210496688638	-0.126299017781	-0.214289452059	0.000328502808	0.951937030366	N\A	0.066467228857	0.239483968737	0.228917745335	0.246117604128	0.236797149428	0.306491641617	0.067541627509	0.068689044231	0.074454102312	0.076193820736	0.069593655959	39	6	
1300000	390.588030	1	0.607505506909	0.777651063604	0.068718537841	-0.117391692154	0.687313416897	-1.272382742062	0.522852397013	-0.136175045898	-0.059026145679	-0.169672948379	-0.135382707424	-0.161761141528	0.000359239920	0.953080622865	N\A	0.106520445194	0.355200427237	0.351047441214	0.364755131583	0.355419948906	0.415493979289	0.107407768436	0.107647261187	0.110449320247	0.111740275653	0.108321288069	34	9	
1350000	386.535215	1	0.205822986910	0.721883007350	0.044168688480	-0.063192800324	0.468667423436	-0.988488517401	0.575154996931	-0.024602571510	0.028999332017	-0.141987564599	-0.070598558607	-0.082207406767	0.000640501120	0.962519278504	N\A	0.077485451027	0.265319630564	0.261066617221	0.309998388155	0.275975102258	0.410807811206	0.078246975902	0.078654019734	0.085201352702	0.087321160081	0.081189484531	38	13	
1400000	375.932043	1	-0.553666309797	0.724296913602	0.538812537833	0.346590437673	0.632545039288	0.230090356450	1.556594230337	-0.087545518195	0.013621441572	-0.065876012803	-0.207018956665	-0.137499626312	0.000366018308	0.943160250560	N\A	0.063675769195	0.214975496996	0.206305977630	0.249256677197	0.223112586698	0.315605472598	0.065824050753	0.065528190033	0.072665306387	0.072470565901	0.067776885293	35	7	
1450000	403.242607	1	1.660397877558	0.719245897678	0.327209980664	0.218614661946	0.562171401471	-0.122468202525	-0.445767093086	-0.037935702081	-0.043219363513	-0.007229997010	-0.077291920944	-0.087590587878	0.000422638514	0.946493580747	N\A	0.056627161749	0.216295900179	0.208607120605	0.254249055839	0.217365582443	0.329558505692	0.058802847361	0.058491975797	0.066092546806	0.064267112632	0.061536505426	34	12	
