Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  CEREB_d1_m2-glob-002.txt
Log File Name:                   CEREB_d1_m2-glob-002.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            2505878637
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   CEREB_d1_m2-glob-002.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.111269
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.79 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	No RJ Local Node	No RJ LS Betas	Global Trend	
1000000	391.784827	1	0.832590732844	1.051484414497	0.087867637654	-0.023697315527	0.433544358822	0.416090725892	-0.713441244367	-0.397028231772	-0.348790973164	-0.365384451110	-0.458575584322	-0.414241674118	0.000329182724	0.955116734566	N\A	0.054987402882	0.207017324168	0.195480321115	0.221558747197	0.204583658129	0.283183187341	0.056507672994	0.056884389385	0.064879973708	0.062366681609	0.060018160862	39	16	-0.000237983885	Global Trend	
1050000	401.455023	1	0.652282346900	0.986437950970	-0.039705804444	-0.246985503628	0.933347962315	0.718920804397	0.278305417507	-0.340954033164	-0.243171069571	-0.326807210315	-0.429235958758	-0.308820689284	0.000388175971	0.987371209045	N\A	0.075520924195	0.108755781232	0.096829511524	0.137422831868	0.113057947485	0.216444166022	0.078187682423	0.076881901220	0.076504439591	0.079700629703	0.078013375906	39	11	-0.066922545221	Global Trend	
1100000	378.679512	1	0.513271091017	0.955385980118	0.084654788932	-0.010476308323	0.879339993587	0.627421233330	0.045659070863	-0.300565544708	-0.242657319517	-0.338725102573	-0.314835608297	-0.315000489456	0.000403110405	0.958359324726	N\A	0.071191230946	0.109169167598	0.101146557505	0.162492778186	0.139039650880	0.222807145413	0.072938181648	0.072377331400	0.078424908609	0.079330580638	0.074391062638	41	12	-0.009711082459	Global Trend	
1150000	388.011887	1	0.487945379855	0.762055400986	0.128076490925	0.016079009455	0.704921973153	0.295221428834	-0.297669173828	-0.115782852322	-0.037254818266	-0.142471374392	-0.131340637237	-0.170927313968	0.000353849459	0.960816287722	N\A	0.073273593859	0.107447761548	0.099371183254	0.150085913974	0.139151846333	0.212701890227	0.074609360178	0.074608041395	0.078183144263	0.082502943385	0.076589976904	37	12	0.018342452125	Global Trend	
1200000	386.316149	1	0.805862554168	0.725239927359	0.409285091731	0.335631536776	0.554918017034	0.373520640565	-1.048372799663	-0.061863238137	-0.006329841222	-0.049801842879	-0.149201965600	-0.083786520122	0.000479438504	0.999737295715	N\A	0.063042070425	0.110835535581	0.103433112590	0.166675441718	0.150805518845	0.245361392332	0.064450135566	0.065070239178	0.070772399114	0.075654723806	0.066282216216	43	9	0.549306578224	Global Trend	
1250000	388.844169	1	0.855495931134	0.749089459348	0.106847300758	-0.046924865033	0.544294703144	0.134469194288	-0.035182970812	-0.093509405622	-0.032193148146	-0.093287231152	-0.193091215845	-0.040035368955	0.000150132388	0.999184117120	N\A	0.061236611270	0.099675715924	0.088002743006	0.120613926686	0.112304140205	0.171705440233	0.063032682529	0.062942373598	0.065251565883	0.067603547798	0.066124706838	47	9	-0.084392628059	Global Trend	
1300000	396.553230	1	0.484971715058	0.940874679089	0.637874437192	0.645017530005	0.731901021159	0.665953927454	0.538742551013	-0.270267000947	-0.218237572124	-0.222604678220	-0.307948626652	-0.345969500905	0.000340634758	0.948546901626	N\A	0.051923590337	0.189798076817	0.178596675131	0.219015250307	0.187743126923	0.294437849146	0.054813574981	0.053802544208	0.059246742259	0.060132329722	0.058031229506	36	14	0.000144595865	Global Trend	
1350000	391.948624	1	0.957651254427	0.737157219635	0.152004875243	0.048366459962	0.507476789417	-0.244048932472	0.026783136602	-0.052866144980	0.019728720594	-0.069214509780	-0.036600653002	-0.089836797264	0.000327674671	0.999773298778	N\A	0.058179882986	0.094171461311	0.087096275329	0.138562010963	0.132801088825	0.201924573849	0.060479316905	0.059647976025	0.063720797237	0.069785619648	0.062152874917	36	9	-0.445236321272	Global Trend	
1400000	396.559948	1	0.572163770520	0.739472639411	0.066350585098	0.087214809280	0.572364413944	0.064529596784	0.622096126575	-0.068778804418	-0.035134805099	-0.079244874162	-0.037341386333	-0.141101945917	0.000196353792	0.948388033917	N\A	0.070898066836	0.255706877619	0.245659453878	0.283995205091	0.246417304797	0.331271682308	0.073423714990	0.072336152360	0.080637532594	0.074726499378	0.073654542581	52	10	-0.000056234340	Global Trend	
1450000	411.271461	1	1.036079947176	0.700228155911	0.252547003903	0.143930507136	0.386372477802	0.028035067513	-0.339736829486	-0.025491131330	0.021666940499	-0.027809302180	0.004538886720	-0.062816303620	0.000352102294	0.951261582387	N\A	0.056535675758	0.206414822469	0.196105378076	0.213963441521	0.212003453932	0.285057379563	0.058498827565	0.058169294519	0.063205587130	0.068585128186	0.061414537966	34	10	-0.000342598360	Global Trend	
