Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  CEREB_d1_m3-glob-006.txt
Log File Name:                   CEREB_d1_m3-glob-006.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            314913737
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   CEREB_d1_m3-glob-006.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.111269
Restrictions:
    Beta-1                       None
    Beta-2                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.79 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      3
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	No RJ Local Node	No RJ LS Betas	Global Trend	
1000000	389.981398	1	0.840863090697	0.784160105696	-0.025116582165	0.000820072684	0.952362343373	N\A	0.021295265497	0.005086009174	41	11	-0.000409007545	Global Trend	
1050000	404.604154	1	0.821624528152	0.770100088114	-0.025189003825	0.000420696067	0.950038349206	N\A	0.019826374590	0.004835661879	41	12	0.002885428128	Global Trend	
1100000	385.654113	1	0.852033886393	0.811832916176	-0.032856844708	0.000488256683	0.948329762322	N\A	0.021385908253	0.005390170787	49	8	-0.002276554080	Global Trend	
1150000	389.094821	1	0.766543522930	0.770198586910	-0.022064758413	0.000394290063	0.952494556284	N\A	0.021349182900	0.005276442713	31	5	0.003280712535	Global Trend	
1200000	387.891278	1	0.821780027098	0.783509186590	-0.026090136628	0.000205325393	0.949775174832	N\A	0.019610355341	0.004557237903	42	6	-0.000655715274	Global Trend	
1250000	398.766206	1	1.042387006207	0.761168206668	-0.016943043700	0.000282112945	0.951998774824	N\A	0.019355380606	0.003908552099	32	10	-0.001864042311	Global Trend	
1300000	378.816177	1	0.908141106797	0.778984218881	-0.023829827224	0.000260109536	0.941594218536	N\A	0.023331763565	0.005336138009	40	11	0.001729459706	Global Trend	
1350000	395.372781	1	0.847317227675	0.803625636691	-0.029976943453	0.000194228521	0.943750938929	N\A	0.021787591015	0.004914278830	34	7	-0.001504597683	Global Trend	
1400000	399.623724	1	0.894665824045	0.816820555561	-0.036517360348	0.000324542890	0.960183176076	N\A	0.020861536002	0.004894197742	40	8	-0.002856086333	Global Trend	
1450000	392.387869	1	0.748572691526	0.775950588022	-0.022140571281	0.000220533084	0.944782933888	N\A	0.022065604789	0.005058957042	32	11	0.001491857102	Global Trend	
