Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  CEREB_d1_m7-glob-006.txt
Log File Name:                   CEREB_d1_m7-glob-006.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            2805774744
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   CEREB_d1_m7-glob-006.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.111269
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.79 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Node	No RJ LS Betas	Global Trend	
1000000	559.680005	1	-0.837783574985	0.963303756094	0.034167013074	0.003655667898	0.000085791261	0.999107462457	N\A	0.018382818423	0.019818510571	0.001826424096	50	1	-0.082886011873	Global Trend	
1050000	564.853968	1	-0.778082518407	0.952535018237	0.061704470260	-0.001425193230	0.000082657142	0.989828713465	N\A	0.021011855873	0.021558674801	0.002383459717	35	0	0.020987263120	Global Trend	
1100000	574.285199	1	-0.775356444108	0.951342809226	0.056657142586	0.000559436245	0.000083215767	0.989534882368	N\A	0.021213209587	0.021642176343	0.002431811315	26	1	0.018884452402	Global Trend	
1150000	563.294893	1	-0.707271165479	0.899007001708	0.105596770948	-0.003963476629	0.000028329868	0.999204459258	N\A	0.023227350560	0.025119104080	0.002402824908	40	2	0.037871769360	Global Trend	
1200000	561.068420	1	-0.839405463622	0.987038014223	0.010502312496	0.002502134068	0.000019734405	0.999999375876	N\A	0.020598046060	0.022186507953	0.002022506925	42	2	1.112673978729	Global Trend	
1250000	571.576968	1	-0.862553248620	0.986031919667	0.011787681794	0.002706185197	0.000009741986	0.998023819981	N\A	0.019386293878	0.020958572018	0.002040896973	44	0	0.007836984569	Global Trend	
1300000	570.290412	1	-0.796308666257	0.953570050329	0.044784987051	0.001516423248	0.000013597074	0.999987825624	N\A	0.020528511452	0.022422993769	0.002251269726	37	1	-0.132884325409	Global Trend	
1350000	555.266902	1	-0.882204667504	1.018122361456	0.004034540906	-0.001345431298	0.000083251275	0.986619906119	N\A	0.022940186268	0.022902217314	0.002721764650	50	1	0.008851992792	Global Trend	
1400000	568.990712	1	-0.789928353066	0.958867742828	0.041335251432	0.002210368202	0.000083640880	0.998894921968	N\A	0.019402618671	0.020863506799	0.002036493324	38	0	0.084564624480	Global Trend	
1450000	570.135224	1	-0.763889859972	0.991950038803	0.007274203104	0.002996619322	0.000095449261	0.999709049124	N\A	0.021736048405	0.023499076484	0.002193397693	43	0	0.264840278085	Global Trend	
