Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  CEREB_d1_m8-VR-001.txt
Log File Name:                   CEREB_d1_m8-VR-001.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            120799098
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   CEREB_d1_m8-VR-001.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Branch	No RJ Local Node	
1000000	562.422462	1	-1.137038211773	1.139773819277	-0.020466359671	0.026521255646	0.000036437245	0.984432719706	N\A	0.039435116569	0.004772342916	0.015548856676	39	21	
1050000	564.519701	1	-0.958474571875	1.050140624378	-0.009245985084	0.021763302592	0.000082142167	0.987755212349	N\A	0.027321026293	0.004202094001	0.014560557247	42	29	
1100000	564.953761	1	-0.887224403584	0.998844184672	-0.003736036373	0.038877662498	0.000073608098	0.984572347351	N\A	0.036348910769	0.004409734287	0.015881678332	39	28	
1150000	566.751182	1	-0.997446679155	1.035963523250	-0.006812714621	0.038739097925	0.000086619835	0.979920488506	N\A	0.041523699661	0.004866286098	0.017158836992	36	21	
1200000	564.705461	1	-0.886158688908	0.989892308464	-0.001207468477	0.041363614640	0.000085338575	0.986549570384	N\A	0.035336171408	0.004458741160	0.015217319978	36	20	
1250000	568.205796	1	-0.952359211962	1.038161213807	-0.004875514936	0.014748838267	0.000079623676	0.981673840855	N\A	0.042306784436	0.005069865046	0.018198490858	40	28	
1300000	564.028849	1	-0.950919292210	1.035378574724	-0.004781546311	0.017934191839	0.000068450237	0.983186135510	N\A	0.042236724658	0.004790019855	0.017059448270	50	18	
1350000	564.228563	1	-0.962450307739	1.036162446062	-0.003009771348	0.010244235770	0.000093247820	0.988370656800	N\A	0.037694231423	0.004411793270	0.015498388219	41	24	
1400000	554.250615	1	-0.962207805085	1.023024849654	-0.012370877349	0.072847335483	0.000082507199	0.982803452007	N\A	0.038057565697	0.004486499607	0.016463307393	38	29	
1450000	567.593764	1	-1.037546538063	1.089215378648	-0.013581298629	0.020876032174	0.000084779745	0.985489655984	N\A	0.039229698023	0.004403151983	0.015898616444	48	24	
1500000	557.569333	1	-0.924878485862	1.008209410267	-0.012523637359	0.080124774222	0.000074696105	0.983580534067	N\A	0.041430561088	0.004539037896	0.016566183875	57	11	
1550000	552.396769	1	-0.994605749767	1.040458422282	-0.005095372803	0.024998377784	0.000028945358	0.986518632570	N\A	0.030112866040	0.004707306966	0.015443322646	50	25	
1600000	553.117815	1	-0.962961409324	1.030846334224	-0.012100310966	0.062369585069	0.000068611572	0.986153697389	N\A	0.040968954831	0.004899697936	0.016465213097	49	21	
1650000	568.788745	1	-1.010248825528	1.072343404888	-0.010127635389	0.010751673943	0.000065531989	0.990043323223	N\A	0.024378914097	0.004172144264	0.013010223967	57	26	
1700000	563.976039	1	-0.956001740838	1.053451905606	-0.010206920826	0.014757311317	0.000079902438	0.984224323795	N\A	0.039873991020	0.004735944722	0.016757980928	45	26	
1750000	561.816232	1	-0.936441146911	1.031673410086	-0.013144966104	0.064712810447	0.000081661680	0.987548341203	N\A	0.040554201952	0.004341046732	0.016288267430	51	25	
1800000	560.746766	1	-0.766417077538	0.925152438370	0.003171728855	0.056683057642	0.000113792438	0.980434187438	N\A	0.041121661511	0.004542716598	0.016231485842	37	20	
1850000	566.354168	1	-1.151898137585	1.158240446115	-0.021070529740	0.007708690093	0.000077781215	0.986457509951	N\A	0.039190790842	0.004269978366	0.015362225777	60	21	
1900000	557.485418	1	-0.938330485290	1.049921065644	-0.009121584736	0.016847390202	0.000055895903	0.985915857229	N\A	0.043438610313	0.004694111864	0.015563948547	48	21	
