Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  CEREB_d1_m8-fab-004.txt
Log File Name:                   CEREB_d1_m8-fab-004.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            1629109661
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   CEREB_d1_m8-fab-004.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.111269
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.79 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Node	No RJ LS Betas	
1000000	562.616303	1	-1.139406335348	1.155277323388	-0.016134048054	-0.011044784947	0.000071198257	0.983168034534	N\A	0.039142225633	0.004758518113	0.014842398470	30	1	
1050000	575.729681	1	-0.952757371504	1.028801614234	-0.000131830422	0.002824381759	0.000090061940	0.987753636459	N\A	0.030664752822	0.004441446978	0.014916484223	33	0	
1100000	573.322264	1	-1.012952933926	1.071389761978	-0.009639043704	0.022041075387	0.000083461295	0.989066159924	N\A	0.025929414918	0.003526929969	0.013113495630	34	2	
1150000	580.723020	1	-0.958341872865	1.046695627643	-0.009716094368	0.031132873568	0.000092394069	0.987321114428	N\A	0.040607482560	0.004644500742	0.015783864374	34	1	
1200000	565.013625	1	-0.969797306387	1.060474388145	-0.011556558034	0.029937526558	0.000059697978	0.986245900120	N\A	0.043068926442	0.004916370092	0.016307480081	26	0	
1250000	573.307712	1	-1.116161088925	1.146002269124	-0.021774995744	0.016796453067	0.000102169018	0.983575545772	N\A	0.041900817972	0.004779554053	0.017532082996	31	1	
1300000	575.130992	1	-1.061568672583	1.112316741937	-0.015918350986	0.013994690587	0.000085162469	0.988913960404	N\A	0.035977169748	0.004054493486	0.014394815578	31	0	
1350000	561.489078	1	-0.964050053296	1.063350891163	-0.017821283126	0.051065699916	0.000065679904	0.980957309816	N\A	0.045548369558	0.005381836038	0.017864832367	39	0	
1400000	575.523215	1	-0.915149746834	1.029031852966	-0.006732566968	0.025000384257	0.000139094862	0.985935065606	N\A	0.029383035884	0.004547041901	0.015396468243	42	0	
1450000	571.878836	1	-0.851720777200	0.988304297722	-0.005381985980	0.054392988794	0.000094819415	0.991002791966	N\A	0.032003244741	0.003410043735	0.014200656813	37	1	
1500000	567.457289	1	-0.989701294435	1.053829782746	-0.013407857249	0.051955334289	0.000084258733	0.983961028912	N\A	0.040833236897	0.004481717365	0.016824802219	35	0	
1550000	550.802280	1	-1.142824825790	1.141318958156	-0.021616723299	0.026357018942	0.000087415030	0.982455247781	N\A	0.035062008313	0.004452008988	0.016029509714	36	2	
1600000	566.703307	1	-0.838193823763	0.980901981864	-0.005660256745	0.056624238257	0.000094545081	0.984837033913	N\A	0.043587883304	0.004722645093	0.016346590738	25	0	
1650000	568.676839	1	-0.976445368623	1.043903458592	-0.010785064005	0.045450549643	0.000071320593	0.982994977627	N\A	0.042029249591	0.004742861316	0.017327856017	33	0	
1700000	572.967718	1	-0.970267633765	1.059907713635	-0.012330136131	0.027215583297	0.000080024944	0.987753995449	N\A	0.041715486588	0.004271762195	0.016719278376	40	0	
1750000	574.820315	1	-0.889092240399	0.998660674664	-0.001263827048	0.027943669830	0.000046272979	0.985229746177	N\A	0.039709685514	0.004394172224	0.016350436494	35	2	
1800000	569.113413	1	-1.168228604422	1.142210596294	-0.022369701875	0.039465650248	0.000031643099	0.984318939142	N\A	0.040116936037	0.004723830626	0.016247971676	29	2	
1850000	570.877861	1	-1.117170458152	1.131928982045	-0.016072910664	0.005497852222	0.000041382493	0.989498000800	N\A	0.029325554781	0.003487378212	0.013549203263	42	1	
