Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  CEREB_d1_m9-VR-002.txt
Log File Name:                   CEREB_d1_m9-VR-002.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            570868080
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   CEREB_d1_m9-VR-002.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      5
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	No RJ Local Branch	No RJ Local Node	
1000000	566.829797	1	-1.172161755290	1.213269843985	-0.033179162626	-0.031899927663	0.012152079204	0.000076029352	0.980866989394	N\A	0.071903233624	0.009332224876	0.035491105744	0.006121799064	37	24	
1050000	558.056432	1	-1.073842816889	1.155831658248	-0.020617242166	-0.050907171708	0.011970881940	0.000087843432	0.980050926218	N\A	0.086376876455	0.012454846372	0.037150630504	0.007168457209	46	27	
1100000	559.668672	1	-1.256119120911	1.255029148104	-0.038996754889	-0.049178809264	0.019995735918	0.000078650011	0.983542971810	N\A	0.081960890415	0.011639512382	0.035797792071	0.006815730624	45	19	
1150000	570.852675	1	-1.028370411536	1.096256097355	-0.017211035416	0.008535899387	0.006250101385	0.000084556758	0.987595897406	N\A	0.072564264361	0.009373180189	0.033693244917	0.005800473664	42	17	
1200000	559.234189	1	-0.994585297568	1.103071603002	-0.020266107020	-0.008200939752	0.011198757481	0.000083296062	0.984420754848	N\A	0.069862234104	0.008309920487	0.034962932949	0.005499315549	52	21	
1250000	562.876432	1	-1.275313126228	1.267993570210	-0.035056687484	-0.072918162211	0.018092265932	0.000078917227	0.982385432665	N\A	0.077654599253	0.009160181521	0.038249070822	0.005881052898	41	21	
1300000	577.145837	1	-1.243231582225	1.276686838303	-0.036269157054	-0.103302664376	0.022631792358	0.000065347456	0.984238358215	N\A	0.067199804250	0.008789736752	0.033341491131	0.005897436115	44	23	
1350000	560.252865	1	-1.185891948082	1.252420617305	-0.039531642164	-0.078166027833	0.023349890215	0.000095346596	0.982947056981	N\A	0.084227239600	0.010400298688	0.038601936386	0.006239298321	41	20	
1400000	563.339763	1	-1.156386772241	1.163377987025	-0.021781178028	-0.015502493364	0.006079645957	0.000077589819	0.982418197446	N\A	0.067944685571	0.008474868969	0.033778641898	0.005521390839	36	18	
1450000	568.583661	1	-0.946987744190	1.067673924454	-0.012048489371	-0.009709089496	0.007305550611	0.000103026266	0.984262982780	N\A	0.076019892013	0.009438344727	0.037080855032	0.006284490401	46	27	
1500000	560.580213	1	-1.198096703923	1.236300060197	-0.033219549847	-0.055152049701	0.014484712584	0.000068232929	0.987009558512	N\A	0.064885677945	0.008041528074	0.031930561421	0.005153918818	55	27	
1550000	567.474158	1	-1.146660960911	1.165859665235	-0.020095556629	-0.026234160211	0.005184765682	0.000072412850	0.985089312334	N\A	0.065811178679	0.008157612571	0.032898858166	0.005556960462	47	29	
1600000	569.060591	1	-1.282250826777	1.269174613309	-0.034430730234	-0.057123078949	0.011905800801	0.000090078774	0.986579258934	N\A	0.069393779078	0.008648530794	0.033387116073	0.005626211341	49	14	
1650000	574.457212	1	-1.079629649244	1.113367764558	-0.016498812900	0.004153774460	0.004354194593	0.000096219452	0.987565464403	N\A	0.080179919613	0.010699969048	0.035934201677	0.006508752833	43	20	
1700000	566.941889	1	-1.001778590889	1.093366574023	-0.020983960626	0.023863275835	0.006577392904	0.000078349454	0.983311778629	N\A	0.074685810272	0.008863350061	0.037061015278	0.005690430752	52	23	
1750000	570.010175	1	-1.174094089226	1.192494964757	-0.025477238439	-0.048042977118	0.011600980957	0.000058195457	0.983243176812	N\A	0.064906548880	0.007790103387	0.034029261141	0.005441250887	42	25	
1800000	576.606081	1	-1.218494753093	1.246832747394	-0.033244300148	-0.074008326335	0.017269711481	0.000089521571	0.988718197386	N\A	0.071756576847	0.008916218782	0.034147201597	0.005618255576	48	27	
1850000	573.234452	1	-1.415166180663	1.385623077762	-0.049967869574	-0.111898921449	0.021876346642	0.000120752259	0.983169842736	N\A	0.055057484979	0.007767475323	0.027068954852	0.004963137496	38	29	
1900000	565.573937	1	-1.142579870962	1.176945137238	-0.024143235755	-0.019710304020	0.007207843479	0.000086189006	0.984738618077	N\A	0.066343629107	0.008333484776	0.032664245268	0.005519898237	37	11	
1950000	568.727585	1	-1.258011720934	1.253217467145	-0.033323200670	-0.057703004466	0.014594431209	0.000077152790	0.984751588723	N\A	0.051068976984	0.007021556998	0.025266454646	0.004801732108	48	25	
2000000	553.761018	1	-1.165077962092	1.173006612830	-0.021231259494	-0.032277741446	0.010123897764	0.000088918768	0.983111020191	N\A	0.058968266188	0.007840200164	0.031203577199	0.005278409864	48	16	
2050000	565.151733	1	-1.423719768756	1.363676539337	-0.041916898118	-0.149182111095	0.027647212597	0.000079286600	0.991990022051	N\A	0.061712983501	0.007954380022	0.033752066544	0.005644025127	50	28	
2100000	564.846912	1	-1.148386670656	1.191075863516	-0.032183152345	-0.011710445782	0.011384269895	0.000238429164	0.981930499267	N\A	0.072908436876	0.009133683937	0.035750780277	0.006052638706	48	31	
