Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  CEREB_d1_m9-fab-002.txt
Log File Name:                   CEREB_d1_m9-fab-002.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            2222014520
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   CEREB_d1_m9-fab-002.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.111269
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.79 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      5
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	No RJ Local Node	No RJ LS Betas	
1000000	576.363584	1	-1.084326226806	1.185751882880	-0.035898875823	-0.023708503695	0.016476608830	0.000082180349	0.983597916507	N\A	0.078895162970	0.011046539780	0.036282829049	0.006761143471	25	2	
1050000	568.085290	1	-1.115423844464	1.137375692081	-0.019911813068	0.013554703494	0.001857313279	0.000084760905	0.985014179250	N\A	0.080341073860	0.010407757412	0.036879897394	0.006429506179	29	0	
1100000	572.692547	1	-1.143493312379	1.172976660996	-0.024394568156	-0.025913167948	0.009647352121	0.000071283333	0.981768946685	N\A	0.075479501584	0.009792427193	0.035666671504	0.006062863436	37	1	
1150000	558.928734	1	-1.134596098958	1.186588641621	-0.028824064417	-0.032001071914	0.011869232777	0.000062450621	0.988005258543	N\A	0.074431564704	0.009052618284	0.035347872984	0.005771736533	46	0	
1200000	564.790552	1	-1.095886820951	1.172241722927	-0.027070447339	-0.048377027462	0.016324326493	0.000081263188	0.988092118021	N\A	0.063429782092	0.008082521976	0.032212243049	0.005436270559	31	0	
1250000	565.247064	1	-1.225549544273	1.252557231407	-0.036071993210	-0.046678298052	0.011777832442	0.000079218776	0.983203410624	N\A	0.079748832909	0.011329553586	0.036052036932	0.006962322950	35	1	
1300000	574.760629	1	-1.050946582783	1.117495475105	-0.022091500297	0.012780041551	0.007115712882	0.000095558559	0.986928654336	N\A	0.073072154337	0.009174294243	0.034978748445	0.005972767717	37	0	
1350000	564.891714	1	-1.225486372175	1.248345266817	-0.037518969336	-0.053105872939	0.017555714457	0.000081848894	0.982374959637	N\A	0.078047741588	0.010329614823	0.035933267676	0.006229186171	31	0	
1400000	575.802088	1	-0.957539289953	1.078505404255	-0.015719206792	-0.020088426636	0.013458107549	0.000115045122	0.987002698711	N\A	0.072051526839	0.010166920491	0.033467049579	0.006450306042	31	1	
1450000	571.651208	1	-1.084498294207	1.166785478112	-0.023578831463	-0.068199606649	0.018370236944	0.000086058997	0.985322018502	N\A	0.074288407492	0.008981802115	0.035246439503	0.005654948275	27	1	
1500000	569.536619	1	-1.037672468505	1.117761501483	-0.017606941998	-0.032793389279	0.012534530413	0.000095673188	0.983675377252	N\A	0.078225098184	0.009534483545	0.037836567615	0.006203063961	24	0	
1550000	574.611019	1	-1.231208050256	1.254201732516	-0.035684580943	-0.075744985831	0.020587014279	0.000066643493	0.983245604515	N\A	0.077877730504	0.010337797816	0.036115402742	0.006314024978	42	0	
1600000	580.441434	1	-1.199746508849	1.228107156914	-0.030260897474	-0.061843110297	0.014435993620	0.000084859950	0.986933203776	N\A	0.078971409510	0.010190818906	0.036308533938	0.006354167008	27	1	
