Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  CEREB_d1_m9-glob-005.txt
Log File Name:                   CEREB_d1_m9-glob-005.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            2766487865
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   CEREB_d1_m9-glob-005.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.111269
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.79 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      5
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	No RJ Local Node	No RJ LS Betas	Global Trend	
1000000	582.964346	1	-1.094613637987	1.162650570425	-0.025510203483	-0.022548852364	0.012473253389	0.000081011400	0.987141116041	N\A	0.073001360102	0.009529472690	0.033695606175	0.005832822829	37	2	0.000839463397	Global Trend	
1050000	567.365344	1	-1.117954509248	1.201699071921	-0.032853370289	-0.045978551971	0.018592419387	0.000073885151	0.984101710861	N\A	0.064946914848	0.008108342772	0.033438502119	0.005558802552	32	0	0.001211029085	Global Trend	
1100000	575.542832	1	-1.033310212140	1.135908714283	-0.024345978944	-0.039139192569	0.016348767207	0.000098885800	0.986770114542	N\A	0.061559524450	0.009505777988	0.029166741632	0.006086063236	31	1	-0.000701935827	Global Trend	
1150000	564.705701	1	-1.182266916533	1.243218097130	-0.036470233139	-0.074454660556	0.020573431409	0.000084499688	0.982628136923	N\A	0.068546999321	0.008628144194	0.034027559826	0.005615587885	28	1	0.000318731684	Global Trend	
1200000	576.188351	1	-1.203920853811	1.273284667169	-0.038035792935	-0.089481059822	0.024797985119	0.000077969913	0.982551064772	N\A	0.069632507187	0.008346719904	0.035211569069	0.005407713198	36	2	0.002143798823	Global Trend	
1250000	592.330174	1	-1.141528644969	1.187506599771	-0.029629727980	-0.019707386464	0.009735814647	0.000060487927	0.987539601510	N\A	0.070143233533	0.009419352055	0.032789013126	0.005816705929	38	4	0.000651291254	Global Trend	
1300000	565.546163	1	-0.862966327061	0.999638641070	-0.007819356444	0.031276331827	0.003968038240	0.000068650766	0.983954414210	N\A	0.081500277201	0.011172942436	0.036606939865	0.006628539646	37	1	-0.002372554078	Global Trend	
1350000	571.673064	1	-0.646804678337	0.973314809279	-0.004774863269	0.036258903122	0.005790013909	0.000164838233	0.994882726395	N\A	0.023752486457	0.003194577474	0.024508007434	0.004253061969	38	1	0.114941371062	Global Trend	
1400000	570.230126	1	-1.259267091111	1.201201327720	-0.039023183698	-0.001632549007	0.014893468402	0.000081035721	0.984341732313	N\A	0.056911009156	0.007667482894	0.030513312902	0.005391256555	32	0	-0.003705910584	Global Trend	
1450000	575.555153	1	-0.807310768095	0.951414951540	0.002053271962	0.048104035340	-0.001709226049	0.000080480815	0.999498618533	N\A	0.022948886762	0.003050229349	0.024479726037	0.004123520018	36	2	-0.195607886464	Global Trend	
1500000	555.286501	1	-0.845942971065	1.005163691266	-0.015004357044	0.053660467426	0.007943283494	0.000095065308	0.986474253145	N\A	0.069884455212	0.008142899111	0.033439984128	0.004320185123	29	0	0.001934697615	Global Trend	
