Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  DIE_d1_m2-VR-002.txt
Log File Name:                   DIE_d1_m2-VR-002.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            4032448773
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   DIE_d1_m2-VR-002.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	No RJ Local Branch	No RJ Local Node	
1000000	413.866334	1	0.454754927859	0.770337824531	0.303820153153	0.013298602272	0.550014878784	0.098667395845	0.550296136300	-0.064265413097	-0.079434934838	-0.140965253075	-0.123984666627	-0.176069946266	0.000187836045	0.950051094394	N\A	0.094659063433	0.234105454812	0.227096009021	0.241799101250	0.240406279375	0.282829563944	0.096282493822	0.095741209663	0.097335107732	0.100041894057	0.096546933679	43	26	
1050000	420.587614	1	0.653928254480	0.706194686908	0.340265119363	0.066209442322	0.793001403421	0.134430051126	0.157887687773	-0.002479928272	-0.024937265170	-0.141772513601	-0.076260159145	-0.158544498998	0.000303560012	0.953347346591	N\A	0.052730309662	0.197153641582	0.186138357163	0.221119959677	0.191522095723	0.284095524620	0.055200295027	0.054298048469	0.061142054335	0.059199583471	0.056591543646	50	25	
1100000	411.724246	1	0.245936191389	0.751535090823	0.651659536451	0.370923507937	1.313493248409	0.580840017687	0.715372437252	-0.040292608421	-0.037353008552	-0.082616118630	-0.170339512300	-0.199451241401	0.000261054669	0.950727301904	N\A	0.049468182082	0.183949177116	0.175548426382	0.362671846749	0.202097072130	0.271596808403	0.051900608131	0.051248933258	0.057942009421	0.059638347041	0.054664656307	36	20	
1150000	418.609374	1	0.528347093923	0.616049091821	0.540318845150	0.136497344194	0.646332537097	0.428068385278	0.305361632110	0.064768429435	0.103556659661	-0.001856128523	-0.055204216328	-0.024033325585	0.000227372760	0.955126835119	N\A	0.047342686376	0.273224782960	0.265642788086	0.283979084252	0.277555690162	0.324284295438	0.050360199633	0.048793820962	0.056894426674	0.055443776393	0.052347422432	47	20	
1200000	424.440692	1	0.388396478514	0.707031486657	0.518641868422	0.303126334968	0.615111075350	0.583823340193	0.563057138043	0.018126697411	-0.024355188922	-0.051972396491	-0.173848082165	-0.170215600886	0.000289674583	0.951807954056	N\A	0.052235513017	0.187587152264	0.178699271727	0.211837358538	0.185914044368	0.279293223184	0.054701784336	0.053786575601	0.062781390948	0.058722593938	0.057057917781	39	28	
1250000	420.203078	1	0.248631970708	0.711870158064	0.724590865885	0.394787243009	0.971670455267	0.482526891232	0.732877553077	-0.031093195623	-0.038447664238	-0.136762974387	-0.112438164018	-0.100475195171	0.000346978426	0.950297885518	N\A	0.058851292722	0.237018095162	0.229587317336	0.243367748748	0.232132141625	0.318277152949	0.060956338919	0.060500247441	0.067134294519	0.063042311603	0.063110424122	53	19	
1300000	405.619130	1	0.277071876151	0.873369736887	0.670915460330	0.383158913109	1.240557314594	0.502167782178	0.497892611292	-0.157600028693	-0.173273918237	-0.285598278451	-0.246788306928	-0.302640488623	0.000249829671	0.943803695298	N\A	0.074894827825	0.214520800710	0.205934313997	0.231287351039	0.211506179813	0.286545016799	0.076892881140	0.076453786807	0.079790717222	0.080133970911	0.077746143454	47	30	
1350000	410.300558	1	0.467461350473	0.687601158237	0.114801371722	0.056881778168	0.529612491380	0.345241387615	0.526088788611	0.012800919348	-0.023241871619	-0.053458118273	-0.108490211111	-0.113266325856	0.000465985345	0.945731781773	N\A	0.068164858618	0.239911619750	0.228738932478	0.268660564289	0.230022047069	0.356636439123	0.070439592815	0.069526771708	0.075497098622	0.071683369753	0.073482709157	34	22	
1400000	429.680784	1	0.229095962211	0.739434599280	0.791798627522	0.609267466751	1.217780893324	0.824956062872	0.588908950496	-0.019108815909	-0.044949625264	-0.136270162039	-0.216186045734	-0.200829692034	0.000262805972	0.948065388133	N\A	0.069599072168	0.238736049866	0.230551828878	0.251611281042	0.241736883262	0.306075836140	0.072125080895	0.070722372274	0.074860962932	0.076108115097	0.073468976279	49	17	
1450000	415.233648	1	0.611762929745	0.695365727668	0.391444801735	-0.015870497830	0.816237251641	0.154342392114	0.155279874955	-0.042621390524	0.012666886240	-0.125518228281	-0.149343487039	-0.082357917880	0.000378959812	0.949984708991	N\A	0.063162852504	0.216011994125	0.209271211308	0.238423667364	0.238976978572	0.321038903307	0.065542071976	0.064345786478	0.068751152082	0.074080697897	0.067395980713	45	25	
1500000	415.497574	1	0.529950294513	0.637812210891	0.314611858839	0.087781803239	0.558748781245	0.258904435457	0.565790572712	0.040307397564	0.024370755139	-0.003438497799	-0.125789017049	-0.122498178497	0.000245155368	0.949666570486	N\A	0.059664442662	0.195196555292	0.184148739576	0.214929850140	0.200374007561	0.281212468404	0.062799080731	0.060854425650	0.067376448125	0.066720021089	0.064178894970	51	27	
1550000	411.567853	1	0.889259903907	0.602583049231	0.016467273334	-0.328000074819	0.336280233724	-0.075236380252	0.065817739270	0.071751585733	0.070156716118	-0.014679433226	-0.045204339683	-0.038631070403	0.000320888362	0.953822241980	N\A	0.056656942927	0.201985353305	0.194305023643	0.229216612407	0.307341382304	0.297204672955	0.058575457855	0.057962828138	0.064892043323	0.065996562845	0.062147142199	46	19	
1600000	418.504899	1	0.233040669234	0.868159651108	0.763567375338	0.503548815603	1.106468522079	0.714593404629	0.449807273172	-0.179053731335	-0.176869831697	-0.199073380241	-0.305077740600	-0.300645538152	0.000187490723	0.957313447095	N\A	0.056003556725	0.178741501346	0.167624544553	0.194898080916	0.175627352981	0.241554553563	0.058454551239	0.057002931434	0.065628884731	0.062574454058	0.063229557894	39	27	
1650000	421.059592	1	0.602488711380	0.770572019261	0.333958419120	0.215919962813	1.176356622222	0.127545791613	0.090073067587	-0.072747882092	-0.089429452968	-0.240225318795	-0.138912857405	-0.202206387633	0.000348448014	0.952487030230	N\A	0.067980368522	0.216469990013	0.208323377189	0.249417940909	0.211720371012	0.318167483161	0.069913527325	0.069084868618	0.074250708804	0.072015383852	0.073981154695	45	20	
1700000	420.583962	1	0.562623443469	0.696321337135	0.161414614997	0.172452717270	0.755368799319	0.184019387799	-0.326173514000	0.001647585874	-0.020153029796	-0.060838948295	-0.121546454356	-0.107382050003	0.000407014602	0.949372293672	N\A	0.061857081183	0.250339799041	0.219749203848	0.249563539193	0.232099043357	0.577557557299	0.064483839894	0.063155516329	0.068374085353	0.068183856391	0.065746996444	36	18	
1750000	427.241307	1	1.219568287209	0.635178351353	-0.382749370562	-0.602841783085	0.264065064810	-0.389251614037	-0.460589297713	0.070846376238	0.054304763064	-0.032376182068	-0.078992111239	-0.068293166321	0.000332572596	0.954153848480	N\A	0.057699366553	0.351116607743	0.346047204862	0.353107145674	0.348268495542	0.400864555060	0.060333106074	0.058858486137	0.065089708266	0.062553043824	0.062583196211	38	31	
1800000	423.452608	1	0.772617751823	0.694498282751	-0.113645194393	-0.287395095355	0.471097286485	0.101327815299	0.074534315718	0.025692337731	0.001966029773	-0.055457392308	-0.118194054672	-0.116554722823	0.000417547229	0.946854556879	N\A	0.060558575461	0.207120858554	0.198760091658	0.242691754956	0.203774840148	0.325229806655	0.062706901326	0.062118566776	0.068852808741	0.065738235461	0.065703327099	43	26	
1850000	416.318191	1	0.381376881118	0.748390109815	0.616473843814	0.396440120779	1.095291992699	0.517524434383	0.466011351398	-0.057989983048	-0.048932152760	-0.144090939356	-0.181105601138	-0.218155713581	0.000302217597	0.957182353354	N\A	0.051494007595	0.189920593864	0.181492916514	0.223866882626	0.208746249520	0.280774314210	0.055410181064	0.052665133416	0.060662138450	0.063110391504	0.053800048883	52	26	
1900000	400.873197	1	0.234200450111	0.848663702962	0.824095420694	0.524449485430	1.122920050438	0.628686997978	0.440239404563	-0.175419490235	-0.189215066890	-0.229282861776	-0.234282989193	-0.267404809854	0.000432123349	0.955016632799	N\A	0.066375239832	0.228610511403	0.222253727738	0.310538932517	0.226574178958	0.351472076604	0.067709605937	0.067628054657	0.073754634358	0.070041499848	0.073876527620	60	35	
1950000	410.156377	1	0.693322336718	0.745247714867	0.230992179361	-0.028327794394	0.886603405370	0.090863314676	-0.019548918125	-0.039372404111	-0.059492646483	-0.154857087035	-0.138898638418	-0.168268579147	0.000435716070	0.951951620086	N\A	0.041111480397	0.203367078763	0.195109628896	0.255238622434	0.210740091210	0.334096148282	0.045122067026	0.042826180283	0.053264157780	0.050876038547	0.047072997696	46	26	
2000000	397.200387	1	0.202975916592	0.724369883376	0.804310900205	0.527544876036	1.305909189196	0.626648992574	0.523224144742	-0.032432180478	-0.021078772414	-0.196749872089	-0.127901992653	-0.134577063809	0.000321738504	0.955196475653	N\A	0.054917623766	0.194076734594	0.191236615771	0.247946012409	0.195344101543	0.310268691781	0.056838979945	0.056170730775	0.071925084631	0.059876831814	0.061747119587	46	35	
2050000	424.785217	1	0.583261635204	0.691013796479	-0.032606277470	-0.157106269729	0.482815950336	0.188359716447	0.251120076290	0.029699554502	-0.007965658741	-0.077896521134	-0.118825989564	-0.089056280483	0.000341181159	0.957459542389	N\A	0.058439876264	0.298285412380	0.294946951120	0.255290001656	0.238570418025	0.307555056313	0.060438493704	0.059564281314	0.065908065454	0.063963906950	0.063784175966	52	34	
2100000	418.032172	1	0.270419976547	0.733735324747	0.615253467101	0.320992487359	0.651129282422	0.393729617809	0.737576199212	-0.045659533496	-0.064737618662	-0.106253099432	-0.132654647411	-0.149488116207	0.000343578108	0.952311949665	N\A	0.056751018768	0.208821264974	0.198749713912	0.233348168108	0.200876447407	0.302743740109	0.058750960460	0.058436090650	0.064529814797	0.061173159225	0.060644793372	50	16	
2150000	418.908508	1	0.498428656477	0.645321802541	0.356471051840	0.248454930431	0.993461767510	0.354487688403	0.499182474177	0.105093081086	0.054275338009	-0.133448935352	-0.095845226253	-0.102693300364	0.000232906893	0.952794821509	N\A	0.057178387917	0.200629809051	0.197962205312	0.215825597603	0.212797599219	0.269659642244	0.059250158022	0.058669123867	0.062819070275	0.063984107799	0.061062795940	49	28	
2200000	413.690848	1	0.422204633183	0.678593293044	0.312116504904	0.061554723653	0.502202277705	0.443542907937	0.710339379591	0.018326770357	0.037410309049	-0.090652570933	-0.133231574649	-0.138504875185	0.000416658676	0.959227710990	N\A	0.066041867571	0.226548907050	0.217193856449	0.259304670437	0.220293624627	0.337814140451	0.068194205824	0.066863633723	0.074212194185	0.069990441258	0.071461553165	43	23	
2250000	408.083066	1	0.496341404741	0.657500261390	0.321583880272	0.030484392359	0.516805158219	0.117907358148	0.632190551794	0.021901586680	-0.001143947406	-0.040441217219	-0.101892378586	-0.081689177861	0.000269610306	0.944619542135	N\A	0.062460047275	0.193716070069	0.183173323052	0.212108404341	0.194585237980	0.274559126584	0.064787190966	0.064264951594	0.067948697855	0.066676033372	0.066810571910	41	33	
2300000	399.105454	1	0.505570095744	0.732099135245	0.398899256366	0.058098454310	0.839175468035	0.072371534711	0.408018991015	-0.034367494712	-0.040484173336	-0.165470530970	-0.119534195620	-0.140177247604	0.000385500658	0.944007839612	N\A	0.051333322585	0.175446045047	0.162306124636	0.190135175606	0.178875152203	0.267889361072	0.054297426454	0.053300119752	0.061006174887	0.058906078183	0.056807872955	45	30	
2350000	415.560272	1	0.797921112181	0.637458176638	0.341940522693	0.129402555591	0.330313700223	0.257851809458	-0.304964577886	0.053175193835	0.057678024374	0.058150386825	-0.076037181065	-0.050370624050	0.000484861541	0.958337863494	N\A	0.074316453116	0.230168020910	0.224027097278	0.270288803426	0.229379560007	0.362467314008	0.075885370583	0.075149125540	0.081682548713	0.078119004178	0.078837222112	44	26	
2400000	415.421628	1	0.149504290180	0.809851834985	0.619819791810	0.395638577755	1.233772549015	0.647576419366	0.876088309215	-0.139563655749	-0.120186313012	-0.196301241596	-0.239219980244	-0.275991218708	0.000529353646	0.961784715108	N\A	0.070442242443	0.249390582090	0.245878557528	0.286779852721	0.237339690138	0.374777596643	0.071636429561	0.071273231372	0.080434091382	0.075833733340	0.073724009474	46	27	
2450000	420.133418	1	0.536764659524	0.763612120469	0.478918889143	0.314396410107	0.859271298822	0.551007309124	0.042846895415	-0.053584745844	-0.078247222908	-0.112496780758	-0.228313288837	-0.151912701020	0.000294072054	0.963000013037	N\A	0.074097845976	0.212364908300	0.208979234990	0.247269889969	0.219930461170	0.307344007265	0.075350878957	0.074912700735	0.080023084321	0.079727418086	0.077835588309	46	32	
2500000	413.973134	1	0.343051821581	0.832319885262	0.478637869938	0.259094970319	1.224748126872	0.491506323862	0.359842976366	-0.139104611361	-0.141848399148	-0.273699518675	-0.243845997743	-0.224624699324	0.000363034388	0.948670028898	N\A	0.059532995805	0.213991920743	0.203595043516	0.238004240402	0.210206278064	0.313505588894	0.062147027070	0.060863124951	0.069007517218	0.066557910664	0.064328402854	44	26	
