Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  DIE_d1_m2-bm-001.txt
Log File Name:                   DIE_d1_m2-bm-001.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2591868171
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   DIE_d1_m2-bm-001.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	
1000000	334.679049	1	0.818931372818	0.634600517532	-0.123437391611	-0.351856831877	0.846282555503	-0.241715216182	-0.091941809716	0.008140158614	0.030414287152	-0.075995655195	0.004935489606	-0.028920661135	0.000358323138	0.909360200687	N\A	0.057955898777	0.247337154216	0.223722580139	0.234505598690	0.227279544641	0.308166344373	0.064486913260	0.062234118445	0.064695206261	0.067231715492	0.061449838251	
1050000	341.180445	1	0.513904667333	0.698620463087	0.315319765585	0.067083507750	0.740447731655	0.328455463980	0.356916096443	-0.051453391767	-0.011700541672	-0.117417398725	-0.130773247202	-0.105219793176	0.000345031730	0.912722335162	N\A	0.056870852257	0.242706524306	0.219534060729	0.230115200317	0.223024431976	0.302396874371	0.063279593518	0.061068975378	0.063483986871	0.065973007743	0.060299378427	
1100000	339.764932	1	0.537395229063	0.667346057713	0.395721995050	-0.019772902469	0.785978195503	0.342334526905	0.340143625649	-0.044352088513	0.053734019305	-0.077492445420	-0.104023801815	-0.089656270824	0.000347882964	0.912001099993	N\A	0.057105350217	0.243707286251	0.220439274688	0.231064043931	0.223944037928	0.303643760029	0.063540516908	0.061320783634	0.063745753045	0.066245037000	0.060548013371	
1150000	332.665765	1	0.324132655195	0.668373274744	0.062305742888	0.249878825370	0.868513108845	0.412470026459	0.708566398065	0.009598410573	-0.015914329154	-0.077835687341	-0.033033248702	-0.095825455413	0.000362542003	0.908293015860	N\A	0.058296084143	0.248788956054	0.225035770848	0.235882082786	0.228613613765	0.309975197017	0.064865433905	0.062599415797	0.065074949530	0.067626347380	0.061810532092	
1200000	339.743790	1	0.549141611042	0.660542233227	0.138565528775	-0.048379091163	0.719435054374	0.173267899744	0.260946958720	-0.015553293177	0.039956515012	-0.037906523016	-0.057880893264	-0.043100732040	0.000347925728	0.911990282616	N\A	0.057108859983	0.243722264805	0.220452823160	0.231078245415	0.223957801808	0.303662422354	0.063544422187	0.061324552486	0.063749670938	0.066249108503	0.060551734728	
1250000	338.323011	1	0.654027708622	0.661016573813	0.331837839440	0.080950952855	0.439246048291	0.168618071004	0.216923029152	-0.029613689459	0.055959002571	-0.069428916503	-0.054628215999	-0.085618648199	0.000350811617	0.911260281037	N\A	0.057345217210	0.244730961507	0.221365214303	0.232034612139	0.224884699054	0.304919194213	0.063807414364	0.061578357258	0.064013512581	0.066523294603	0.060802341028	
1300000	335.386903	1	0.514538569499	0.672173251048	0.185133611674	-0.104226703880	0.654117551032	0.275745251329	0.385685695569	-0.067345892384	0.048479947592	-0.046190964840	-0.022034112018	-0.092483646741	0.000356851515	0.909732455871	N\A	0.057836764683	0.246828728182	0.223262696202	0.234023549190	0.226812349011	0.307532877910	0.064354354019	0.062106190046	0.064562218853	0.067093514037	0.061323522018	
1350000	338.534780	1	0.351305709044	0.611994366205	0.614834860683	0.364119622005	0.727287004220	0.368594913076	0.718183671620	0.040155976258	0.070857648535	-0.016114706445	-0.002649250086	-0.044458824277	0.000350379959	0.911369471438	N\A	0.057309925941	0.244580349711	0.221228982204	0.231891813902	0.224746301001	0.304731541505	0.063768146144	0.061540460839	0.063974117524	0.066482354981	0.060764922184	
1400000	338.824160	1	0.280147599816	0.676205371696	0.863680263302	0.436163653265	0.913611411343	0.337050251213	0.641262655891	-0.028307674577	0.043430069942	-0.038458169791	-0.040534584804	-0.092880048690	0.000349790959	0.911518462094	N\A	0.057261735803	0.244374689683	0.221042957617	0.231696823271	0.224557318810	0.304475302207	0.063714525489	0.061488713375	0.063920323674	0.066426452032	0.060713826846	
1450000	334.976660	1	0.998609323221	0.585906242692	0.038109062746	-0.468429830371	0.507437525657	-0.463067370038	-0.223068752566	0.085735021399	0.116112964928	-0.038625513392	0.071774353506	0.001635533341	0.000357703669	0.909516898921	N\A	0.057905779980	0.247123263293	0.223529110503	0.234302804172	0.227082999032	0.307899849903	0.064431146607	0.062180299951	0.064639259481	0.067173575203	0.061396697983	
1500000	336.899221	1	0.638164884903	0.637616781922	-0.068966449738	-0.148299806362	0.547347496291	-0.123976759644	0.360763443908	0.000707795092	0.018630221949	-0.061222105827	0.009665848811	-0.044736642749	0.000353727635	0.910522658499	N\A	0.057583056528	0.245745983295	0.222283326642	0.232996975811	0.225817408458	0.306183846727	0.064072055648	0.061833753526	0.064279008657	0.066799200001	0.061054518769	
1550000	336.017659	1	0.484287557949	0.765775420305	0.689917587212	0.325050635256	0.722990168024	0.234170215760	0.198502980657	-0.095992190996	-0.025030873841	-0.109950455554	-0.129797075030	-0.173367029970	0.000355545270	0.910062877730	N\A	0.057730812693	0.246376559134	0.222853698102	0.233594838131	0.226396848252	0.306969504069	0.064236462365	0.061992416836	0.064443946408	0.066970604477	0.061211182588	
1600000	340.570353	1	0.541605075995	0.636951506114	0.479407953302	0.132999108203	0.918462784687	0.186726354668	0.271213636759	0.022391848517	0.077295666879	-0.034684660363	0.013787174658	-0.073933285002	0.000346257748	0.912412207211	N\A	0.056971803634	0.243137352346	0.219923755358	0.230523677514	0.223420322359	0.302933658675	0.063391921043	0.061177378838	0.063596677215	0.066090116344	0.060406415776	
1650000	336.218670	1	0.257053983515	0.719189787870	0.722508138100	0.574348232683	1.186703859876	0.831036073077	0.469740735243	0.000447766339	-0.035830822095	-0.128100656004	-0.119446593136	-0.143941572173	0.000355129998	0.910167923032	N\A	0.057697088452	0.246232634908	0.222723515076	0.233458380522	0.226264595446	0.306790183648	0.064198937760	0.061956203120	0.064406300599	0.066931482686	0.061175425242	
1700000	335.793126	1	0.690433364603	0.612473702232	0.487959610840	0.210021098138	0.434418330934	0.061354420968	0.168482411856	0.084785096639	0.109521725639	-0.024985475920	-0.001233163073	-0.040609192327	0.000356009712	0.909945394701	N\A	0.057768506679	0.246537424955	0.222999205220	0.233747358425	0.226544668787	0.307169932638	0.064278404063	0.062032893337	0.064486023578	0.067014331370	0.061251149001	
1750000	329.811751	1	0.844964325890	0.612548682759	-0.098502357750	-0.268719338688	0.447156408881	-0.303810709287	0.161409962869	0.126125064998	0.137423216449	-0.029427111352	0.014774859936	-0.087936296511	0.000368607888	0.906758617021	N\A	0.058781752632	0.250861633118	0.226910558572	0.237847231844	0.230518208732	0.312557620655	0.065405832077	0.063120935624	0.065617093190	0.068189746902	0.062325479677	
1800000	336.660421	1	0.425297768760	0.615593763814	0.446576080636	0.171289275223	1.197881712253	0.149454173549	0.505690291180	0.056845540756	0.044017175623	-0.051395759864	0.021053053887	-0.045558520800	0.000354219082	0.910398344203	N\A	0.057623043816	0.245916636193	0.222437686414	0.233158775441	0.225974222395	0.306396469371	0.064116549079	0.061876692617	0.064323645802	0.066845587237	0.061096916738	
1850000	338.239863	1	0.387186946269	0.745321680129	0.378151735700	0.163886285656	0.874467716512	0.566315127540	0.333833659543	-0.077664393638	-0.047372408494	-0.111900075921	-0.162887533218	-0.128658424696	0.000350981247	0.911217372394	N\A	0.057359079707	0.244790122188	0.221418726604	0.232090703635	0.224939062147	0.304992904654	0.063822839017	0.061593243064	0.064028987056	0.066539375786	0.060817039242	
1900000	335.523454	1	0.647040476703	0.589417055512	-0.235062254282	-0.412356407550	0.605498235459	-0.149963073547	0.482780078123	0.130392993412	0.086322621017	-0.014421135524	0.041179634061	-0.019265634062	0.000356568323	0.909804090960	N\A	0.057813810895	0.246730768792	0.223174089508	0.233930671815	0.226722333559	0.307410826747	0.064328813583	0.062081541843	0.064536595921	0.067066886506	0.061299184434	
