Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  DIE_d1_m2-fab-001.txt
Log File Name:                   DIE_d1_m2-fab-001.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            3552200207
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   DIE_d1_m2-fab-001.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.175894
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.74 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	No RJ Local Node	No RJ LS Betas	
1000000	449.537824	1	0.513194691059	0.685396036563	0.399109288465	0.078793031839	0.859831894283	0.349183440001	0.340938863341	0.011154854475	0.013921157052	-0.126168813507	-0.152379925915	-0.076989543338	0.000068058790	0.957098002791	N\A	0.050585724482	0.142011009200	0.133732175505	0.196722909929	0.142737259745	0.171091952173	0.053156494906	0.052006087269	0.060455172899	0.054007837199	0.054906898609	33	10	
1050000	430.014861	1	0.559848625082	0.685121471495	0.005794581362	-0.195111865379	0.678987294436	0.140597236455	0.257956026879	-0.017602090444	-0.007300256613	-0.070562045513	-0.167054476448	-0.098900800262	0.000293839474	0.953387962264	N\A	0.052847808842	0.202657676518	0.195618793115	0.221600416074	0.215403914401	0.287298700513	0.054773400688	0.054533675256	0.059156468104	0.061125914892	0.057203919809	33	7	
1100000	443.095353	1	0.645516130989	0.722974135079	0.231103871187	-0.007588323861	0.114801564971	0.138369081964	0.101378961619	-0.039831070406	-0.013680851914	-0.125349559008	-0.133074736737	-0.116839974980	0.000181099662	0.957938708707	N\A	0.074997864562	0.193641343090	0.188376722514	0.216389226533	0.202455907267	0.256502654224	0.076587241192	0.075874919226	0.080931943974	0.078415505742	0.078683018531	39	8	
1150000	447.019526	1	-0.100404657306	0.691794379104	1.052388989884	0.806521786272	0.291600753381	0.942496015851	0.975451329615	0.011157170949	-0.016707132848	-0.122713086408	-0.108473219131	-0.134538856399	0.000173853503	0.953372779267	N\A	0.059572704641	0.180165544018	0.170512916147	0.195427072843	0.173025421639	0.275607452529	0.063047388098	0.060907577468	0.065743679459	0.062972990450	0.062193422425	33	11	
1200000	450.918580	1	0.062026578719	0.627745548698	0.778944769230	0.563964499174	0.327224717140	0.961454855498	0.619788426579	0.071512566173	0.059740910889	-0.015862142636	-0.120658496559	-0.002946076991	0.000032948367	0.968071420268	N\A	0.052307284129	0.117742999052	0.112964895490	0.166771515928	0.126083331786	0.140322484069	0.053861157371	0.053245963653	0.059989098950	0.058287351864	0.057107369424	39	8	
1250000	446.023047	1	-0.299046212686	0.687503106904	1.117585773082	0.891156750466	0.480876302443	1.210619026563	1.249001464690	0.003460068790	-0.026767028332	-0.069050880022	-0.149020737631	-0.159375727776	0.000056470968	0.957549861413	N\A	0.047535384430	0.130414281562	0.123970838250	0.161610370903	0.142364635073	0.162361075939	0.049557933369	0.049110964470	0.053954008769	0.053587530488	0.054387199232	37	11	
1300000	445.442100	1	-0.503351224898	0.623038239887	1.390477589455	1.122017487020	1.074195656206	1.211493626823	1.403696846294	0.094454553583	0.069490787296	-0.048529268700	-0.044019443362	-0.038873522899	0.000068554217	0.956002594254	N\A	0.046336546091	0.136704889007	0.126712481393	0.201258440102	0.138962633744	0.230949532303	0.049986745964	0.047739360156	0.054081332427	0.051139360896	0.051238492412	36	8	
1350000	442.127865	1	-0.720534925086	0.717199266236	1.692603750531	1.396251430847	1.385493877074	1.523881004197	1.517432061597	-0.039680555805	-0.050892412011	-0.133065012296	-0.130222743193	-0.168760227425	0.000116268290	0.957313972596	N\A	0.076519902040	0.254990572386	0.248267918669	0.255920054315	0.252355572337	0.283704979495	0.077740028653	0.077603079499	0.080028771150	0.081076754643	0.079606057847	41	9	
1400000	427.431513	1	-0.830869960774	0.888279455308	1.624458387950	1.392670285574	1.964905360158	1.677928370051	1.901522354220	-0.195549152796	-0.211822781901	-0.357374256998	-0.299946763856	-0.338615897335	0.000238377417	0.960798630708	N\A	0.046644990403	0.150947122024	0.144580811201	0.173003581192	0.167498417563	0.249250983098	0.048188501355	0.048366500615	0.052910120891	0.056036391082	0.054049806171	34	8	
1450000	435.962485	1	-0.794970580296	0.769131996121	1.950183296399	1.790268204992	2.051132808843	1.743703156010	1.667596181366	-0.078327610340	-0.100802277333	-0.190940558656	-0.139720607800	-0.262410445121	0.000309313479	0.956202126282	N\A	0.069966782590	0.210983520923	0.204640119050	0.238550647302	0.228837212378	0.296241091935	0.071362683713	0.071098671685	0.077212763875	0.077897216223	0.072531709220	43	13	
