Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  DIE_d1_m2-glob-002.txt
Log File Name:                   DIE_d1_m2-glob-002.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            3413952238
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   DIE_d1_m2-glob-002.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.175894
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.74 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	No RJ Local Node	No RJ LS Betas	Global Trend	
1000000	389.135737	1	2.855617173452	-1.222844026324	-1.252054444088	-2.423519990724	-1.825145393775	-2.078080235191	-1.694669362093	1.920288742316	1.906360799110	1.830223592596	1.842598049690	1.819312599344	0.001485032913	0.951132194519	N\A	0.412572227567	0.533314895366	0.531255080798	0.567680444505	0.538551911406	0.702135704904	0.413113326281	0.412699694126	0.413843172132	0.413339586252	0.413146110281	42	11	0.000426217476	Global Trend	
1050000	413.374463	1	3.747601360531	-1.173620435655	-2.027118846745	-3.139944655651	-2.390577359165	-3.191884261025	-2.673342888209	1.833023386238	1.856893802149	1.733687824201	1.821030188459	1.704687468327	0.000258670789	0.966191529834	N\A	0.560177019715	1.009975210654	1.008605899348	1.017996651886	1.011803386737	1.031527811448	0.560415661289	0.560246411923	0.560947864708	0.561014435581	0.560669357743	46	13	0.000007562762	Global Trend	
1100000	412.708239	1	3.679220672940	-1.003614438229	-1.971558950915	-3.101322348698	-1.894919361710	-2.750004681069	-2.793299215035	1.680092463520	1.708272850573	1.577426405479	1.527518304976	1.605032337908	0.000118342567	0.956949822508	N\A	0.313915561907	0.626906966086	0.624672840993	0.630826716148	0.627124806790	0.640371155644	0.314480520343	0.314199155353	0.314745084708	0.314808042279	0.314470764465	50	11	-0.000001665137	Global Trend	
1150000	419.571060	1	2.397606153145	-1.184269862620	-0.891039834369	-1.888146895943	-0.865899024881	-1.604551136958	-1.404919057492	1.912496506274	1.852379242860	1.802067917404	1.745522160063	1.758972483615	0.000331348558	0.961812671923	N\A	0.383960882149	0.309926300685	0.308302187629	0.326884647263	0.313193132862	0.355984554868	0.384271928132	0.384145135381	0.384724303535	0.384718392643	0.384259647702	49	7	-0.001002026409	Global Trend	
1200000	414.852383	1	2.440432260942	-1.218789582412	-0.840519388871	-1.846139697431	-1.187404864869	-1.605072653292	-1.576738026288	1.926467766857	1.921886440070	1.858174203110	1.797377521369	1.763224535336	0.000293162163	0.995555498803	N\A	0.406825133066	0.338416431010	0.338205927274	0.357391073899	0.346732864487	0.399035739789	0.406983563777	0.406924271466	0.406778825148	0.407776650431	0.407193875275	41	9	0.029016032451	Global Trend	
1250000	414.858287	1	2.478007741192	-1.268933856894	-0.678743833983	-1.779496958918	-1.291960069252	-1.729241792153	-1.828094353144	1.974376034429	1.956502761840	1.890635818871	1.870703093952	1.881040768258	0.000398625290	0.998250939099	N\A	0.459069780169	0.375298956750	0.373125164710	0.396288720335	0.376344495959	0.427829199183	0.459374501771	0.459129470020	0.459561147985	0.459671507443	0.459408507516	30	13	0.077667444636	Global Trend	
1300000	411.592319	1	2.878715679797	-0.775605416402	-0.966606778167	-2.220947663413	-1.339328760699	-2.032390106489	-2.512566995154	1.483848353097	1.478733433002	1.362276593567	1.326508780795	1.373523768648	0.000568105723	0.953541775476	N\A	0.234572945009	0.472929409460	0.469012399040	0.487209538919	0.471926792634	0.547143000949	0.235089738639	0.234980455790	0.236830089006	0.235947290232	0.235506882755	27	11	-0.000058210979	Global Trend	
1350000	430.673136	1	1.886520871988	-0.687874999772	-0.446798697221	-1.431389069902	-0.992136153795	-1.215749613882	-0.811309692190	1.391765908541	1.354610368525	1.320835654763	1.227486146546	1.289503570851	0.000144948324	0.999927666583	N\A	0.394746123997	0.319950715605	0.319360812580	0.341492615728	0.323147532516	0.344105902567	0.394871421287	0.394879088822	0.394929008546	0.395194328729	0.395062547706	48	13	0.178719564841	Global Trend	
1400000	447.844169	1	1.979152955023	-0.598100342204	-0.298399802555	-1.321854455976	-0.344370371978	-1.410977555373	-1.192047392174	1.296097433255	1.272441054668	1.093271567997	1.260004054186	1.169572938887	0.000151074932	0.967696567602	N\A	0.116829433692	0.116010065177	0.112129808180	0.135141648367	0.133000303894	0.161079003904	0.117594231913	0.117376678412	0.117537226389	0.119771396990	0.117753820816	37	15	0.003664346342	Global Trend	
1450000	416.853468	1	2.096825272668	-0.483248901052	-0.059463187282	-1.205114217540	-0.234005485528	-0.948534596079	-1.564828151589	1.201472692962	1.168789940088	1.014032175614	1.017671416023	1.074930439456	0.000285067995	0.966534198277	N\A	0.273008841960	0.225872215911	0.222956904163	0.252830022185	0.240753709582	0.287888905525	0.273444967048	0.273147651664	0.274892950377	0.274583428489	0.273590885022	35	12	-0.003902514817	Global Trend	
