Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  DIE_d1_m3-bm-006.txt
Log File Name:                   DIE_d1_m3-bm-006.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            4114238800
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   DIE_d1_m3-bm-006.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Restrictions:
    Beta-1                       None
    Beta-2                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      3
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	
1000000	338.749767	1	0.618566554310	0.816741431687	-0.041013286968	0.000349942283	0.911480184032	N\A	0.027558855959	0.005638667259	
1050000	340.095101	1	0.629119333172	0.794441690111	-0.034371177354	0.000347215813	0.912169859378	N\A	0.027451287787	0.005616658322	
1100000	339.336796	1	0.670981179057	0.769717256827	-0.032078652878	0.000348749980	0.911781783588	N\A	0.027511867437	0.005629053194	
1150000	339.263480	1	0.615954228655	0.814255742971	-0.039635840246	0.000348898668	0.911744172107	N\A	0.027517731599	0.005630253028	
1200000	338.609704	1	0.629014514911	0.810707641748	-0.040492815439	0.000350227363	0.911408071322	N\A	0.027570079091	0.005640963563	
1250000	338.769631	1	0.586302627927	0.818346419600	-0.036193757556	0.000349901871	0.911490406327	N\A	0.027557264660	0.005638341673	
1300000	337.576610	1	0.564226829043	0.836159177711	-0.039204704323	0.000352337285	0.910874354978	N\A	0.027653001468	0.005657929859	
1350000	339.804924	1	0.616527787138	0.807025437636	-0.037003349656	0.000347802088	0.912021558072	N\A	0.027474453779	0.005621398190	
1400000	339.482660	1	0.638643581356	0.772414391513	-0.027658944685	0.000348454350	0.911856564783	N\A	0.027500204276	0.005626666858	
1450000	340.113568	1	0.628564019952	0.791851757652	-0.033300280258	0.000347178535	0.912179289178	N\A	0.027449814106	0.005616356801	
1500000	339.684616	1	0.645266574518	0.790154889095	-0.035468427938	0.000348045448	0.911959998792	N\A	0.027484064155	0.005623364516	
1550000	339.426507	1	0.601525218369	0.807829076757	-0.034783929089	0.000348568129	0.911827783822	N\A	0.027504693650	0.005627585405	
1600000	339.897169	1	0.646570027936	0.786324829488	-0.034242027830	0.000347615608	0.912068729100	N\A	0.027467087361	0.005619890987	
1650000	334.996900	1	0.536605676133	0.850579266159	-0.040002682491	0.000357661580	0.909527545473	N\A	0.027861155244	0.005700519068	
1700000	339.838523	1	0.627038208861	0.801331593595	-0.036621687095	0.000347734152	0.912038742790	N\A	0.027471770373	0.005620849153	
1750000	340.034631	1	0.633261534148	0.783820805900	-0.031059060077	0.000347337905	0.912138975748	N\A	0.027456113698	0.005617645726	
1800000	337.551881	1	0.575069861126	0.819241855687	-0.034642890326	0.000352387947	0.910861539875	N\A	0.027654989466	0.005658336612	
1850000	339.872716	1	0.641246678471	0.791035093684	-0.035124683220	0.000347665032	0.912056227145	N\A	0.027469039909	0.005620290487	
1900000	338.967629	1	0.643885952945	0.764477933124	-0.025545008987	0.000349499313	0.911592235613	N\A	0.027541407938	0.005635097315	
1950000	338.829051	1	0.626880738654	0.776699489531	-0.027298304457	0.000349781014	0.911520977870	N\A	0.027552505059	0.005637367836	
2000000	339.739888	1	0.609185996384	0.804616424331	-0.034859565220	0.000347933622	0.911988285758	N\A	0.027479648531	0.005622461059	
2050000	339.667203	1	0.669058393013	0.766554520001	-0.030561616336	0.000348080684	0.911951085649	N\A	0.027485455359	0.005623649163	
2100000	340.054175	1	0.625233163240	0.797353938732	-0.034816874256	0.000347298440	0.912148958597	N\A	0.027454553859	0.005617326576	
2150000	340.129458	1	0.647543774337	0.777576131332	-0.031103742822	0.000347146464	0.912187401629	N\A	0.027448546237	0.005616097389	
2200000	340.095220	1	0.637009784334	0.782203969138	-0.031079099191	0.000347215573	0.912169920064	N\A	0.027451278303	0.005616656382	
2250000	339.536199	1	0.613331369363	0.795215146695	-0.032008297852	0.000348345902	0.911883997298	N\A	0.027495924556	0.005625791208	
2300000	339.203993	1	0.605148013956	0.799979899802	-0.032430598257	0.000349019358	0.911713642768	N\A	0.027522490636	0.005631226749	
2350000	340.160579	1	0.636403543001	0.786266787049	-0.032510588180	0.000347083659	0.912203288552	N\A	0.027446063150	0.005615589338	
2400000	338.743092	1	0.583298163815	0.829335349474	-0.039836101164	0.000349955864	0.911476748483	N\A	0.027559390748	0.005638776680	
2450000	340.163126	1	0.639720160117	0.784436981701	-0.032377665764	0.000347078518	0.912204589101	N\A	0.027445859867	0.005615547745	
2500000	339.517496	1	0.605683100789	0.815523532635	-0.038387213757	0.000348383782	0.911874415404	N\A	0.027497419494	0.005626097079	
2550000	339.569149	1	0.624056263688	0.806481287725	-0.038063912611	0.000348279176	0.911900876009	N\A	0.027493290993	0.005625252369	
2600000	337.946579	1	0.590944223386	0.804276724672	-0.031663929535	0.000351580229	0.911065856501	N\A	0.027623276917	0.005651848080	
2650000	339.671956	1	0.672052439601	0.759101207257	-0.028251970160	0.000348071066	0.911953518584	N\A	0.027485075623	0.005623571467	
2700000	338.464851	1	0.611432504657	0.787717907493	-0.028859311065	0.000350522438	0.911333430584	N\A	0.027581690859	0.005643339384	
2750000	339.767494	1	0.632868667687	0.798528384342	-0.036544084448	0.000347877783	0.912002410650	N\A	0.027477443355	0.005622009870	
2800000	339.270069	1	0.668894756013	0.751504609720	-0.024853807393	0.000348885303	0.911747552959	N\A	0.027517204527	0.005630145187	
2850000	339.565175	1	0.655583184049	0.761721545569	-0.026471598089	0.000348287223	0.911898840329	N\A	0.027493608631	0.005625317359	
2900000	338.888799	1	0.592242479522	0.811546902473	-0.034626221871	0.000349659530	0.911551707840	N\A	0.027547719963	0.005636388784	
2950000	340.074321	1	0.635827041866	0.782595845335	-0.031028122564	0.000347257764	0.912159247826	N\A	0.027452946055	0.005616997612	
3000000	339.699837	1	0.606820765561	0.808556861256	-0.035949083214	0.000348014648	0.911967789748	N\A	0.027482848050	0.005623115696	
3050000	340.053465	1	0.647426620224	0.782498960141	-0.032942067873	0.000347299874	0.912148595801	N\A	0.027454610548	0.005617338174	
3100000	339.545756	1	0.624603793237	0.806393034389	-0.038122672277	0.000348326547	0.911888893099	N\A	0.027495160697	0.005625634919	
3150000	339.244319	1	0.593721428192	0.819415066243	-0.037844596385	0.000348937539	0.911734339501	N\A	0.027519264435	0.005630566654	
3200000	340.117433	1	0.642092021241	0.779185645677	-0.030794489586	0.000347170734	0.912181262416	N\A	0.027449505721	0.005616293703	
3250000	339.751094	1	0.628182960325	0.801817156699	-0.036997447606	0.000347910955	0.911994019580	N\A	0.027478753388	0.005622277909	
3300000	339.941023	1	0.626087874529	0.800141160675	-0.036012579301	0.000347526989	0.912091145772	N\A	0.027463585991	0.005619174591	
3350000	339.180913	1	0.617747680440	0.787250325631	-0.029744752039	0.000349066195	0.911701795307	N\A	0.027524337245	0.005631604574	
3400000	338.083700	1	0.695323448440	0.754558083954	-0.030450365228	0.000351300057	0.911136727693	N\A	0.027612268295	0.005649595666	
3450000	337.447361	1	0.622287146062	0.772799110495	-0.025053753200	0.000352602148	0.910807356638	N\A	0.027663393298	0.005660056074	
3500000	337.249288	1	0.558160141695	0.844204741386	-0.041221207872	0.000353008434	0.910704584243	N\A	0.027679326309	0.005663316041	
3550000	339.272963	1	0.642027422603	0.768106412547	-0.026601988346	0.000348879433	0.911749037607	N\A	0.027516973069	0.005630097830	
3600000	339.997167	1	0.648403599040	0.782913355519	-0.033262755923	0.000347413569	0.912119835985	N\A	0.027459104073	0.005618257570	
3650000	338.888882	1	0.636021813579	0.769810347020	-0.026235239174	0.000349659361	0.911551750570	N\A	0.027547713309	0.005636387423	
3700000	339.966403	1	0.657120333072	0.767601953838	-0.028949519975	0.000347475712	0.912104116700	N\A	0.027461559793	0.005618760022	
3750000	339.220796	1	0.674773932107	0.748504830450	-0.024710205249	0.000348985263	0.911722267457	N\A	0.027521146268	0.005630951685	
3800000	339.954391	1	0.660065310522	0.770282395500	-0.030456409017	0.000347499981	0.912097977682	N\A	0.027462518792	0.005618956237	
3850000	339.938365	1	0.651267247570	0.769382917201	-0.028637491247	0.000347532360	0.912089787078	N\A	0.027463798224	0.005619218015	
3900000	339.779029	1	0.660976512419	0.761885640502	-0.027440440943	0.000347854454	0.912008311710	N\A	0.027476522029	0.005621821363	
3950000	340.053704	1	0.635334951707	0.782496812576	-0.030907997785	0.000347299392	0.912148717733	N\A	0.027454591496	0.005617334276	
4000000	340.132483	1	0.631499197208	0.789056128017	-0.032738685905	0.000347140358	0.912188946132	N\A	0.027448304845	0.005616047999	
4050000	340.051259	1	0.623383045472	0.797252319245	-0.034467415718	0.000347304328	0.912147469135	N\A	0.027454786596	0.005617374195	
4100000	338.544333	1	0.591309349117	0.832253983376	-0.042284793086	0.000350360498	0.911374394234	N\A	0.027575318800	0.005642035632	
4150000	338.437460	1	0.696845692281	0.733811986746	-0.022876129715	0.000350578264	0.911319309115	N\A	0.027583887168	0.005643788759	
4200000	337.974168	1	0.577306107485	0.820412542519	-0.035460776290	0.000351523839	0.911080120671	N\A	0.027621061575	0.005651394812	
4250000	339.045425	1	0.608546117449	0.820208795825	-0.040637001257	0.000349341269	0.911632213720	N\A	0.027535180103	0.005633823072	
4300000	339.699436	1	0.609676703857	0.810933510938	-0.037326339677	0.000348015460	0.911967584406	N\A	0.027482880103	0.005623122254	
4350000	338.800430	1	0.682000799615	0.763321997516	-0.031517878612	0.000349839223	0.911506253647	N\A	0.027554797536	0.005637836888	
4400000	338.180796	1	0.617621195112	0.820884935947	-0.042418205489	0.000351101799	0.911186877936	N\A	0.027604475663	0.005648001259	
4450000	338.437325	1	0.617830805082	0.781852150647	-0.027721294736	0.000350578539	0.911319239470	N\A	0.027583898000	0.005643790975	
4500000	339.871619	1	0.621653559148	0.791672822836	-0.032070724858	0.000347667249	0.912055666370	N\A	0.027469127488	0.005620308406	
4550000	339.539382	1	0.615756044455	0.792759956043	-0.031489352642	0.000348339456	0.911885627833	N\A	0.027495670157	0.005625739157	
4600000	338.780207	1	0.657944026000	0.753636575735	-0.023817069622	0.000349880357	0.911495848472	N\A	0.027556417448	0.005638168329	
4650000	333.322346	1	0.760170974063	0.684051539262	-0.014743411325	0.000361160699	0.908642424329	N\A	0.027997110853	0.005728336204	
4700000	339.949296	1	0.644448490193	0.787282869303	-0.034246876574	0.000347510274	0.912095373873	N\A	0.027462925532	0.005619039458	
4750000	337.921309	1	0.572618430342	0.826581583655	-0.037000909049	0.000351631886	0.911052789562	N\A	0.027625306162	0.005652263273	
