Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  DIE_d1_m3-glob-005.txt
Log File Name:                   DIE_d1_m3-glob-005.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            966020856
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   DIE_d1_m3-glob-005.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.175894
Restrictions:
    Beta-1                       None
    Beta-2                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.74 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      3
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	No RJ Local Node	No RJ LS Betas	Global Trend	
1000000	432.496555	1	0.653071437963	0.746695895931	-0.029758602025	0.000141620590	0.951526857381	N\A	0.019595355683	0.004861181036	43	7	-0.000221660235	Global Trend	
1050000	449.725718	1	0.608481205142	0.770842098802	-0.029755973277	0.000129460589	0.956530979248	N\A	0.018134603575	0.004337384317	46	13	-0.000066564942	Global Trend	
1100000	437.643176	1	0.558836196587	0.773343130643	-0.029930065589	0.000078726979	0.962248107369	N\A	0.018303581688	0.004481839626	47	11	-0.000111243210	Global Trend	
1150000	457.604170	1	0.597721877056	0.788140938128	-0.035871573581	0.000271442559	0.959002417598	N\A	0.017729042243	0.004369768377	48	13	-0.000647264825	Global Trend	
1200000	438.549665	1	0.552911816447	0.806120370449	-0.040650413035	0.000336949638	0.965366676721	N\A	0.016348594820	0.004219338905	46	12	0.000194809832	Global Trend	
1250000	425.329901	1	0.595788300510	0.777954690102	-0.036125175070	0.000192585076	0.950692673854	N\A	0.020514563248	0.005032623143	41	7	0.000296256640	Global Trend	
1300000	435.621434	1	0.624325055402	0.781227456696	-0.034780708624	0.000240379272	0.954038894226	N\A	0.018240561957	0.004314033220	38	11	-0.002174631514	Global Trend	
1350000	455.409647	1	0.707473605620	0.778256217172	-0.036431339276	0.000134885460	0.959907900480	N\A	0.017937926030	0.004239288156	39	15	-0.002535409338	Global Trend	
1400000	443.935260	1	0.641428999545	0.749992038945	-0.025529309075	0.000186308651	0.954247457937	N\A	0.018952729043	0.004403073638	39	13	-0.000828812763	Global Trend	
1450000	458.029529	1	0.637347890827	0.778788789094	-0.033089108289	0.000135730375	0.964432382397	N\A	0.016227551060	0.003894257041	38	12	-0.001302914209	Global Trend	
