Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  DIE_d1_m4-bm-001.txt
Log File Name:                   DIE_d1_m4-bm-001.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            3513996216
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   DIE_d1_m4-bm-001.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     1
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Restrictions:
    Beta-1                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      2
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Var	R^2	s.e. Alpha	s.e. Beta-1	
1000000	620.793910	1	-1.043698441677	0.982338227650	0.000067895972	0.982825342314	N\A	0.006956728494	
1050000	621.989724	1	-1.013249870685	0.973139385077	0.000067425568	0.982944333369	N\A	0.006932587482	
1100000	621.990786	1	-1.002832863089	0.969992294431	0.000067425152	0.982944438653	N\A	0.006932566084	
1150000	622.004680	1	-1.004504856735	0.970497421793	0.000067419706	0.982945816388	N\A	0.006932286075	
1200000	621.847621	1	-0.994741594759	0.967547834768	0.000067481297	0.982930236502	N\A	0.006935451855	
1250000	622.016122	1	-1.008480026356	0.971698363524	0.000067415221	0.982946950787	N\A	0.006932055513	
1300000	621.184274	1	-0.978543353179	0.962654170816	0.000067742053	0.982864276955	N\A	0.006948838630	
1350000	621.935454	1	-0.998817109466	0.968779091835	0.000067446846	0.982938951067	N\A	0.006933681263	
1400000	621.786008	1	-0.992509505717	0.966873496531	0.000067505474	0.982924120793	N\A	0.006936694151	
1450000	621.993495	1	-1.012863078790	0.973022531063	0.000067424090	0.982944707321	N\A	0.006932511481	
1500000	620.833105	1	-0.972857477691	0.960936406343	0.000067880501	0.982829255581	N\A	0.006955935899	
1550000	622.016345	1	-1.007891654607	0.971520610056	0.000067415134	0.982946972950	N\A	0.006932051008	
1600000	621.926031	1	-1.017679204064	0.974477534591	0.000067450541	0.982938016358	N\A	0.006933871195	
1650000	621.976555	1	-1.014420672228	0.973493096885	0.000067430731	0.982943027489	N\A	0.006932852876	
1700000	621.963517	1	-1.015399870052	0.973788923136	0.000067435842	0.982941734515	N\A	0.006933115637	
