Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  DIE_d1_m7-fab-004.txt
Log File Name:                   DIE_d1_m7-fab-004.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            1783028158
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   DIE_d1_m7-fab-004.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.175894
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.74 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Node	No RJ LS Betas	
1000000	746.668125	1	-0.975326186322	0.930804098793	0.064977030426	-0.007888662942	0.000025248335	0.991904479826	N\A	0.016100487965	0.014591380141	0.002106211198	44	2	
1050000	728.756413	1	-0.917040347035	0.898246956203	0.082439802586	-0.004979418952	0.000024119196	0.991473024122	N\A	0.018179700161	0.016035491824	0.002156785161	30	0	
1100000	725.978460	1	-0.971397253188	0.927140570336	0.070650465063	-0.007738453471	0.000030977221	0.991848946489	N\A	0.017036753563	0.015338307901	0.002106329528	31	0	
1150000	731.616711	1	-0.936879087357	0.921483340722	0.055117946775	-0.003459530837	0.000026616963	0.992086208598	N\A	0.016245827543	0.015460126736	0.002190165809	32	0	
1200000	738.748119	1	-1.026697480569	0.953130644530	0.061987951268	-0.008961558067	0.000019291694	0.997331307484	N\A	0.017843587217	0.013690977101	0.001482900798	41	0	
1250000	727.256044	1	-1.019966717439	0.955957047748	0.049528817074	-0.006821086397	0.000027442235	0.992124679497	N\A	0.016934490524	0.015375484672	0.002139708563	27	1	
1300000	732.211307	1	-0.994010553519	0.932660714066	0.064109851704	-0.005146120853	0.000023385412	0.991987481280	N\A	0.017678789063	0.015836972065	0.002245141145	39	0	
1350000	718.447718	1	-1.000027450902	0.949124004161	0.042761295118	-0.004125953163	0.000024078569	0.991776467310	N\A	0.017009758399	0.015732970848	0.002219990395	28	0	
1400000	727.769860	1	-0.992357987859	0.923014997745	0.095566819355	-0.010835935672	0.000027525627	0.991390372035	N\A	0.015003885154	0.014358473283	0.002103880832	41	1	
1450000	733.670811	1	-1.030830077121	0.956391195399	0.054051486882	-0.006914778940	0.000022952808	0.992178762488	N\A	0.017112210737	0.015203625253	0.002014204576	43	1	
1500000	729.672328	1	-0.989950438137	0.927090322092	0.087300757410	-0.010106130621	0.000027945896	0.992603912791	N\A	0.016327113009	0.014768953504	0.001912958134	39	1	
1550000	729.154627	1	-0.995558648045	0.938586797425	0.063293971015	-0.008220485149	0.000033594363	0.992060755430	N\A	0.016478060768	0.014660986530	0.001948394181	31	1	
1600000	732.842720	1	-0.976930879632	0.930307117516	0.064956549548	-0.005736578517	0.000029866872	0.992756365212	N\A	0.017714116498	0.016014851915	0.002185223837	29	1	
1650000	731.072292	1	-1.075846204627	0.969293780200	0.061407381742	-0.009977133205	0.000024642877	0.991997381888	N\A	0.016243136690	0.014270311749	0.002051177778	45	2	
1700000	730.807778	1	-0.988888847011	0.938076825489	0.055338719002	-0.004224696855	0.000025425097	0.992010062044	N\A	0.016965010832	0.015277451458	0.002185776799	42	1	
1750000	719.440888	1	-0.970362137713	0.937934654633	0.034145277985	0.001016269010	0.000021150474	0.991215790494	N\A	0.018205580523	0.016765431528	0.002342239777	28	1	
1800000	730.649056	1	-0.993922694005	0.931659826632	0.079537683263	-0.009614371912	0.000024537164	0.991898097805	N\A	0.016194447366	0.015353079782	0.002241140658	31	0	
1850000	734.771962	1	-0.979798492591	0.924343423190	0.069651663732	-0.004450292400	0.000039620544	0.992249410289	N\A	0.017743885786	0.016167635865	0.002284223342	26	1	
1900000	719.670406	1	-0.969106440209	0.912706002964	0.102034991739	-0.011913315477	0.000032374237	0.991800003202	N\A	0.017109892402	0.015760747949	0.002095070292	37	0	
1950000	733.094373	1	-0.967671997794	0.920843851901	0.067632020287	-0.003423977033	0.000026479921	0.992131544958	N\A	0.016471858473	0.015475489666	0.002164727858	24	0	
2000000	720.705327	1	-0.873783572877	0.873285152019	0.102795844263	-0.005403993283	0.000035207528	0.990985124534	N\A	0.019498011544	0.017159532750	0.002504990684	30	0	
2050000	733.993981	1	-0.964370286232	0.921787748737	0.077063628613	-0.007558436898	0.000027742916	0.992696221513	N\A	0.016765968852	0.015840013456	0.002272217725	45	0	
2100000	739.593499	1	-0.989110213319	0.942010208049	0.045889495148	-0.002835266147	0.000023999165	0.992603304529	N\A	0.018867031209	0.016967892169	0.002222475630	37	0	
2150000	726.874574	1	-0.928490018340	0.895681551629	0.098169045570	-0.006976262618	0.000020353583	0.992837703247	N\A	0.017305070334	0.015531354920	0.002089284795	33	0	
2200000	733.825806	1	-0.908358940660	0.892868114983	0.088785646417	-0.005703408864	0.000026565833	0.991971981065	N\A	0.017328792882	0.015707556751	0.002234462707	35	0	
2250000	726.442336	1	-0.973040592905	0.918088112394	0.085379337025	-0.007575560746	0.000027076284	0.991922974591	N\A	0.017258227859	0.015821187241	0.002180044646	35	0	
2300000	720.545744	1	-1.020930055179	0.955071543467	0.044817897573	-0.004188339726	0.000020717768	0.992735615305	N\A	0.017093405268	0.015860354639	0.002151399156	42	0	
2350000	732.421188	1	-1.022915551600	0.939722603177	0.079495210011	-0.009072760514	0.000021224941	0.992865285622	N\A	0.017836125376	0.016082931046	0.002156619211	31	0	
2400000	741.105944	1	-0.946827635584	0.915945457335	0.072588363248	-0.005007736567	0.000006055842	0.992808611274	N\A	0.017407946448	0.015678678648	0.002195384799	42	1	
2450000	727.802913	1	-0.922645809612	0.909215746465	0.089280031340	-0.011462326480	0.000025215131	0.991320169549	N\A	0.018089150247	0.016483505670	0.002030994338	31	1	
2500000	733.697366	1	-1.033304857176	0.955592880562	0.052915691697	-0.006968162670	0.000007944612	0.991487313546	N\A	0.017185711239	0.014557542269	0.002010310086	56	0	
2550000	727.776401	1	-0.982794422065	0.924457105909	0.086425024648	-0.009538235472	0.000029697118	0.992784247648	N\A	0.016668038050	0.015500436297	0.002139155643	36	0	
2600000	718.403430	1	-0.996531004287	0.936489289308	0.066066416806	-0.006665290251	0.000025152912	0.991816918985	N\A	0.016272153520	0.015357332672	0.002209564489	36	0	
2650000	726.551530	1	-1.039475431986	0.965331969335	0.039565763878	-0.005556383902	0.000021417966	0.991822403002	N\A	0.018129323306	0.016549496793	0.002154100962	29	0	
2700000	730.604343	1	-0.974084949806	0.932626613730	0.060097960133	-0.005660503419	0.000027601132	0.992490650933	N\A	0.016813805211	0.015335153888	0.002045761082	40	0	
2750000	737.302416	1	-1.043910807008	0.953514669678	0.075206200293	-0.012373684490	0.000022681439	0.992417639905	N\A	0.016249805430	0.015390215027	0.002174215955	39	1	
