Species_TTOL	DIE	rest_of_brain	BOD	BOD2
Anourosorex_squamipes	1.405	2.5613393948666	1.307	1.708249
Atelerix_algirus	2.4	3.45937494595256	2.867	8.219689
Blarina_brevicauda	1.42	2.56526016953364	1.267	1.605289
Chrysochloris_asiatica	1.723	2.8124927980164	1.69	2.8561
Chrysochloris_stuhlmanni	1.713	2.83356529108882	1.626	2.643876
Crocidura_attenuata	1.114	2.29369840905507	0.968	0.937024
Crocidura_flavescens	1.4	2.58207746336137	1.467	2.152089
Crocidura_hildegardeae	1.146	2.30064063157812	0.996	0.992016
Crocidura_denti	1.212	2.36479451634544	1.079	1.164241
Crocidura_russula	1.143	2.26471093422473	1.049	1.100401
Crocidura_suaveolens	1.104	2.25063238800831	1.013	1.026169
Cryptotis_parvus	1.233	2.36248471949945	0.991226075692495	0.982529133132744
Desmana_moschata	2.536	3.55635615102067	2.646	7.001316
Echinops_telfairi	1.605	2.74834886210844	1.942	3.771364
Echinosorex_gymnura	2.597	3.7443098228403	2.921	8.532241
Erinaceus_europaeus	2.385	3.47896517613914	2.929	8.579041
Euroscaptor_micrura	1.784	2.88161190363473	1.617	2.614689
Galemys_pyrenaicus	2.019	3.0873915761491	1.778	3.161284
Geogale_aurita	0.898	2.08153227068238	1	1
Hemicentetes_semispinosus	1.679	2.87971667978679	2.062	4.251844
Hemiechinus_auritus	2.147	3.22302557506589	2.371	5.621641
Hylomys_suillus	1.934	3.04265473490601	1.756	3.083536
Limnogale_mergulus	1.908	3.01708868959485	1.964	3.857296
Microgale_dobsoni	1.513	2.70344201843958	1.504	2.262016
Microgale_talazaci	1.657	2.85130596152045	1.683	2.832489
Micropotamogale_lamottei	1.798	2.86835860528116	1.808	3.268864
Micropotamogale_ruwenzorii	1.948	3.0239960099372	1.986	3.944196
Myosorex_sclateri	1.373	2.52863027572128	1.23	1.5129
Neomys_anomalus	1.332	2.4253493121911	1.037	1.075369
Neomys_fodiens	1.382	2.4844525337294	1.182	1.397124
Oryzorictes_hova	1.567	2.72555444984195	1.645	2.706025
Parascalops_breweri	1.82	2.9176407015745	1.731	2.996361
Potamogale_velox	2.478	3.58573403914356	2.791	7.789681
Ruwenzorisorex_suncoides	1.418	2.54319142403048	1.262	1.592644
Scalopus_aquaticus	1.962	3.09133564705225	2.061	4.247721
Scutisorex_somereni	1.61	2.77648055519446	1.792	3.211264
Setifer_setosus	1.969	3.13780347988815	2.373	5.631129
Solenodon_paradoxus	2.435	3.63091110993978	2.826	7.986276
Sorex_alpinus	1.23	2.39429748323639	1.033	1.067089
Sorex_araneus	1.17	2.30376222600923	0.987	0.974169
Sorex_cinereus	1.037	2.19894571979351	0.633	0.400689
Sorex_fumeus	1.199	2.35557876339451	0.924	0.853776
Sorex_hoyi	0.839	1.95473569737117	0.42	0.1764
Sorex_minutus	0.886	2.03191366086741	0.633	0.400689
Suncus_etruscus	0.643	1.76381793243763	0.762	0.580644
Suncus_murinus	1.382	2.54992986543294	1.529	2.337841
Sylvisorex_granti	1.004	2.19026550669	0.591	0.349281
Suncus_megalura	1.09	2.24721153694055	0.74	0.5476
Talpa_europaea	1.907	2.9763963558453	1.908	3.640464
Tenrec_ecaudatus	2.187	3.35823796436117	2.935	8.614225
Aepyprymnus_rufescens	3.032135	4.0785367274352	3.392697	11.510392933809
Antechinus_flavipes	1.70927	2.78774994860876	1.568202	2.459257512804
Antechinus_minimus	1.800029	2.86153430048589	1.724276	2.973127724176
Bettongia_gaimardi	3.007705	4.04663551459762	3.176091	10.087554040281
Bettongia_penicillata	2.933791	3.98021273823091	3.079181	9.481355630761
Burramys_parvus	1.9154	2.92464113314859	1.770852	3.135916805904
Cercartetus_nanus	1.583199	2.67775290596171	1.278754	1.635211792516
Dactylopsila_trivirgata	2.659346	3.76646475332113	2.643453	6.987843763209
Dasycercus_cristicauda	2.120903	3.16814378922862	2	4
Dasyuroides_byrnei	2.115943	3.1709361619783	2.146128	4.605865392384
Dasyurus_geoffroii	2.60021	3.70221513935253	2.69897	7.2844390609
Dasyurus_hallucatus	2.389343	3.45874340368618	3.021189	9.127582973721
Dendrolagus_lumholtzi	3.272538	4.32056441398414	3.78533	14.3287232089
Distoechurus_pennatus	1.93902	2.99668674974598	1.633468	2.668217707024
Dorcopsis	3.171726	4.18833195300086	3.462398	11.988199910404
Echymipera_kalubu	2.423246	3.52847956017657	2.819544	7.949828367936
Gymnobelideus_leadbeateri	2.276002	3.34769853893654	2.041393	4.167285380449
Hypsiprymnodon_moschatus	2.647285	3.74212014161771	2.748188	7.552537283344
Isoodon_macrourus	2.42341	3.58290385753117	3.033424	9.201661163776
Isoodon_obesulus_obesulus	2.516271	3.62554911049539	3.004321	9.025944671041
Osphranter_antilopinus	3.631241	4.71459609027679	4.537819	20.591801276761
Macropus_giganteus	3.658393	4.77506983526938	4.563481	20.825358837361
Notamacropus_irma	3.33666	4.36841530467472	3.819544	14.588916367936
Notamacropus_parma	3.172311	4.20117855029655	3.536558	12.507242487364
Notamacropus_parryi	3.470704	4.51970786965636	4.170262	17.391085148644
