Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  DIE_d1_m8-VR-004.txt
Log File Name:                   DIE_d1_m8-VR-004.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            114056974
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   DIE_d1_m8-VR-004.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Branch	No RJ Local Node	
1000000	730.085298	1	-1.079700394940	1.013090845093	-0.011065167743	0.029384042734	0.000019640700	0.992214663734	N\A	0.027071154437	0.003903642731	0.011210786766	43	30	
1050000	712.910975	1	-1.058595223313	0.985727735436	-0.005299015218	0.026761551273	0.000024688089	0.992270157198	N\A	0.027852580020	0.004112161419	0.011815204036	55	20	
1100000	710.047863	1	-1.068241422480	1.003516273774	-0.008966714326	0.028383960226	0.000029311535	0.993208033584	N\A	0.028079392227	0.003875333005	0.012072500880	39	24	
1150000	724.788506	1	-1.046430061732	0.973754482787	-0.004563821387	0.041360917633	0.000022916782	0.991987225135	N\A	0.027012637891	0.003937287972	0.011665559824	44	23	
1200000	718.372466	1	-0.939276520864	0.933623613501	-0.006647552779	0.064776181022	0.000015796417	0.992614509440	N\A	0.027437657339	0.003744310791	0.011148510261	42	23	
1250000	725.331478	1	-1.026534345728	0.978899562104	-0.009406841595	0.049706959878	0.000023863004	0.992218809244	N\A	0.026602189177	0.003876461218	0.006912305378	43	21	
1300000	732.278454	1	-0.943496425961	0.942585937031	-0.006361468014	0.054301151129	0.000010802447	0.991768630344	N\A	0.026346754896	0.003694135363	0.011841361104	42	25	
1350000	716.191185	1	-1.027972322137	0.976438478821	-0.010729309356	0.058442181729	0.000024182729	0.991647614228	N\A	0.030954494392	0.004376027205	0.012613097725	43	24	
1400000	720.020677	1	-1.170343103721	1.068165328180	-0.019649804276	0.032217433984	0.000026313316	0.991580587339	N\A	0.029187879018	0.003757320582	0.012119713193	39	20	
1450000	709.959424	1	-1.022799640326	0.986217619522	-0.019811414700	0.084810961478	0.000023039245	0.991275629961	N\A	0.028199900820	0.003612284702	0.012770217700	41	26	
1500000	716.398652	1	-1.185104994614	1.066863328335	-0.013453203370	0.010574777725	0.000029336176	0.992034191446	N\A	0.028420858459	0.003884551655	0.011708519293	42	22	
1550000	735.735307	1	-1.050450401845	0.991816138343	-0.007456336703	0.029005948412	0.000027507364	0.992855874374	N\A	0.027344617703	0.004059039717	0.011580312411	30	23	
1600000	728.876076	1	-1.056107227892	0.986520921124	-0.006670988889	0.036047493085	0.000025865173	0.992306783503	N\A	0.028207109346	0.003925265777	0.011833726582	54	17	
1650000	727.903932	1	-1.118090681158	1.026155346328	-0.012028184916	0.033489545426	0.000025457717	0.991875618033	N\A	0.027193102228	0.003981046002	0.011584656661	40	22	
1700000	725.179170	1	-0.995263798497	0.962327086551	-0.002403760475	0.023468762178	0.000021028538	0.992146196301	N\A	0.027293409472	0.004093975921	0.011134579005	45	24	
1750000	719.856942	1	-1.005310199673	0.950478678442	-0.005967045406	0.058949066490	0.000025966682	0.992271140610	N\A	0.027611184378	0.004004982941	0.011099033981	46	24	
1800000	730.518014	1	-1.055257927408	0.995042794506	-0.014841735466	0.066888388066	0.000020862762	0.992599190705	N\A	0.027220500538	0.003497867618	0.012242580784	51	30	
1850000	730.737380	1	-1.042509813762	0.987949327500	-0.012743319047	0.058047400360	0.000024998749	0.992089132247	N\A	0.028657992918	0.003776626678	0.011808675251	38	15	
1900000	718.433831	1	-1.119039367425	1.027064440496	-0.016448723869	0.052648664629	0.000026971614	0.992333965021	N\A	0.026971262248	0.003638915195	0.011624545200	50	21	
1950000	722.569584	1	-0.988828989510	0.962859960229	-0.005868730653	0.040474953320	0.000024449038	0.992249542281	N\A	0.027301580576	0.004066530949	0.012134101373	55	12	
2000000	728.184006	1	-1.045874910486	0.988621551116	-0.008640120973	0.036876638199	0.000026732891	0.992198642742	N\A	0.026431996141	0.003910777545	0.010762328710	38	28	
2050000	719.703090	1	-1.038925941960	0.976724632617	-0.004813136453	0.034177162735	0.000027076508	0.992304401559	N\A	0.026701499823	0.003909717930	0.008202543944	54	28	
2100000	731.699815	1	-1.101941265231	1.020903296221	-0.010412441108	0.023897396057	0.000026489862	0.991530610624	N\A	0.028559845722	0.003882965450	0.011858216647	52	26	
2150000	723.882428	1	-1.051186421116	0.994249525034	-0.007930595391	0.027569379336	0.000021119580	0.993129396059	N\A	0.024678050662	0.003624707924	0.010857912279	51	33	
2200000	717.089070	1	-1.018161991689	0.958847186397	-0.005107948756	0.052811275084	0.000032302388	0.992248293288	N\A	0.028765413374	0.003953436613	0.012184644838	45	18	
2250000	717.714267	1	-0.997485404006	0.955496106632	-0.001454069184	0.025852342280	0.000028672942	0.991856074992	N\A	0.028021181791	0.003749887210	0.011713733067	55	21	
2300000	721.275490	1	-1.064019891098	0.999097413837	-0.009342759765	0.033834304538	0.000023628526	0.991729425777	N\A	0.028923109690	0.003822217169	0.011952852317	44	29	
2350000	743.647889	1	-1.025205135935	0.991268807138	-0.013203826021	0.049653264099	0.000024816104	0.993100153912	N\A	0.023121997164	0.003343588345	0.009768215344	43	18	
2400000	710.172156	1	-1.106904378688	1.020450084653	-0.015440969451	0.049863546096	0.000043586216	0.991426905463	N\A	0.030239563412	0.004214540089	0.013206980957	43	28	
2450000	714.020978	1	-0.987011687650	0.949995471336	-0.009865719688	0.072624271981	0.000025357619	0.992318036529	N\A	0.026398654961	0.003717599144	0.011941833051	43	31	
2500000	728.909233	1	-0.953567352992	0.938278243958	-0.008284550825	0.068771519471	0.000024962473	0.992219901183	N\A	0.026477525476	0.003623381509	0.011350154073	40	26	
2550000	733.047236	1	-1.108006708695	1.023329693533	-0.012343901839	0.036609489017	0.000022553475	0.992329196253	N\A	0.027869546188	0.004043943153	0.011695558490	45	23	
2600000	721.206078	1	-1.041101172055	0.985686199779	-0.011276320589	0.054079911355	0.000029762439	0.992029669488	N\A	0.027559910647	0.003790114877	0.011766503136	34	22	
2650000	715.982907	1	-0.972905612935	0.949233086828	-0.001734397412	0.030087773874	0.000023998841	0.991581897715	N\A	0.029221288429	0.004291735747	0.012641125742	48	26	
2700000	734.219870	1	-1.151210557919	1.049703906797	-0.015296964977	0.022098519782	0.000024825201	0.992126359034	N\A	0.027772061977	0.003996202114	0.012280775259	36	25	
2750000	732.544387	1	-1.138147668824	1.055765514248	-0.021994248920	0.048128241188	0.000022290378	0.992401209134	N\A	0.027083124756	0.003434589557	0.011218752616	54	20	
2800000	720.765736	1	-0.989563116206	0.962743578147	-0.007404893333	0.047743304978	0.000023750956	0.992018209025	N\A	0.027387986374	0.003921131842	0.011183101922	46	22	
2850000	718.985339	1	-1.090084531667	1.021340042597	-0.014374314491	0.041742883440	0.000026320023	0.993013003431	N\A	0.027727475683	0.003848497670	0.010839027443	47	32	
2900000	720.082851	1	-1.200681269347	1.083389692838	-0.020899182507	0.027124290254	0.000023473771	0.992425813658	N\A	0.027056425729	0.003568358524	0.010751518555	51	20	
2950000	713.738483	1	-0.994996246238	0.960163994442	-0.003108851010	0.036789874908	0.000029022866	0.992193800328	N\A	0.027397576574	0.003821019423	0.011026940408	39	16	
3000000	715.639179	1	-1.030003841758	0.978263181514	-0.003480555216	0.025730865718	0.000023116455	0.992260684478	N\A	0.030166721778	0.004389789552	0.012146916330	45	20	
3050000	727.407281	1	-1.047053420005	0.989277028074	-0.011906716778	0.054651806918	0.000028293798	0.992806237152	N\A	0.027835679472	0.004109542472	0.012027342183	30	28	
3100000	721.589956	1	-0.956664837385	0.923056725592	-0.002548405646	0.059060434328	0.000022870355	0.993227207972	N\A	0.027116179530	0.004096333496	0.011710891133	55	28	
3150000	717.957368	1	-1.092167107839	1.005839506872	-0.008825664746	0.033505797766	0.000024141449	0.991764146901	N\A	0.028824080090	0.003913365230	0.012773713730	52	18	
3200000	729.216993	1	-1.099611050171	1.024955020438	-0.012099093128	0.025849032658	0.000024808140	0.992047352546	N\A	0.027908213493	0.003728456319	0.011579672047	48	26	
3250000	716.269983	1	-1.045323276003	0.984287632224	-0.012746278380	0.066120142829	0.000033114651	0.991687739088	N\A	0.029433886760	0.004133104941	0.012081877892	37	25	
3300000	720.084611	1	-1.088110516124	1.008149043724	-0.010337798052	0.031583117942	0.000037514493	0.992822398372	N\A	0.027137914221	0.003963865660	0.011256687743	49	23	
3350000	711.458405	1	-1.096577260986	1.031961611420	-0.020338810111	0.055295357279	0.000026817866	0.992641213000	N\A	0.025851894638	0.003547087293	0.011663376681	54	21	
3400000	718.667298	1	-1.064034966061	0.994724514049	-0.002939269034	0.008974354997	0.000023348238	0.991929594344	N\A	0.030550882835	0.004301948499	0.011979734666	41	24	
3450000	720.028479	1	-0.973246601777	0.940201248059	-0.000366940830	0.037181765791	0.000018910453	0.994824051165	N\A	0.027784173671	0.004003418780	0.011392778524	50	30	
3500000	726.184580	1	-0.991691670271	0.946234194120	-0.002792404423	0.047576821393	0.000021673991	0.993039008358	N\A	0.026257987074	0.003892401489	0.011095172425	50	29	
3550000	717.826567	1	-1.093543631160	1.028434693236	-0.021294810473	0.066450553351	0.000024804206	0.991968796179	N\A	0.026843537362	0.003610634741	0.011656946353	48	21	
3600000	730.288578	1	-1.099890260751	1.022304676886	-0.013346977758	0.035491266237	0.000028369343	0.992262769796	N\A	0.027065470411	0.003793406199	0.011083112492	45	21	
3650000	714.163283	1	-1.082922286531	0.995963797775	-0.001159811819	0.006048180719	0.000026482236	0.992289058650	N\A	0.027855311079	0.004100090208	0.011881684112	50	24	
3700000	720.573164	1	-1.142946977749	1.056672848330	-0.019068310675	0.036875800747	0.000024848792	0.993472102491	N\A	0.027217056017	0.003937376793	0.011614703759	45	29	
3750000	737.641683	1	-1.050556004491	0.987887171307	-0.008486152884	0.041741960203	0.000022614972	0.992531811625	N\A	0.027176974493	0.003855190910	0.011205938068	46	26	
3800000	714.250211	1	-1.032417418262	0.970094926504	-0.003348271604	0.031327861442	0.000025180811	0.992471708543	N\A	0.028362963920	0.003954886021	0.012090440752	50	25	
3850000	722.316903	1	-1.116997440978	1.039279869247	-0.013279638524	0.017837315698	0.000022427381	0.992142589041	N\A	0.026271180290	0.003874275370	0.011666140831	53	24	
