Species_TTOL	DIE	rest_of_brain	rest_of_brain2	BOD
Anourosorex_squamipes	1.405	3.0789623596587	9.48000921219507	1.307
Atelerix_algirus	2.4	3.0789623596587	9.48000921219507	2.867
Blarina_brevicauda	1.42	3.0789623596587	9.48000921219507	1.267
Chrysochloris_asiatica	1.723	3.0789623596587	9.48000921219507	1.69
Chrysochloris_stuhlmanni	1.713	3.0789623596587	9.48000921219507	1.626
Crocidura_attenuata	1.114	3.0789623596587	9.48000921219507	0.968
Crocidura_flavescens	1.4	3.0789623596587	9.48000921219507	1.467
Crocidura_hildegardeae	1.146	3.0789623596587	9.48000921219507	0.996
Crocidura_denti	1.212	3.0789623596587	9.48000921219507	1.079
Crocidura_russula	1.143	3.0789623596587	9.48000921219507	1.049
Crocidura_suaveolens	1.104	3.0789623596587	9.48000921219507	1.013
Cryptotis_parvus	1.233	3.0789623596587	9.48000921219507	0.991226075692495
Desmana_moschata	2.536	3.0789623596587	9.48000921219507	2.646
Echinops_telfairi	1.605	3.0789623596587	9.48000921219507	1.942
Echinosorex_gymnura	2.597	3.0789623596587	9.48000921219507	2.921
Erinaceus_europaeus	2.385	3.0789623596587	9.48000921219507	2.929
Euroscaptor_micrura	1.784	3.0789623596587	9.48000921219507	1.617
Galemys_pyrenaicus	2.019	3.0789623596587	9.48000921219507	1.778
Geogale_aurita	0.898	3.0789623596587	9.48000921219507	1
Hemicentetes_semispinosus	1.679	3.0789623596587	9.48000921219507	2.062
Hemiechinus_auritus	2.147	3.0789623596587	9.48000921219507	2.371
Hylomys_suillus	1.934	3.0789623596587	9.48000921219507	1.756
Limnogale_mergulus	1.908	3.0789623596587	9.48000921219507	1.964
Microgale_dobsoni	1.513	3.0789623596587	9.48000921219507	1.504
Microgale_talazaci	1.657	3.0789623596587	9.48000921219507	1.683
Micropotamogale_lamottei	1.798	3.0789623596587	9.48000921219507	1.808
Micropotamogale_ruwenzorii	1.948	3.0789623596587	9.48000921219507	1.986
Myosorex_sclateri	1.373	3.0789623596587	9.48000921219507	1.23
Neomys_anomalus	1.332	3.0789623596587	9.48000921219507	1.037
Neomys_fodiens	1.382	3.0789623596587	9.48000921219507	1.182
Oryzorictes_hova	1.567	3.0789623596587	9.48000921219507	1.645
Parascalops_breweri	1.82	3.0789623596587	9.48000921219507	1.731
Potamogale_velox	2.478	3.0789623596587	9.48000921219507	2.791
Ruwenzorisorex_suncoides	1.418	3.0789623596587	9.48000921219507	1.262
Scalopus_aquaticus	1.962	3.0789623596587	9.48000921219507	2.061
Scutisorex_somereni	1.61	3.0789623596587	9.48000921219507	1.792
Setifer_setosus	1.969	3.0789623596587	9.48000921219507	2.373
Solenodon_paradoxus	2.435	3.0789623596587	9.48000921219507	2.826
Sorex_alpinus	1.23	3.0789623596587	9.48000921219507	1.033
Sorex_araneus	1.17	3.0789623596587	9.48000921219507	0.987
Sorex_cinereus	1.037	3.0789623596587	9.48000921219507	0.633
Sorex_fumeus	1.199	3.0789623596587	9.48000921219507	0.924
Sorex_hoyi	0.839	3.0789623596587	9.48000921219507	0.42
Sorex_minutus	0.886	3.0789623596587	9.48000921219507	0.633
Suncus_etruscus	0.643	3.0789623596587	9.48000921219507	0.762
Suncus_murinus	1.382	3.0789623596587	9.48000921219507	1.529
Sylvisorex_granti	1.004	3.0789623596587	9.48000921219507	0.591
Suncus_megalura	1.09	3.0789623596587	9.48000921219507	0.74
Talpa_europaea	1.907	3.0789623596587	9.48000921219507	1.908
Tenrec_ecaudatus	2.187	3.0789623596587	9.48000921219507	2.935
Aepyprymnus_rufescens	3.032135	3.0789623596587	9.48000921219507	3.392697
Antechinus_flavipes	1.70927	3.0789623596587	9.48000921219507	1.568202
Antechinus_minimus	1.800029	3.0789623596587	9.48000921219507	1.724276
Bettongia_gaimardi	3.007705	3.0789623596587	9.48000921219507	3.176091
Bettongia_penicillata	2.933791	3.0789623596587	9.48000921219507	3.079181
Burramys_parvus	1.9154	3.0789623596587	9.48000921219507	1.770852
Cercartetus_nanus	1.583199	3.0789623596587	9.48000921219507	1.278754
Dactylopsila_trivirgata	2.659346	3.0789623596587	9.48000921219507	2.643453
Dasycercus_cristicauda	2.120903	3.0789623596587	9.48000921219507	2
Dasyuroides_byrnei	2.115943	3.0789623596587	9.48000921219507	2.146128
Dasyurus_geoffroii	2.60021	3.0789623596587	9.48000921219507	2.69897
Dasyurus_hallucatus	2.389343	3.0789623596587	9.48000921219507	3.021189
Dendrolagus_lumholtzi	3.272538	3.0789623596587	9.48000921219507	3.78533
Distoechurus_pennatus	1.93902	3.0789623596587	9.48000921219507	1.633468
Dorcopsis	3.171726	3.0789623596587	9.48000921219507	3.462398
Echymipera_kalubu	2.423246	3.0789623596587	9.48000921219507	2.819544
Gymnobelideus_leadbeateri	2.276002	3.0789623596587	9.48000921219507	2.041393
Hypsiprymnodon_moschatus	2.647285	3.0789623596587	9.48000921219507	2.748188
Isoodon_macrourus	2.42341	3.0789623596587	9.48000921219507	3.033424
Isoodon_obesulus_obesulus	2.516271	3.0789623596587	9.48000921219507	3.004321
Osphranter_antilopinus	3.631241	3.0789623596587	9.48000921219507	4.537819
Macropus_giganteus	3.658393	3.0789623596587	9.48000921219507	4.563481
Notamacropus_irma	3.33666	3.0789623596587	9.48000921219507	3.819544
Notamacropus_parma	3.172311	3.0789623596587	9.48000921219507	3.536558
Notamacropus_parryi	3.470704	3.0789623596587	9.48000921219507	4.170262
Osphranter_robustus	3.498999	3.0789623596587	9.48000921219507	4.409933
Osphranter_rufus	3.656577	3.0789623596587	9.48000921219507	4.494155
Thylamys_pallidior	1.678518	3.0789623596587	9.48000921219507	1.477121
Marmosops_impavidus	1.928396	3.0789623596587	9.48000921219507	1.845098
Monodelphis_brevicaudata	1.85248	3.0789623596587	9.48000921219507	1.924279
Notoryctes_typhlops	1.854306	3.0789623596587	9.48000921219507	1.531479
Petauroides_volans	2.57588	3.0789623596587	9.48000921219507	3.09691
Petaurus_australis	2.746089	3.0789623596587	9.48000921219507	2.748188
Petaurus_breviceps	2.300378	3.0789623596587	9.48000921219507	2.113943
Petaurus_norfolcensis	2.442009	3.0789623596587	9.48000921219507	2.374748
Petrogale_inornata	3.156852	3.0789623596587	9.48000921219507	3.628389
Petrogale_lateralis	3.061075	3.0789623596587	9.48000921219507	3.556303
Petrogale_penicillata	3.276002	3.0789623596587	9.48000921219507	3.690196
Petrogale_purpureicollis	3.182415	3.0789623596587	9.48000921219507	3.740363
Petropseudes_dahli	2.671636	3.0789623596587	9.48000921219507	3.127105
Phascolarctos_cinereus	3.189209	3.0789623596587	9.48000921219507	3.968483
Planigale_ingrami	0.920123	3.0789623596587	9.48000921219507	0.826075
Planigale_maculata	1.214844	3.0789623596587	9.48000921219507	1.041393
Potorous_tridactylus_tridactylus	2.932271	3.0789623596587	9.48000921219507	3.089905
Pseudochirulus_canescens	2.253096	3.0789623596587	9.48000921219507	2.447158
Pseudochirulus_forbesi	2.426023	3.0789623596587	9.48000921219507	2.70757
Sarcophilus_harrisii	3.026533	3.0789623596587	9.48000921219507	3.732394
Sminthopsis_crassicaudata	1.475671	3.0789623596587	9.48000921219507	1.146128
Sminthopsis_leucopus	1.636488	3.0789623596587	9.48000921219507	1.361728
Phalanger_gymnotis	3.023664	3.0789623596587	9.48000921219507	3.451786
Thylacinus_cynocephalus	3.60401	3.0789623596587	9.48000921219507	4.342423
Thylogale_billardierii	3.262925	3.0789623596587	9.48000921219507	3.845098
Thylogale_stigmatica	3.218536	3.0789623596587	9.48000921219507	3.653213
Trichosurus_vulpecula	2.912859	3.0789623596587	9.48000921219507	3.30103
