Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  DIE_d1_m8-glob-002.txt
Log File Name:                   DIE_d1_m8-glob-002.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            2713345351
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   DIE_d1_m8-glob-002.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.175894
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.74 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Node	No RJ LS Betas	Global Trend	
1000000	714.842387	1	7.020364441269	0.931051345776	-0.004414343961	0.050476002994	0.000040320748	0.999938018867	N\A	0.003350265320	0.000323306403	0.003135311993	5	5	-2.172743560956	Global Trend	
1050000	711.238906	1	7.499965902371	0.920178387549	-0.002225062838	0.061084737751	0.000040598699	0.999942257262	N\A	0.006571113400	0.000625436632	0.006480437771	3	5	-2.519461746820	Global Trend	
1100000	716.657746	1	9.022907207791	0.932261058635	-0.001487873141	0.043822389891	0.000039150609	0.999910384416	N\A	0.008146244010	0.000829956045	0.008355253753	3	6	-2.458549948177	Global Trend	
1150000	724.409399	1	7.746026928944	0.906277176115	-0.001750027796	0.063317443389	0.000037304698	0.999861300303	N\A	0.007393792987	0.000732626882	0.007489554587	6	7	-1.687409074454	Global Trend	
1200000	711.235019	1	7.406834616287	0.914755448861	-0.003880888479	0.057920177099	0.000040838485	0.999880098763	N\A	0.005656333274	0.000515197696	0.005457567279	4	5	-1.665006557226	Global Trend	
1250000	707.797272	1	8.090409455121	0.911556855679	-0.000338721722	0.053592366598	0.000041135641	0.999820223735	N\A	0.007819585572	0.000774440097	0.007926831881	5	5	-1.601483412155	Global Trend	
1300000	706.223314	1	7.784055673712	0.928943523443	-0.001156036737	0.039366634748	0.000041817434	0.999857893569	N\A	0.006796945900	0.000648961538	0.006739235736	3	5	-1.660704830504	Global Trend	
1350000	712.154676	1	9.254919815204	0.936040096379	-0.002230526450	0.041965979465	0.000039984918	0.999913983700	N\A	0.008604281280	0.000883145525	0.008874573147	4	5	-2.635351328011	Global Trend	
1400000	713.764650	1	9.059817130104	0.952521897270	-0.001406124199	0.025936400748	0.000039616285	0.999928926969	N\A	0.008394618587	0.000858862392	0.008635927561	4	5	-2.736407666572	Global Trend	
1450000	728.174290	1	7.216153181969	0.927614023341	-0.001835938822	0.054000173591	0.000036742644	0.999953220051	N\A	0.005894522866	0.000550756710	0.005747861896	7	7	-2.527047753115	Global Trend	
1500000	713.713767	1	10.524780453674	0.910250289730	0.002813911371	0.037467759491	0.000039611519	0.999611944873	N\A	0.009099318624	0.000928137600	0.009383339694	3	6	-1.446368577731	Global Trend	
