Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  DIE_d1_m9-VR-006.txt
Log File Name:                   DIE_d1_m9-VR-006.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            521101667
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   DIE_d1_m9-VR-006.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      5
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	No RJ Local Branch	No RJ Local Node	
1000000	727.041229	1	-0.874072924648	0.873793609729	0.002968412690	0.098597936601	-0.010835069318	0.000024476996	0.994847092586	N\A	0.049291668342	0.006952428503	0.018867456078	0.003399825302	59	26	
1050000	725.988225	1	-0.830449321248	0.797703387589	0.019135541050	0.120512956409	-0.016116982303	0.000024034418	0.992713128058	N\A	0.061080623367	0.009354100987	0.022590717549	0.004630612690	44	25	
1100000	726.568266	1	-0.892970900057	0.842023247580	0.019615776069	0.080430117478	-0.015075559618	0.000022262944	0.992343986137	N\A	0.054692393455	0.008587301507	0.021793064075	0.004651391633	39	26	
1150000	726.399467	1	-0.817514962903	0.780891150137	0.027476440475	0.107913006362	-0.019072173657	0.000020866590	0.992074823881	N\A	0.056476651531	0.008929446378	0.021887529280	0.004777526810	44	23	
1200000	736.934534	1	-1.108817743970	1.006761975725	-0.005649514086	0.027839543409	-0.003032324631	0.000025284076	0.992984026004	N\A	0.061201082791	0.008943639877	0.024676413362	0.004756824305	51	22	
1250000	712.391517	1	-0.974550183538	0.923993093411	0.000172296369	0.067357803333	-0.004520365838	0.000026062371	0.991127137574	N\A	0.055243537139	0.008807769155	0.022749740982	0.004675591660	50	20	
1300000	728.400719	1	-0.778062396652	0.771008384643	0.025528963562	0.118484807668	-0.020117160671	0.000033775168	0.992277228202	N\A	0.052723412868	0.008214015153	0.021840190151	0.004650016720	49	24	
1350000	717.823249	1	-1.172579719528	1.072128606376	-0.022438448477	0.038194826948	0.000975990329	0.000032027958	0.991799057420	N\A	0.057571693531	0.007924605544	0.024863741180	0.004554394060	57	13	
1400000	729.186417	1	-0.842256901324	0.813074633180	0.021401994211	0.096994580295	-0.016242235018	0.000022122791	0.992759845005	N\A	0.052706881993	0.008509123213	0.020166270383	0.004318083182	35	18	
1450000	729.237703	1	-0.883036160954	0.833633777432	0.020788502234	0.090322910540	-0.017804736754	0.000038870001	0.992106118047	N\A	0.050836311261	0.008297258750	0.019909580119	0.004337228847	72	22	
1500000	736.284123	1	-0.883949800161	0.854025265494	0.012262117860	0.083911130251	-0.010769722186	0.000019670143	0.992368802420	N\A	0.053803681573	0.008769859729	0.021467344296	0.004860124808	32	24	
1550000	727.104495	1	-1.145870484918	1.068842246331	-0.027361393234	0.050831962833	0.002574069828	0.000029217838	0.991466057967	N\A	0.049482512161	0.006854734651	0.022831718316	0.004121411063	45	17	
1600000	717.188429	1	-0.901261188021	0.871587729240	0.011962220492	0.061777964863	-0.008889937052	0.000025639185	0.991813357675	N\A	0.062695202955	0.009314335048	0.025360328412	0.005109229615	40	18	
1650000	722.756857	1	-1.050715550022	0.991844348074	-0.011020049919	0.048332937480	0.000551926132	0.000023612026	0.991886102079	N\A	0.049531288443	0.007634112862	0.020849206455	0.004350053192	37	23	
1700000	713.743323	1	-0.881452751717	0.863497660830	0.006060753384	0.094713285871	-0.007257877334	0.000032731786	0.992635757440	N\A	0.055801738588	0.008397226366	0.022896342889	0.004569296191	51	21	
1750000	712.021512	1	-0.953187635978	0.881987425584	0.011070433587	0.099226883884	-0.018017535449	0.000027421883	0.992115525248	N\A	0.054267124457	0.008467264358	0.021515037150	0.004300521147	48	22	
1800000	717.682251	1	-0.957513052990	0.938523583144	-0.003669064319	0.057830739838	-0.002896203690	0.000023981187	0.992311656740	N\A	0.055135954651	0.008894040834	0.021461283680	0.004693632051	43	19	
1850000	736.647893	1	-0.888634224484	0.855781686141	0.013139270931	0.086878133587	-0.013713732893	0.000022885739	0.992671061511	N\A	0.053748668408	0.008793533661	0.020086219168	0.004512380230	41	24	
1900000	720.610944	1	-0.908425497564	0.866048240250	0.009865817510	0.089534968879	-0.009993666779	0.000025053747	0.991381916020	N\A	0.058650129697	0.008588475789	0.024064201952	0.004585981858	44	23	
1950000	737.652793	1	-0.874386402185	0.818809993778	0.023651452862	0.090262431459	-0.016788517475	0.000019964022	0.993227344552	N\A	0.050234897348	0.008386565888	0.019125165622	0.004390862880	53	30	
2000000	718.068357	1	-0.904524319206	0.867442344729	0.008384668341	0.093563650894	-0.010159192764	0.000026479655	0.991420876982	N\A	0.052432294331	0.008118822842	0.021655103379	0.004259920926	41	21	
2050000	728.970179	1	-0.756490685263	0.753622065965	0.026492043527	0.134437188483	-0.021920552671	0.000026764808	0.992056638703	N\A	0.053595098947	0.008376091011	0.021700682336	0.004554011899	39	19	
2100000	718.033244	1	-0.856204808498	0.824044544227	0.017333573392	0.114290086387	-0.017946661295	0.000024577145	0.992755018007	N\A	0.052163529189	0.008248755350	0.020607221636	0.004369657575	39	23	
2150000	718.380674	1	-0.820058506090	0.814655212836	0.016603732609	0.088210148157	-0.009837712231	0.000021268696	0.992548804079	N\A	0.053334388774	0.008610482984	0.020843938925	0.004585985388	51	23	
2200000	718.687749	1	-1.074175116700	1.013125700802	-0.017413287988	0.056310989653	-0.000258285212	0.000025557106	0.991944013159	N\A	0.055137111406	0.008660136530	0.022741285868	0.004639996216	48	18	
2250000	729.295350	1	-0.913681559901	0.862123716961	0.015295535172	0.074244793609	-0.011575435034	0.000022859883	0.992638540480	N\A	0.055254824018	0.008333711735	0.021521489278	0.004128667365	48	20	
2300000	722.217621	1	-1.035771485937	0.975385968811	-0.011717629455	0.072515592871	-0.002347759160	0.000040963404	0.991557972536	N\A	0.056993511316	0.008430450923	0.024387242576	0.004885760122	42	29	
2350000	732.008726	1	-1.043273403535	0.988116709691	-0.007501948594	0.026035529322	0.001005383300	0.000020654637	0.992272281336	N\A	0.056704509298	0.008691522377	0.022821985035	0.004763480876	48	32	
2400000	720.734904	1	-1.014404428369	0.981343215917	-0.009974723088	0.027930665080	0.004519503141	0.000023485585	0.991562739729	N\A	0.049016994951	0.007558612583	0.020882944853	0.004382759834	54	16	
