Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  DIE_d1_m9-fab-005.txt
Log File Name:                   DIE_d1_m9-fab-005.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            257253371
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   DIE_d1_m9-fab-005.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.175894
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.74 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      5
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	No RJ Local Node	No RJ LS Betas	
1000000	727.427866	1	-1.093686462001	1.015393517604	-0.011924531224	0.030803493581	0.000100988470	0.000027007780	0.992169592512	N\A	0.057217779467	0.008897353729	0.023370400076	0.004930240039	38	3	
1050000	720.270238	1	-0.986975381021	0.935036821338	0.001878027299	0.051181235776	-0.005295082880	0.000043129927	0.992506324494	N\A	0.050487176294	0.008002078650	0.021250633857	0.004550199273	37	3	
1100000	730.164701	1	-0.962524100648	0.890499462265	0.006581084901	0.112107802121	-0.016473870159	0.000020306448	0.992367356199	N\A	0.057108997974	0.008220023844	0.023571726727	0.004366778426	39	4	
1150000	734.715506	1	-0.797946128286	0.777457941926	0.020891564624	0.135630500073	-0.017749870144	0.000024317920	0.992723203529	N\A	0.059261684814	0.009049138832	0.023109904473	0.004703286467	48	5	
1200000	726.222178	1	-1.000974548353	0.931712450213	-0.001388952304	0.097022999511	-0.011900728106	0.000021251976	0.992586400892	N\A	0.052032158566	0.007422009392	0.022156066617	0.004107386082	39	4	
1250000	723.633141	1	-0.697726770598	0.719326258759	0.033841232910	0.120094292724	-0.020111367998	0.000025043165	0.992843390534	N\A	0.057909846934	0.008862265267	0.022969737569	0.004646811737	40	4	
1300000	723.899541	1	-0.886571172436	0.831027711583	0.020305106227	0.099097177633	-0.018868022294	0.000024650765	0.992758758304	N\A	0.049942632975	0.007998218186	0.021149515298	0.004405204798	31	4	
1350000	737.792677	1	-0.930272188787	0.861371503962	0.010975915209	0.128145713702	-0.020305865914	0.000027901252	0.993038114776	N\A	0.046588209288	0.006559801919	0.020211483518	0.003576551685	38	5	
1400000	724.936449	1	-0.876858523974	0.841329015123	0.017568136870	0.090120995080	-0.016906632394	0.000022602695	0.992201763325	N\A	0.045967517549	0.006704212590	0.020436603301	0.003944837055	37	4	
1450000	728.566436	1	-0.936045624082	0.875089275273	0.012035778992	0.087723611767	-0.013603986630	0.000024565473	0.992143726651	N\A	0.061713535413	0.009467164103	0.023987828403	0.004929833696	32	3	
1500000	730.227099	1	-0.950966272285	0.879134793173	0.010600523304	0.096512188613	-0.015027657871	0.000026617494	0.992131906964	N\A	0.047770725918	0.006956194037	0.021041003950	0.003954105255	29	5	
1550000	726.733007	1	-1.112252112651	1.009370673212	-0.008060680027	0.048007223405	-0.006017328242	0.000029376038	0.992063238336	N\A	0.048907525975	0.007271791937	0.020062394205	0.004130735610	42	3	
1600000	730.203922	1	-1.014103682852	0.930772894424	0.001644440981	0.082737041760	-0.010271496407	0.000025329959	0.993412391109	N\A	0.054156070307	0.008619003785	0.020808342560	0.004548055963	39	3	
1650000	714.779062	1	-0.697164353218	0.672378538339	0.047630393902	0.138905903993	-0.028918874833	0.000026878920	0.992789018190	N\A	0.056166720820	0.009106481359	0.020888860430	0.004615485350	35	3	
1700000	735.437654	1	-0.835369159695	0.807727258608	0.022434851903	0.092634725180	-0.015129545713	0.000030630789	0.992254515368	N\A	0.051432368531	0.007852507128	0.021547184290	0.004279544173	34	4	
1750000	726.586011	1	-1.006586037634	0.962434092930	-0.003897352826	0.042883079330	-0.003237753467	0.000025550480	0.991654120308	N\A	0.057759744672	0.008756079396	0.024067669390	0.004921485603	30	4	
1800000	724.284793	1	-0.850438349593	0.808878218544	0.024682310845	0.091621004016	-0.017299415493	0.000020287051	0.991915778901	N\A	0.057522246558	0.008977066723	0.023266346202	0.004924178140	34	3	
1850000	728.303662	1	-0.905071556768	0.866875979635	0.013448916505	0.075230582762	-0.012659775891	0.000023926821	0.991748658473	N\A	0.054929275197	0.008796015221	0.021770017236	0.004597010797	35	4	
1900000	732.169301	1	-0.881383916002	0.833767070210	0.018653259537	0.092315551132	-0.014552208887	0.000022286262	0.992754366977	N\A	0.056674622242	0.008877528890	0.022348632355	0.004740417554	28	3	
1950000	727.537917	1	-0.824206348379	0.815648948987	0.014337609889	0.109543937001	-0.012483846549	0.000026054010	0.992308743428	N\A	0.053103041990	0.007979141682	0.022163004594	0.004420126316	33	3	
2000000	732.179348	1	-0.962969821008	0.910285358391	0.006851931196	0.062737574912	-0.008895267078	0.000020522603	0.992652464242	N\A	0.057076954128	0.008436408424	0.023132919546	0.004589356561	40	3	
