Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  DIE_d1_m9-glob-001.txt
Log File Name:                   DIE_d1_m9-glob-001.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            923623443
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   DIE_d1_m9-glob-001.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.175894
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.74 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      5
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	No RJ Local Node	No RJ LS Betas	Global Trend	
1000000	733.962847	1	-0.972921941827	0.932603381722	0.000216298348	0.074281336625	-0.007451984603	0.000028550846	0.999973032599	N\A	0.015951614940	0.002190315141	0.017447890904	0.003089846772	41	0	-0.334234046467	Global Trend	
1050000	726.832051	1	-0.855261778838	0.823715799158	0.022700273862	0.096878535537	-0.018510863525	0.000025890881	0.992705125812	N\A	0.040685852155	0.006388593779	0.018936293530	0.003958803027	35	0	-0.002076032144	Global Trend	
1100000	744.102130	1	-0.924358504096	0.916466620058	0.002267644475	0.081372659402	-0.009424434778	0.000026463302	0.997738199684	N\A	0.015458236706	0.002163281070	0.016013069790	0.002829726032	42	0	-0.027447590929	Global Trend	
1150000	723.432313	1	-0.998445600785	0.929761151545	-0.000674218419	0.073234182539	-0.007139750909	0.000035829109	0.995403615862	N\A	0.018164230895	0.002546208174	0.017598461339	0.003113001945	29	0	0.024347303676	Global Trend	
1200000	731.827563	1	-0.961548511605	0.908664318716	0.001440305433	0.104908120306	-0.014917480396	0.000024209147	0.999797585086	N\A	0.013917278977	0.001871829025	0.014903121005	0.002406468817	38	0	0.130926299406	Global Trend	
1250000	716.429323	1	-0.946354234197	0.881632470825	0.017446571108	0.064702675581	-0.013276849845	0.000023059844	0.992003454040	N\A	0.039166971740	0.005525097153	0.020289426686	0.003589988770	31	1	-0.002648286096	Global Trend	
1300000	731.645100	1	-0.976137909607	0.948527204738	-0.003185877145	0.060263233585	-0.006136205579	0.000026441183	0.999835983011	N\A	0.013159216009	0.002143761044	0.014478523678	0.002797892716	43	1	-0.109523630300	Global Trend	
1350000	734.664813	1	-0.963546384610	0.941443499400	0.000035436604	0.059574085307	-0.005401435444	0.000026850641	0.999114385525	N\A	0.014833481504	0.002253583446	0.016016626788	0.002868918169	37	0	-0.057031907315	Global Trend	
1400000	737.464723	1	-0.991363542471	0.942254303778	0.000757165743	0.063945585909	-0.006653982871	0.000025125176	0.999991757009	N\A	0.013955833997	0.001990970962	0.015200679797	0.002564845944	32	0	0.539150507188	Global Trend	
1450000	731.848660	1	-0.958035699841	0.931404710579	0.001775765285	0.081288377789	-0.011557771408	0.000025158188	0.999580886657	N\A	0.015370333933	0.002184690390	0.016530240944	0.002868762399	37	0	0.090771033251	Global Trend	
