Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  HIP_d1_m1-bm-001.txt
Log File Name:                   HIP_d1_m1-bm-001.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1787879782
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   HIP_d1_m1-bm-001.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     1
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Restrictions:
    Beta-1                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      2
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Var	R^2	s.e. Alpha	s.e. Beta-1	
1000000	246.849626	1	0.815476596077	0.598768035172	0.000597092104	0.830807272582	N\A	0.014149162805	
1050000	247.702376	1	0.874523491734	0.572461306557	0.000594139140	0.831644027938	N\A	0.014114131565	
1100000	247.807908	1	0.854815343245	0.581241732827	0.000593774711	0.831747292799	N\A	0.014109802294	
1150000	244.770255	1	0.937438566604	0.544431216542	0.000604354381	0.828749425199	N\A	0.014234949049	
1200000	247.539137	1	0.882895111201	0.568731560583	0.000594703281	0.831484172094	N\A	0.014120830737	
1250000	245.134439	1	0.932586925955	0.546592732275	0.000603076104	0.829111639298	N\A	0.014219886826	
1300000	247.475138	1	0.833263776135	0.590843443821	0.000594924607	0.831421457136	N\A	0.014123458101	
1350000	247.724083	1	0.873030148168	0.573126624920	0.000594064160	0.831665274259	N\A	0.014113240944	
1400000	247.800938	1	0.865231130066	0.576601264025	0.000593798774	0.831740474445	N\A	0.014110088187	
1450000	247.092587	1	0.821389809670	0.596133564663	0.000596249271	0.831046098616	N\A	0.014139173068	
1500000	247.598446	1	0.880244420435	0.569912503321	0.000594498252	0.831542269467	N\A	0.014118396384	
1550000	247.801342	1	0.865162566589	0.576631810605	0.000593797380	0.831740869385	N\A	0.014110071627	
1600000	246.815152	1	0.814700328522	0.599113879939	0.000597211791	0.830773358001	N\A	0.014150580830	
1650000	247.788256	1	0.867081043574	0.575777085682	0.000593842559	0.831728067400	N\A	0.014110608399	
1700000	247.735444	1	0.846540263925	0.584928467981	0.000594024923	0.831676392502	N\A	0.014112774857	
1750000	247.809818	1	0.863466811996	0.577387307662	0.000593768118	0.831749161014	N\A	0.014109723958	
1800000	247.149238	1	0.895814880310	0.562975510990	0.000596052916	0.831101738105	N\A	0.014136844738	
1850000	246.922138	1	0.901564356569	0.560413989170	0.000596840433	0.830878586204	N\A	0.014146180602	
1900000	247.523829	1	0.835187542343	0.589986362429	0.000594756212	0.831469173731	N\A	0.014121459119	
1950000	247.806242	1	0.854465357480	0.581397659408	0.000593780464	0.831745662744	N\A	0.014109870642	
2000000	247.818324	1	0.859290230824	0.579248069116	0.000593738756	0.831757481102	N\A	0.014109375088	
2050000	247.791659	1	0.866630975655	0.575977601127	0.000593830809	0.831731396797	N\A	0.014110468803	
2100000	242.353914	1	0.754448380010	0.625957486879	0.000612904568	0.826326633938	N\A	0.014335290853	
2150000	246.202851	1	0.916083466383	0.553945397090	0.000599341587	0.830169856255	N\A	0.014175790513	
2200000	247.210838	1	0.894093142066	0.563742584351	0.000595839485	0.831162216011	N\A	0.014134313500	
2250000	247.643142	1	0.878000086563	0.570912404864	0.000594343785	0.831586039576	N\A	0.014116562084	
2300000	247.817907	1	0.858448976085	0.579622867146	0.000593740193	0.831757074063	N\A	0.014109392156	
2350000	247.643176	1	0.840721524578	0.587520848075	0.000594343667	0.831586073002	N\A	0.014116560684	
2400000	247.598548	1	0.880239570195	0.569914664213	0.000594497899	0.831542369418	N\A	0.014118392196	
