Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  HIP_d1_m2-VR-004.txt
Log File Name:                   HIP_d1_m2-VR-004.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            3259786878
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   HIP_d1_m2-VR-004.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	No RJ Local Branch	No RJ Local Node	
1000000	278.748686	1	6.725226928074	-2.025276673502	-5.425689918546	-6.033294013027	-5.566404394571	-5.939422870665	-5.666435676125	2.512982125437	2.603851225717	2.592043617070	2.586653550622	2.542416267294	0.000538090284	0.916172778388	N\A	0.458155200382	1.458208534167	1.457038471479	1.432820060804	1.426686660534	1.458918368945	0.458341665976	0.458438631238	0.459539433404	0.459540437182	0.459251205091	49	28	
1050000	292.906803	1	5.890703813610	-2.208844407259	-4.691716823551	-5.164366342090	-4.663602631518	-5.036756385629	-4.880717063065	2.748532795227	2.764959971610	2.749477945138	2.814114641866	2.691392368327	0.000346033815	0.890376820973	N\A	0.691315010610	1.450241842468	1.449354941255	1.454161961887	1.452767110856	1.468057947618	0.691606816133	0.691579414245	0.691997473060	0.692323450228	0.691818992219	49	29	
1100000	303.403795	1	5.807756019117	-2.610009326135	-4.884379437185	-5.429419836535	-4.525173968622	-4.986208920617	-4.435017720777	3.089733094370	3.189881233017	3.105515860592	3.134738125463	3.095772624624	0.000410849877	0.907534205448	N\A	0.716736329455	1.287903524875	1.287244416580	1.293226400764	1.297649925535	1.311676091493	0.716918663216	0.716910539368	0.717337454001	0.717794762909	0.717214639877	47	28	
1150000	295.140758	1	4.927664298855	-2.126145117381	-3.837752046555	-4.375223033142	-4.014454894218	-4.177227465881	-3.968571707604	2.654698442033	2.750506397670	2.718776782811	2.731403148933	2.681149097774	0.000299992765	0.912999688422	N\A	0.789538576603	1.534095862583	1.532912565816	1.536331672262	1.535547449609	1.547111085896	0.789830909828	0.789746974200	0.790088317500	0.790247942878	0.789781246737	56	26	
1200000	288.242238	1	5.009834047054	-1.933130475667	-4.011229560230	-4.553597572802	-3.868935766778	-4.045588618344	-3.901265007032	2.407422045120	2.571592398335	2.455923262508	2.447988796970	2.469810745986	0.000369600781	0.911481464978	N\A	0.728311148487	1.613289304530	1.612163217368	1.617885658987	1.615621139664	1.629513173417	0.728579233432	0.728481395156	0.729048046028	0.729239057910	0.728712006081	63	28	
1250000	302.379211	1	4.316635589070	-1.389187247068	-3.039197787580	-3.653064066444	-3.053971962514	-3.185890911892	-3.691186119346	1.857513531894	1.989065703008	1.957102867293	1.938618918408	1.994487943283	0.000428623150	0.909696398116	N\A	0.460757320731	1.401610490466	1.400303456958	1.406848274773	1.403171004481	1.424053639974	0.461036517314	0.461059291219	0.462095260941	0.462075518229	0.461705194785	45	26	
1300000	303.089407	1	3.614371027553	-1.007730777255	-2.474754257088	-3.051408786433	-2.431941272395	-2.839858275004	-2.563832809972	1.540162960782	1.635414294368	1.557777040360	1.641580088229	1.494310295823	0.000400185037	0.913359594151	N\A	0.374568672568	0.667788401970	0.665260042304	0.680494994580	0.674585597386	0.711359303398	0.375057070383	0.374866703732	0.376462616041	0.376480774937	0.375765479132	45	24	
1350000	282.148401	1	2.938671909493	-0.710424970439	-1.634184635303	-2.109971411122	-1.885693183524	-1.986203296858	-2.167518114420	1.206085416678	1.328134236295	1.351695930589	1.306648702054	1.213108749289	0.000365453985	0.885835503919	N\A	0.237227331296	0.460122067755	0.455371560947	0.475446089450	0.466539702693	0.516329906775	0.237994342420	0.238464423974	0.240020267406	0.240023297568	0.238329631224	45	31	
1400000	297.883477	1	3.228274312474	-0.743793137852	-1.825466530858	-2.477316707200	-2.207000189289	-2.324172017916	-2.411669987893	1.211875557019	1.345145552501	1.352913043610	1.311740353532	1.270735334647	0.000498145385	0.903327851739	N\A	0.412717604320	0.734213319491	0.732739107433	0.748150918760	0.744415026264	0.784243479154	0.413041276892	0.413087931724	0.414408342795	0.414910391332	0.413681309781	37	22	
1450000	299.298557	1	2.566685812655	-0.537477565343	-1.570808246844	-2.096441827718	-1.461336713767	-1.941873877512	-1.430001879534	1.064676694272	1.118481472161	1.101177059989	1.192706447184	1.054551294673	0.000411406117	0.897626883729	N\A	0.316913731299	0.574946374548	0.571629826636	0.584408732529	0.582106252371	0.624298162242	0.317614393850	0.317414575370	0.318204635923	0.319162332433	0.318011234292	49	28	
