Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  HIP_d1_m2-bm-004.txt
Log File Name:                   HIP_d1_m2-bm-004.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            3662079108
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   HIP_d1_m2-bm-004.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	
1000000	248.197472	1	0.848295635977	0.578084970951	0.481412923314	-0.346746858756	0.278996689840	0.245365952191	-0.151289088540	0.002494168974	0.059691410440	-0.024317998624	0.067187860073	0.006073976805	0.000592431389	0.832127938376	N\A	0.074521098619	0.318032104591	0.287667913183	0.301532979653	0.292241544307	0.396247750872	0.082918835254	0.080022137107	0.083186663441	0.086448168456	0.079013690635	
1050000	251.792898	1	0.683069391038	0.509025257517	0.015805462475	-0.553564311293	0.491494578597	-0.138067241924	0.719142539347	0.031991201076	0.132415709123	0.005265551896	0.077904939548	-0.021058242123	0.000580175954	0.835600652806	N\A	0.073746273745	0.314725400986	0.284676917898	0.298397823874	0.289202995198	0.392127808742	0.082056695843	0.079190115794	0.082321739316	0.085549333194	0.078192154532	
1100000	251.387732	1	0.394037346920	0.573959334524	0.810308072319	0.195660881196	0.891208003748	0.683665371235	0.535362340123	-0.050674787483	0.051896797043	-0.044372443420	-0.003653101836	-0.014118997144	0.000581544236	0.835212934908	N\A	0.073833183798	0.315096305167	0.285012409913	0.298749485990	0.289543821200	0.392589931734	0.082153399736	0.079283441420	0.082418755563	0.085650153163	0.078284304060	
1150000	254.380125	1	0.906786533344	0.526274171091	0.263237168873	-0.185854981048	0.142104017800	0.036079864019	0.004092690082	0.068710650685	0.087692577876	0.060949991225	0.119221902064	-0.023367977124	0.000571514247	0.838055044356	N\A	0.073193708024	0.312367228036	0.282543892075	0.296161990114	0.287036056405	0.389189675408	0.081441861832	0.078596760480	0.081704919389	0.084908329567	0.077606276738	
1200000	253.559138	1	0.740756146212	0.508433878320	0.130193843393	-0.416660816944	0.657441944637	-0.031986006118	0.286094434346	0.052406320060	0.136285362220	0.027490696895	0.145201274748	0.015495563544	0.000574248707	0.837280204671	N\A	0.073368599899	0.313113610365	0.283219013372	0.296869651021	0.287721911453	0.390119620263	0.081636462165	0.078784562618	0.081900148281	0.085111212811	0.077791712176	
1250000	254.033934	1	0.698093052978	0.642559938657	0.391727585723	-0.280367214565	0.347636870833	-0.135550789506	0.355766199578	-0.090768851521	0.021218239622	-0.109778040763	0.041941149136	-0.104738989731	0.000572665714	0.837728763450	N\A	0.073267404955	0.312681742859	0.282828378519	0.296460188284	0.287325065899	0.389581540850	0.081523863625	0.078675897611	0.081787186048	0.084993821660	0.077684416575	
1300000	251.887577	1	0.798586830237	0.525550231548	0.110826529242	-0.396521774094	0.588975796169	0.017614273360	0.123427152066	0.021894631257	0.071415531624	0.004589178535	0.150949436294	0.009038468566	0.000579856679	0.835691122957	N\A	0.073725979398	0.314638791237	0.284598577235	0.298315707334	0.289123408997	0.392019898509	0.082034114539	0.079168323348	0.082299085074	0.085525790746	0.078170636718	
1350000	255.223693	1	0.797855392504	0.539916182229	0.420381193520	-0.173248349072	0.404990342769	-0.084791126155	0.227834426437	-0.004440537545	0.071464697662	0.012497678297	0.050217493635	-0.021027299158	0.000568718136	0.838847353713	N\A	0.073014439814	0.311602168915	0.281851877157	0.295436621344	0.286333039145	0.388236460461	0.081242391998	0.078404258953	0.081504805266	0.084700369556	0.077416201133	
1400000	253.386685	1	0.645828203659	0.532232578503	0.426714540920	0.007898391609	0.238048585480	0.290288390185	0.492593889820	0.037426686525	0.089870824870	0.006170550159	0.001112590943	0.002970760141	0.000574824757	0.837116974501	N\A	0.073405390037	0.313270618850	0.283361031434	0.297018514093	0.287866187460	0.390315242837	0.081677398160	0.078824068549	0.081941216500	0.085153891194	0.077830720249	
1450000	250.883188	1	0.913406094401	0.505161642677	0.310634227110	-0.110658991657	0.187682079557	0.254341223051	-0.111836492918	0.150343651825	0.158270457548	0.058394760752	0.073070935870	0.022408979748	0.000583252640	0.834728839579	N\A	0.073941554220	0.315558795311	0.285430743699	0.299187982698	0.289968806073	0.393166165003	0.082273982355	0.079399811589	0.082539727664	0.085775868225	0.078399207721	
1500000	254.630119	1	0.854268520177	0.620437605642	-0.030394355532	-0.387183551059	0.224154163628	-0.075427806386	0.210111392243	-0.007711685658	0.004618780488	-0.107048319875	-0.013199461611	-0.104471438570	0.000570684181	0.838290252912	N\A	0.073140535507	0.312140304817	0.282338634405	0.295946839400	0.286827535344	0.388906943527	0.081382697337	0.078539662845	0.081645563792	0.084846646811	0.077549898653	
1550000	250.046272	1	0.910608620970	0.511430780413	-0.450027390542	-0.671591031434	0.279090429928	-0.162776136681	0.195673935461	0.114581193512	0.130873743100	0.078305555722	0.064482790723	-0.006139800396	0.000586097544	0.833922704141	N\A	0.074121665494	0.316327452356	0.286126013029	0.299916762736	0.290675129488	0.394123862735	0.082474390257	0.079593218413	0.082740782885	0.085984806231	0.078590177215	
1600000	254.449284	1	0.854435375428	0.565779945054	0.274209211748	-0.255731124975	0.138314142905	-0.051245696266	0.093179810341	-0.000880210421	0.034149061786	0.031152720417	0.092994716961	-0.045931898124	0.000571284492	0.838120148063	N\A	0.073178994195	0.312304434142	0.282487093443	0.296102453892	0.286978354732	0.389111438215	0.081425489911	0.078580960498	0.081688494586	0.084891260796	0.077590675869	
1650000	251.451713	1	0.633162062646	0.629231223924	0.546351812201	0.169172444833	0.675440542603	0.476821466797	0.025265242069	-0.030277366355	-0.016036523435	-0.027702491007	-0.037135338833	-0.074942076608	0.000581327954	0.835274220887	N\A	0.073819452866	0.315037705964	0.284959405483	0.298693926843	0.289489974052	0.392516920858	0.082138121475	0.079268696891	0.082403427953	0.085634224602	0.078269745343	
1700000	248.372830	1	0.967151601133	0.467077260854	-0.078167940761	-0.250789043020	-0.083070525401	-0.336334362906	0.186792193803	0.139535797952	0.221252011535	0.124418693414	0.122502357668	0.024767162271	0.000591827699	0.832299000497	N\A	0.074483120333	0.317870025469	0.287521308604	0.301379309002	0.292092608862	0.396045810606	0.082876577219	0.079981355319	0.083144268912	0.086404111762	0.078973422783	
1750000	248.011386	1	0.572381722285	0.597595229858	0.378495892301	0.014127349524	0.793246532659	-0.224100162531	0.561531790403	-0.068891559216	0.072532689690	-0.103634765584	0.142441186438	-0.095429981316	0.000593072685	0.831946219814	N\A	0.074561421601	0.318204190121	0.287823568806	0.301696137592	0.292399674698	0.396462158484	0.082963702208	0.080065436672	0.083231675315	0.086494945114	0.079056444535	
1800000	250.961295	1	1.253843364011	0.465738633137	0.052756124277	-0.774848927818	-0.278290394941	-0.479770837967	-0.399123922097	0.083132709342	0.185280498121	0.145798474631	0.133772864569	0.084319870027	0.000582987839	0.834803873919	N\A	0.073924767306	0.315487154155	0.285365942500	0.299120058200	0.289902974600	0.393076904684	0.082255303734	0.079381785489	0.082520988711	0.085756394573	0.078381408788	
1850000	254.218190	1	0.703582544757	0.621846305684	0.512387520593	0.034295165275	0.547791514877	0.117194165728	0.195703411752	-0.052745060931	0.055816235689	-0.055340769620	0.009918189117	-0.120473752259	0.000572052571	0.837902504221	N\A	0.073228171432	0.312514306789	0.282676928448	0.296301438597	0.287171207924	0.389372926169	0.081480208901	0.078633767927	0.081743390318	0.084948308829	0.077642817813	
1900000	252.740764	1	1.293268624983	0.479251426813	0.082927692487	-0.542724784878	-0.063753458333	-0.673542650988	-0.459585891121	0.106371566685	0.157668044029	0.066026824744	0.160058646614	0.045110734995	0.000576987487	0.836504140610	N\A	0.073543351241	0.313859392943	0.283893592179	0.297576743291	0.288407215387	0.391048817865	0.081830906128	0.078972213848	0.082095220299	0.085313933031	0.077976998607	
1950000	243.413075	1	0.512532091800	0.606920740583	-0.143547614090	-0.186314765157	0.768340890010	0.534277800447	0.524217502054	0.028228085141	0.033667449971	0.000993872510	-0.034681842886	-0.114465336876	0.000609141952	0.827392813251	N\A	0.075564788986	0.322486239733	0.291696788705	0.305756039595	0.296334474906	0.401797319630	0.084080138446	0.081142871171	0.084351717647	0.087658901019	0.080120301103	
2000000	253.571753	1	0.674340546149	0.629610666331	0.527683142192	-0.000526882428	0.377000107627	0.088328904048	0.186241294735	-0.100552915375	0.014381523140	-0.092493847697	0.027889136173	-0.052206226096	0.000574206591	0.837292138711	N\A	0.073365909385	0.313102128115	0.283208627393	0.296858764456	0.287711360347	0.390105314110	0.081633468459	0.078781673494	0.081897144905	0.085108091682	0.077788859461	
2050000	250.263717	1	0.852611965580	0.518826571990	0.321102998069	-0.054274109642	0.179120419805	0.154379995041	0.107802313677	0.043396157610	0.178447492661	0.009886479068	0.128225048473	-0.021554914855	0.000585357055	0.834132529830	N\A	0.074074827229	0.316127561688	0.285945206971	0.299727242157	0.290491448794	0.393874811691	0.082422273816	0.079542922615	0.082688498108	0.085930471521	0.078540515249	
2100000	248.873793	1	0.774364834854	0.540658859418	0.445224967104	-0.300540975993	0.851708475230	0.169540704225	0.180628809936	0.045078705513	0.103240672467	-0.085606461032	-0.002756673255	-0.018405141389	0.000590106465	0.832786731580	N\A	0.074374730446	0.317407452258	0.287102899682	0.300940733536	0.291667547658	0.395469473841	0.082755972942	0.079864964249	0.083023275083	0.086278374120	0.078858498485	
2150000	248.717816	1	0.930630000029	0.428842488749	-0.093239318128	-0.357801745161	-0.120470587649	-0.334241869693	0.486485461424	0.174234357224	0.190705419299	0.119716975507	0.164178433649	0.027478598855	0.000590641842	0.832635026356	N\A	0.074408461253	0.317551404507	0.287233108055	0.301077217714	0.291799826213	0.395648829177	0.082793504854	0.079901185016	0.083060928223	0.086317503529	0.078894262793	
2200000	251.915456	1	0.801229957350	0.712251821836	0.536814444572	0.057408700640	0.428600901606	0.091968309203	-0.045495788462	-0.162385410195	-0.067812968433	-0.148769550030	-0.051040661338	-0.212630363877	0.000579762700	0.835717753070	N\A	0.073720004643	0.314613292900	0.284575513357	0.298291531821	0.289099978427	0.391988129205	0.082027466492	0.079161907545	0.082292415554	0.085518859733	0.078164301767	
2250000	242.167211	1	1.127208138623	0.501683650866	-0.852930804875	-1.044070377995	0.016446618558	-0.543651688107	-0.037206490596	0.177476648792	0.195127142115	-0.008744528762	0.068163365524	0.072550545454	0.000613570226	0.826138012345	N\A	0.075838957940	0.323656304732	0.292755141468	0.306865403023	0.297409654416	0.403255146113	0.084385203329	0.081437278875	0.084657767891	0.087976950596	0.080410998654	
2300000	254.483120	1	0.445612962402	0.649850700036	0.339329148948	0.061572125652	0.719623576324	0.210144158056	0.661816647667	-0.030515098875	-0.025088843987	-0.118909424551	-0.028507118178	-0.114714353577	0.000571172120	0.838151989901	N\A	0.073171796671	0.312273717422	0.282459309409	0.296073330718	0.286950128960	0.389073167138	0.081417481303	0.078573231663	0.081680460110	0.084882911311	0.077583044433	
2350000	253.167214	1	0.785887141786	0.587068713786	0.296826519118	-0.289256942679	0.225493549773	-0.317533020822	0.440454186902	-0.011806747672	0.010219555246	-0.042756650027	0.050265446944	-0.091830205392	0.000575558697	0.836909004185	N\A	0.073452237374	0.313470548235	0.283541872513	0.297208071381	0.288049903731	0.390564342120	0.081729524696	0.078874374089	0.081993511404	0.085208236429	0.077880391834	
2400000	251.988556	1	0.861113395029	0.603137264022	0.032343136598	-0.240733989741	0.369149665842	0.292201850148	-0.082673213569	-0.038999171247	-0.000739256607	-0.009987921574	-0.023099335797	-0.084770385533	0.000579516353	0.835787558279	N\A	0.073704340786	0.314546444593	0.284515047409	0.298228151524	0.289038551131	0.391904840471	0.082010037485	0.079145087406	0.082274930251	0.085500688883	0.078147693596	
2450000	253.938477	1	0.959815111084	0.536805951792	-0.138388478584	-0.449925128392	0.054401547727	-0.012724358607	0.068644883108	0.025135190195	0.111352415978	-0.002710351611	-0.007176493805	-0.004261930166	0.000572983622	0.837638680709	N\A	0.073287738851	0.312768521393	0.282906871853	0.296542464852	0.287404807197	0.389689661378	0.081546488935	0.078697732525	0.081809884438	0.085017409987	0.077705976324	
2500000	248.665562	1	0.767672770365	0.456498270186	0.009906952766	-0.313131114263	0.359479600289	-0.538919038044	0.615818928574	0.077354638452	0.148582791642	0.077829746960	0.165010853643	0.046002701877	0.000590821306	0.832584173190	N\A	0.074419764749	0.317599644194	0.287276742046	0.301122954784	0.291844153941	0.395708932755	0.082806082133	0.079913322919	0.083073546127	0.086330616144	0.078906247733	
2550000	255.011873	1	0.739776618376	0.597106596206	0.071933942232	-0.360764425180	0.497249170520	0.082263240031	0.280808972349	-0.000531304889	0.039868353862	-0.068238378720	0.049896084075	-0.083634878061	0.000569418952	0.838648769673	N\A	0.073059412821	0.311794099261	0.282025482907	0.295618594573	0.286509405052	0.388475593450	0.081292432986	0.078452551802	0.081555007887	0.084752540474	0.077463885391	
2600000	252.726987	1	0.674475093294	0.529912503451	0.174598375965	-0.347666540804	0.352999045710	0.016341260121	0.598611494576	-0.011051039141	0.116370869760	0.053082672937	0.072365271810	-0.049107244507	0.000577033703	0.836491044891	N\A	0.073546296526	0.313871962472	0.283904961630	0.297588660728	0.288418765601	0.391064478699	0.081834183315	0.078975376550	0.082098508072	0.085317349707	0.077980121452	
2650000	249.158316	1	0.847446865568	0.674440419932	0.136343347755	-0.313675543711	0.516252432378	0.335107887804	-0.130124651448	-0.099554386644	-0.040003885210	-0.096057216153	-0.041813219729	-0.178828232194	0.000589131115	0.833063107813	N\A	0.074313240384	0.317145032430	0.286865534449	0.300691927734	0.291426408556	0.395142515445	0.082687553603	0.079798935081	0.082954634749	0.086207042600	0.078793301422	
2700000	254.249102	1	1.070251890044	0.520740051623	-0.082227377524	-0.578269956965	-0.090384155744	-0.327208967390	-0.040569033021	0.094268276123	0.117351574538	0.056672311857	0.053382893954	-0.000844507198	0.000571949769	0.837931634440	N\A	0.073221591292	0.312486224864	0.282651527653	0.296274813529	0.287145403281	0.389337937879	0.081472887249	0.078626702050	0.081736045017	0.084940675540	0.077635840982	
2750000	254.423376	1	0.993917934693	0.522428109727	0.031142257135	-0.453399699885	-0.036279259405	0.007236186986	-0.064770997539	-0.008462484693	0.113895530118	0.041294285513	0.081668587636	0.011514256926	0.000571370550	0.838095762591	N\A	0.073184505805	0.312327955921	0.282508369475	0.296124755389	0.286999969032	0.389140744855	0.081431622621	0.078586878967	0.081694647105	0.084897654536	0.077596519752	
2800000	253.306453	1	0.735207854710	0.541554744520	0.051791310093	-0.160765586174	0.654535175354	0.019860745925	0.273182073622	0.036866329757	0.123925913154	-0.062094634244	0.093393125093	-0.016052831716	0.000575092957	0.837040976932	N\A	0.073422512694	0.313343692851	0.283427128678	0.297087797103	0.287933335584	0.390406288390	0.081696450360	0.078842455176	0.081960330238	0.085173754326	0.077848875167	
