Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  HIP_d1_m2-fab-003.txt
Log File Name:                   HIP_d1_m2-fab-003.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            1639277894
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   HIP_d1_m2-fab-003.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.233350
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.70 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	No RJ Local Node	No RJ LS Betas	
1000000	349.179292	1	1.007743395588	0.480175376992	-0.165806827077	-0.662468993889	0.018856914367	-0.422463679188	-0.670252403545	0.013124529372	0.134424927751	0.094716084731	0.158727240372	0.112198002226	0.000396693702	0.918455972981	N\A	0.060043120839	0.217228524940	0.209528602906	0.232795837092	0.253990477299	0.362524974532	0.062453688210	0.061821908937	0.065459894111	0.080973594426	0.066199350960	46	12	
1050000	355.265776	1	0.685891422779	0.693105526280	0.477099035275	-0.051736072590	0.257999509552	0.224409909263	0.269287090101	-0.182315129182	-0.074960200169	-0.124069041228	-0.133654907097	-0.168948349897	0.000120254416	0.918943972097	N\A	0.060536672847	0.152146455278	0.149905712871	0.197177394379	0.158402148965	0.210888250132	0.062913064289	0.062462184132	0.069237408276	0.066298943190	0.069098984615	48	10	
1100000	343.350535	1	0.821278758807	0.685714023038	0.546772883193	-0.078300478908	0.374574317201	0.242476615812	-0.093845788720	-0.208746614317	-0.125671999239	-0.077774744042	-0.213995141247	-0.138493204267	0.000428599208	0.921423079419	N\A	0.057883335823	0.236474662239	0.230469493436	0.243489679164	0.230222734491	0.329370304972	0.059665604658	0.060934019058	0.065391570415	0.062038232812	0.061583918742	31	10	
1150000	352.149120	1	0.897051736414	0.463002843823	0.351471295638	-0.288016779171	0.167924825892	-0.055788528440	0.102071404289	0.042827640057	0.155920915078	0.106872444474	0.121212377684	0.079805215444	0.000082084001	0.914989944004	N\A	0.070239532427	0.171456120983	0.162353698474	0.208301157901	0.176679926885	0.202969632968	0.073077908530	0.071926124399	0.076040609428	0.077141142354	0.075574294583	39	15	
1200000	357.424353	1	0.166871439491	0.524433797433	0.834871638483	0.350673091485	0.737785900487	0.541067833030	1.181636602103	0.016966178850	0.109683925373	0.010747852225	0.074164453782	0.034659603070	0.000100167251	0.919106755869	N\A	0.063289111827	0.176172060994	0.164668644563	0.228208476254	0.190110560372	0.281005884322	0.066846530010	0.064871928680	0.072254756971	0.073054044457	0.068927750023	30	14	
1250000	364.535340	1	0.055355389180	0.582550887582	1.065836623390	0.578665230878	0.741828550526	0.686047497621	0.967008112975	-0.048003380665	0.022553735040	-0.013554109350	0.051135057748	-0.017779551621	0.000013412000	0.932625702694	N\A	0.016624839665	0.122093169643	0.099244021128	0.191261593288	0.123486123503	0.160348313541	0.023651157281	0.022906853572	0.043544577399	0.044867556133	0.037911910845	42	15	
1300000	348.855454	1	-0.288043572349	0.628704201973	1.239460381758	0.725496676680	1.038335652604	0.876742247468	1.526578981039	-0.088585146546	0.000327689046	-0.047070594424	-0.056735439443	-0.092686078043	0.000156311477	0.916773023771	N\A	0.068695946782	0.201450010536	0.187139030784	0.201882741818	0.203267339824	0.241196368605	0.073168463238	0.070724659192	0.071315902935	0.078618588810	0.073268569770	37	11	
1350000	376.307820	1	0.492337867439	0.665317456875	1.524203764522	0.963417067283	1.382212871210	1.352203644369	0.845710239625	-0.138252957107	-0.072362481378	-0.077485961771	-0.131918871042	-0.170360986240	0.000119416761	0.927418366140	N\A	0.034273305696	0.146020470982	0.130636368938	0.174723558728	0.133371102532	0.185626613676	0.040944532572	0.037310311026	0.043924459285	0.041948137389	0.042575705133	43	17	
1400000	352.858492	1	-0.058027209469	0.530838718162	1.087457660780	0.629304611131	1.241210916606	1.052930182086	1.087623356884	-0.017662455261	0.074537924198	0.068688586857	-0.006039391447	-0.021822192928	0.000163516404	0.917737595734	N\A	0.055779345985	0.181377477091	0.165574983952	0.189305594171	0.169748608200	0.235242390400	0.060103309451	0.057634935825	0.064791741657	0.061271703340	0.063672597330	43	12	
1450000	361.209935	1	0.579342566739	0.508033827027	0.712440784779	0.130824971779	0.271031641844	0.453211330817	0.253792290633	0.030549532591	0.128790961906	0.137529914794	0.014114647950	0.017153409787	0.000210351206	0.912096264567	N\A	0.032905264797	0.151507881221	0.127893409889	0.145175708543	0.127885959307	0.222122540920	0.040112156301	0.037186917068	0.042585119576	0.044000117928	0.043481068458	36	12	
