Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  HIP_d1_m2-glob-005.txt
Log File Name:                   HIP_d1_m2-glob-005.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            2822071792
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   HIP_d1_m2-glob-005.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.233350
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.70 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	No RJ Local Node	No RJ LS Betas	Global Trend	
1000000	380.441502	1	0.940391018732	0.433113953930	0.158642616378	-0.328141370387	0.005869383333	-0.170916099066	0.209603045648	0.075593743686	0.194932167526	0.149089132006	0.185214657933	0.086970972706	0.000187277954	0.999973401801	N\A	0.054904223802	0.109000251267	0.092502186899	0.128444814448	0.114841314583	0.199947163313	0.058724871631	0.057088568100	0.060675935662	0.063093178663	0.058083794707	43	16	0.767793269295	Global Trend	
1050000	357.927613	1	0.862114251634	0.441666548727	0.021871177703	-0.494325911508	0.384320794131	0.058078629972	0.228246465709	0.083884267973	0.170296397532	0.043205481010	0.031694394728	0.033878510495	0.000203022034	0.998733703679	N\A	0.053830041842	0.101575158703	0.088174166371	0.133761786233	0.114143793048	0.175657073863	0.057413935120	0.056300245986	0.061181976519	0.062791492407	0.060744357734	38	19	-0.080527693464	Global Trend	
1100000	372.111547	1	0.910950611928	0.528666166936	0.135779368041	-0.343823200194	0.350013164322	0.159534968199	0.073963711340	-0.012188343943	0.083890284832	0.000806256874	-0.045469252457	0.050625935085	0.000111472544	0.978823057069	N\A	0.045826785321	0.083973121936	0.070914884691	0.111269188270	0.105869341859	0.137076516300	0.048598622180	0.047728281986	0.052633940021	0.057894484616	0.053112817693	43	11	-0.010401252923	Global Trend	
1150000	374.784297	1	0.870066921408	0.509284330006	0.234289265242	-0.230094750375	0.221242821858	0.013295812456	0.079703545275	0.001049060040	0.072846616283	0.054842437884	0.030714720596	0.015118461113	0.000171828712	0.994392054572	N\A	0.057478079587	0.101031770569	0.085045539565	0.112934263138	0.105582205525	0.163556659883	0.061103824820	0.059931178094	0.062011385035	0.063795191852	0.061469236094	42	10	-0.046350697332	Global Trend	
1200000	373.359813	1	0.937504855732	0.552068170130	0.290402001299	-0.332518364847	0.326183843436	0.067578378170	0.234580397877	-0.066020521579	0.126543013975	0.020461786725	0.020926341218	-0.047462674172	0.000702960285	0.927217408947	N\A	0.049499441658	0.105550122698	0.092860934385	0.122765952860	0.115487495624	0.241850435038	0.052068161402	0.052330277734	0.055079269122	0.059820577704	0.056329048090	44	16	0.018058453591	Global Trend	
1250000	372.824228	1	0.879381663308	0.583083280110	0.325314596680	-0.197033190254	-0.214942871798	0.125929945127	0.234094794958	-0.094268014107	0.006577195385	0.040275579939	-0.002555475575	-0.070799289203	0.000220332553	0.924407818848	N\A	0.067806518128	0.105951423453	0.095527023716	0.131619503874	0.124236522253	0.171793984945	0.069455613492	0.069570476284	0.072348073431	0.075702810285	0.070308025299	49	16	-0.001835629154	Global Trend	
1300000	348.250545	1	1.218972778926	0.637539144499	0.367654246177	-0.147269972719	0.264633604400	0.342172440042	-0.119322899853	-0.117774555936	0.010190557498	0.001256841766	-0.089998642471	-0.150870582113	0.000431679606	0.952032893647	N\A	0.060410463609	0.111111677681	0.098178389304	0.159422798235	0.135290771118	0.229823380184	0.063780139313	0.061978841183	0.067565340479	0.069956238463	0.064405099390	46	9	0.020287557016	Global Trend	
1350000	364.389765	1	0.866867911665	0.537421886652	0.280172611699	-0.327154071796	0.066897596215	-0.100983100635	0.534030284215	-0.070182489083	0.066495280651	0.054695345107	-0.015459216099	-0.023660363215	0.000450233096	0.999039980020	N\A	0.075840821970	0.113272388194	0.101570844147	0.147354813504	0.119156170529	0.221516271387	0.078093886977	0.077327677712	0.081408364796	0.080481678125	0.079978145168	47	12	0.255064548889	Global Trend	
1400000	362.198161	1	0.935974545853	0.512568181598	0.348693994268	-0.294509267244	0.048249351656	0.017762203092	0.028785109591	-0.013552271892	0.108826580586	0.116037950072	0.109853655768	0.020298332874	0.000057633531	0.997732585142	N\A	0.064390784151	0.102918575341	0.090609700244	0.137586388712	0.112393268860	0.152152337684	0.067207626782	0.066240300716	0.072052110119	0.070353649351	0.068488555918	43	10	0.021475064081	Global Trend	
1450000	370.845540	1	0.760188358719	0.614663460817	0.529562049725	-0.076910470663	0.004002528452	0.105141814495	0.107831190529	-0.124108315700	-0.028807116173	-0.038530737593	-0.039918534010	-0.053229314411	0.000087787016	0.999976848626	N\A	0.016324961472	0.087079029283	0.067674376454	0.117829395421	0.095870786205	0.127786093626	0.026869697840	0.023019250992	0.031799274473	0.034392703418	0.032164649803	45	10	0.314573350207	Global Trend	
1500000	363.158750	1	0.948870794511	0.561479611922	0.317594781511	-0.172214506264	0.229637245134	-0.083701363583	0.286792183177	-0.021978538937	0.055064887594	-0.075138393574	-0.036842769754	-0.047397239179	0.000288627989	0.980955079170	N\A	0.048613017099	0.099733817502	0.091998296542	0.131620214455	0.118105219905	0.199043915857	0.052354787206	0.050720120890	0.054549772055	0.056604270214	0.055593200941	36	12	0.037570593665	Global Trend	
