Species_TTOL	HIP	BOD	BOD2
Anourosorex_squamipes	1.531	1.307	1.708249
Atelerix_algirus	2.365	2.867	8.219689
Blarina_brevicauda	1.65	1.267	1.605289
Chrysochloris_asiatica	1.822	1.69	2.8561
Chrysochloris_stuhlmanni	1.769	1.626	2.643876
Crocidura_attenuata	1.286	0.968	0.937024
Crocidura_flavescens	1.583	1.467	2.152089
Crocidura_hildegardeae	1.25	0.996	0.992016
Crocidura_denti	1.35	1.079	1.164241
Crocidura_russula	1.253	1.049	1.100401
Crocidura_suaveolens	1.236	1.013	1.026169
Cryptotis_parvus	1.418	0.991226075692495	0.982529133132744
Desmana_moschata	2.427	2.646	7.001316
Echinops_telfairi	1.669	1.942	3.771364
Echinosorex_gymnura	2.785	2.921	8.532241
Erinaceus_europaeus	2.376	2.929	8.579041
Euroscaptor_micrura	1.829	1.617	2.614689
Galemys_pyrenaicus	2.036	1.778	3.161284
Geogale_aurita	1.037	1	1
Hemicentetes_semispinosus	1.8	2.062	4.251844
Hemiechinus_auritus	2.108	2.371	5.621641
Hylomys_suillus	2.104	1.756	3.083536
Limnogale_mergulus	1.893	1.964	3.857296
Microgale_dobsoni	1.824	1.504	2.262016
Microgale_talazaci	1.971	1.683	2.832489
Micropotamogale_lamottei	1.89	1.808	3.268864
Micropotamogale_ruwenzorii	1.99	1.986	3.944196
Myosorex_sclateri	1.529	1.23	1.5129
Neomys_anomalus	1.401	1.037	1.075369
Neomys_fodiens	1.537	1.182	1.397124
Oryzorictes_hova	1.808	1.645	2.706025
Parascalops_breweri	1.919	1.731	2.996361
Potamogale_velox	2.508	2.791	7.789681
Ruwenzorisorex_suncoides	1.597	1.262	1.592644
Scalopus_aquaticus	2.041	2.061	4.247721
Scutisorex_somereni	1.759	1.792	3.211264
Setifer_setosus	1.985	2.373	5.631129
Solenodon_paradoxus	2.477	2.826	7.986276
Sorex_alpinus	1.461	1.033	1.067089
Sorex_araneus	1.358	0.987	0.974169
Sorex_cinereus	1.29	0.633	0.400689
Sorex_fumeus	1.444	0.924	0.853776
Sorex_hoyi	1.068	0.42	0.1764
Sorex_minutus	1.093	0.633	0.400689
Suncus_etruscus	0.792	0.762	0.580644
Suncus_murinus	1.524	1.529	2.337841
Sylvisorex_granti	1.199	0.591	0.349281
Suncus_megalura	1.079	0.74	0.5476
Talpa_europaea	1.94	1.908	3.640464
Tenrec_ecaudatus	2.168	2.935	8.614225
Aepyprymnus_rufescens	2.990028	3.392697	11.510392933809
Antechinus_flavipes	1.564666	1.568202	2.459257512804
Antechinus_minimus	1.746634	1.724276	2.973127724176
Bettongia_gaimardi	3.053463	3.176091	10.087554040281
Bettongia_penicillata	2.955255	3.079181	9.481355630761
Burramys_parvus	1.996074	1.770852	3.135916805904
Cercartetus_nanus	1.645422	1.278754	1.635211792516
Dactylopsila_trivirgata	2.579441	2.643453	6.987843763209
Dasycercus_cristicauda	2.106191	2	4
Dasyuroides_byrnei	2.017033	2.146128	4.605865392384
Dasyurus_geoffroii	2.472171	2.69897	7.2844390609
Dasyurus_hallucatus	2.241546	3.021189	9.127582973721
