Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  HIP_d1_m5-glob-004.txt
Log File Name:                   HIP_d1_m5-glob-004.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            2356507777
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   HIP_d1_m5-glob-004.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.233350
Restrictions:
    Beta-1                       None
    Beta-2                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.70 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      3
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	No RJ Local Node	No RJ LS Betas	Global Trend	
1000000	458.771356	1	-0.963888880882	1.023922057482	-0.024697392600	0.000103018196	0.999786394097	N\A	0.002029825121	0.001822825168	41	2	0.223384333850	Global Trend	
1050000	465.376109	1	-1.058821175362	1.148819100173	-0.043845509783	0.000082562314	0.958940382367	N\A	0.049786543406	0.008002596539	41	9	-0.000121790508	Global Trend	
1100000	471.186258	1	-0.957442435178	1.056447132533	-0.029005761149	0.000112517850	0.966174530267	N\A	0.022874687852	0.003873740374	37	8	0.008791512918	Global Trend	
1150000	461.483236	1	-0.941974833324	1.019123229620	-0.020869615277	0.000140344465	0.990859754906	N\A	0.008072033189	0.002184443646	41	7	-0.031611290490	Global Trend	
1200000	461.504500	1	-0.951924912582	1.022965560264	-0.022794478707	0.000117477520	0.991352305987	N\A	0.007377402200	0.002395221161	37	8	-0.035448869653	Global Trend	
1250000	483.054106	1	-0.927200155782	1.015988254060	-0.021629411593	0.000119570749	0.982036635963	N\A	0.012491886993	0.002714092564	38	12	-0.015591341906	Global Trend	
1300000	457.322495	1	-1.005763791128	1.084398369737	-0.031448254784	0.000126730409	0.966850858106	N\A	0.030747610642	0.005118628906	36	4	0.004735501196	Global Trend	
1350000	476.473588	1	-1.024037217336	1.089345060724	-0.032370842740	0.000056843901	0.964946404659	N\A	0.027594660906	0.004495801964	44	7	0.002888615347	Global Trend	
1400000	450.981355	1	-0.965504938146	1.059627363493	-0.026233051970	0.000099067142	0.975554990356	N\A	0.015403368601	0.002828619678	31	5	0.010158772491	Global Trend	
1450000	468.085731	1	-1.197075686366	1.195109570389	-0.048145082058	0.000103489926	0.969782828272	N\A	0.038698406302	0.006387150830	39	6	0.000517959777	Global Trend	
1500000	462.035754	1	-0.942577611329	1.019627134363	-0.018484454377	0.000082164619	0.999834388968	N\A	0.001855179468	0.001726772595	36	5	0.172403035183	Global Trend	
1550000	456.275426	1	-0.990862626378	1.021914743462	-0.022538336775	0.000161103146	0.999695335781	N\A	0.002109769063	0.001873127261	29	7	0.231980176625	Global Trend	
1600000	481.106112	1	-0.947645152341	1.022710812462	-0.021189808490	0.000071515414	0.999234509704	N\A	0.002524749081	0.001857027178	44	7	0.064903428576	Global Trend	
1650000	473.604005	1	-1.076714744824	1.035877242063	-0.020381388528	0.000125880453	0.981153156562	N\A	0.013131837217	0.002422725842	41	9	-0.021878816946	Global Trend	
1700000	469.045881	1	-0.936261331968	1.019132211431	-0.021259064236	0.000096145416	0.998085394798	N\A	0.003638569413	0.002067423150	37	5	-0.058904382450	Global Trend	
1750000	472.666808	1	-0.966815228996	1.023878915999	-0.023521514342	0.000089871849	0.999931001003	N\A	0.001797821071	0.001696632554	36	7	-0.316374740581	Global Trend	
1800000	481.714823	1	-0.916635560785	1.026526786245	-0.024422528856	0.000212293336	0.999468740659	N\A	0.002291334315	0.001831480312	43	9	0.166832390010	Global Trend	
1850000	458.186994	1	-0.994484559261	1.040664558512	-0.025535026466	0.000114676190	0.959085742970	N\A	0.038691062459	0.006267751064	36	7	-0.003436889029	Global Trend	
