Species_TTOL	HIP	rest_of_brain	BOD
Anourosorex_squamipes	1.531	2.5613393948666	1.86328760196422
Atelerix_algirus	2.365	3.45937494595256	1.86328760196422
Blarina_brevicauda	1.65	2.56526016953364	1.86328760196422
Chrysochloris_asiatica	1.822	2.8124927980164	1.86328760196422
Chrysochloris_stuhlmanni	1.769	2.83356529108882	1.86328760196422
Crocidura_attenuata	1.286	2.29369840905507	1.86328760196422
Crocidura_flavescens	1.583	2.58207746336137	1.86328760196422
Crocidura_hildegardeae	1.25	2.30064063157812	1.86328760196422
Crocidura_denti	1.35	2.36479451634544	1.86328760196422
Crocidura_russula	1.253	2.26471093422473	1.86328760196422
Crocidura_suaveolens	1.236	2.25063238800831	1.86328760196422
Cryptotis_parvus	1.418	2.36248471949945	1.86328760196422
Desmana_moschata	2.427	3.55635615102067	1.86328760196422
Echinops_telfairi	1.669	2.74834886210844	1.86328760196422
Echinosorex_gymnura	2.785	3.7443098228403	1.86328760196422
Erinaceus_europaeus	2.376	3.47896517613914	1.86328760196422
Euroscaptor_micrura	1.829	2.88161190363473	1.86328760196422
Galemys_pyrenaicus	2.036	3.0873915761491	1.86328760196422
Geogale_aurita	1.037	2.08153227068238	1.86328760196422
Hemicentetes_semispinosus	1.8	2.87971667978679	1.86328760196422
Hemiechinus_auritus	2.108	3.22302557506589	1.86328760196422
Hylomys_suillus	2.104	3.04265473490601	1.86328760196422
Limnogale_mergulus	1.893	3.01708868959485	1.86328760196422
Microgale_dobsoni	1.824	2.70344201843958	1.86328760196422
Microgale_talazaci	1.971	2.85130596152045	1.86328760196422
Micropotamogale_lamottei	1.89	2.86835860528116	1.86328760196422
Micropotamogale_ruwenzorii	1.99	3.0239960099372	1.86328760196422
Myosorex_sclateri	1.529	2.52863027572128	1.86328760196422
Neomys_anomalus	1.401	2.4253493121911	1.86328760196422
Neomys_fodiens	1.537	2.4844525337294	1.86328760196422
Oryzorictes_hova	1.808	2.72555444984195	1.86328760196422
Parascalops_breweri	1.919	2.9176407015745	1.86328760196422
Potamogale_velox	2.508	3.58573403914356	1.86328760196422
Ruwenzorisorex_suncoides	1.597	2.54319142403048	1.86328760196422
Scalopus_aquaticus	2.041	3.09133564705225	1.86328760196422
