Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  HIP_d1_m7-VR-003.txt
Log File Name:                   HIP_d1_m7-VR-003.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            3985275238
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   HIP_d1_m7-VR-003.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Branch	No RJ Local Node	
1000000	426.747418	1	-0.761085801781	0.845702770260	0.097613196924	-0.017809049242	0.000006434006	0.966362140334	N\A	0.033553985415	0.028929697575	0.003937610563	48	20	
1050000	446.953799	1	-0.894469189124	0.932847617711	0.060856666076	-0.019774895156	0.000007048996	0.957827237695	N\A	0.036974765800	0.032753845698	0.004309387376	41	31	
1100000	438.095080	1	-0.851796222013	0.940301207869	0.021412515137	-0.016208421888	0.000006564877	0.955109478729	N\A	0.037849883571	0.032428721539	0.004293220482	41	25	
1150000	426.121995	1	-0.882842957499	0.961337349240	-0.028671693487	-0.002371877609	0.000012653495	0.955431819922	N\A	0.036844354670	0.034633320321	0.004841922630	35	29	
1200000	437.902307	1	-0.761010657294	0.893296421007	0.042451406013	-0.014130933627	0.000007383264	0.959970602707	N\A	0.032443704069	0.030061704061	0.004369764946	47	43	
1250000	433.193667	1	-0.972373731634	1.002409464590	-0.026778556894	-0.008823046264	0.000006554707	0.960075164068	N\A	0.037351694505	0.032280089997	0.003955803052	44	27	
1300000	440.152302	1	-0.886835876594	0.949155309216	0.016962205958	-0.014705706241	0.000023136067	0.955900084298	N\A	0.038147193964	0.033673343723	0.004735688138	40	37	
1350000	440.881192	1	-0.686760629160	0.833747441781	0.101453388215	-0.013723334312	0.000006092148	0.953546467068	N\A	0.035233049094	0.032816629121	0.004535729505	40	24	
1400000	439.318796	1	-0.859997424486	0.914496935774	0.070780485886	-0.018466132801	0.000012921915	0.952199238002	N\A	0.038621788668	0.034851181354	0.004567521395	44	25	
1450000	442.937406	1	-0.777537277755	0.898704759897	0.037914118072	-0.012223599222	0.000012437815	0.956829916205	N\A	0.038181643699	0.034376915063	0.004452288002	37	27	
1500000	430.867119	1	-0.701353847327	0.831754369198	0.128021715857	-0.020669901725	0.000010844338	0.948747967007	N\A	0.040228347077	0.035157869393	0.004345886941	35	33	
1550000	426.404842	1	-0.731178145721	0.863871852809	0.064646068474	-0.013789187332	0.000025005544	0.948377937900	N\A	0.039329167326	0.034854443353	0.004761541912	45	27	
1600000	445.592608	1	-0.771337168127	0.850796880847	0.101013826183	-0.016592606380	0.000077955627	0.957848549871	N\A	0.034896192117	0.032071119470	0.004637525158	37	29	
