Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  HIP_d1_m7-fab-005.txt
Log File Name:                   HIP_d1_m7-fab-005.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            2351757517
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   HIP_d1_m7-fab-005.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.233350
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.70 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Node	No RJ LS Betas	
1000000	457.170737	1	-0.953917865347	0.929560049457	0.037198276238	-0.014640695396	0.000091361999	0.962677500526	N\A	0.036676678482	0.033113062666	0.004505759886	37	5	
1050000	458.243644	1	-0.872329949107	0.932431621752	0.016874460262	-0.013451563688	0.000137023174	0.971804754588	N\A	0.026712385583	0.022268929463	0.003826207852	45	7	
1100000	458.434723	1	-0.843923635372	0.897848840405	0.070145173841	-0.018181544980	0.000078717383	0.956076573291	N\A	0.038039712311	0.033896272962	0.004610870861	34	6	
1150000	460.982748	1	-0.599907119708	0.809201025082	0.080266738257	-0.008463775474	0.000022260729	0.964096002171	N\A	0.036421788419	0.031614423577	0.004146859788	44	7	
1200000	467.279508	1	-0.790748505267	0.855842015722	0.095610302714	-0.020539913666	0.000051986933	0.956718274728	N\A	0.034330162483	0.031660381518	0.004415473709	44	7	
1250000	473.704305	1	-0.791974834814	0.896405987160	0.042765386183	-0.012804093145	0.000009932226	0.960594881028	N\A	0.034918872608	0.032213404476	0.004418990330	46	7	
1300000	453.574196	1	-0.791258772902	0.874614436764	0.041390140570	-0.007670737410	0.000021917661	0.956147624593	N\A	0.036048960809	0.031292293443	0.004324149910	44	9	
1350000	472.660045	1	-0.711397110177	0.820245110325	0.127429794166	-0.019542463324	0.000052078785	0.960238863214	N\A	0.034758438277	0.032173196676	0.004501473913	43	6	
1400000	464.184859	1	-0.886714374090	0.910674324781	0.052598136345	-0.017514842449	0.000106649262	0.963159907612	N\A	0.036733923221	0.032626240024	0.004538095316	44	6	
1450000	469.133297	1	-0.896294533291	0.950673008395	0.011296090205	-0.016023892330	0.000078340033	0.966071218539	N\A	0.033084389993	0.030108821579	0.004408560800	43	8	
1500000	471.427126	1	-0.792825615383	0.946437940602	-0.054547138602	0.004866683232	0.000132822500	0.959479509794	N\A	0.034873966073	0.030596683365	0.004217395934	35	9	
1550000	466.932135	1	-0.898984686388	0.948180247345	0.034892540131	-0.018756035801	0.000012377644	0.961074446631	N\A	0.034734938815	0.031367377399	0.004408513317	46	5	
1600000	464.938649	1	-0.977626104141	0.974579510372	0.001651979801	-0.015379839852	0.000089039158	0.958886135881	N\A	0.036378815616	0.031985562330	0.004239673171	39	6	
1650000	453.865069	1	-0.870452483445	0.897094144070	0.065644446512	-0.017935680550	0.000183562982	0.950275123988	N\A	0.037723070118	0.033499940423	0.004448527690	41	4	
1700000	463.563857	1	-0.736819356957	0.853306269097	0.058972237869	-0.006056708886	0.000097961311	0.952433497868	N\A	0.035774465940	0.031852123777	0.004337387985	31	8	
