Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  HIP_d1_m8-glob-002.txt
Log File Name:                   HIP_d1_m8-glob-002.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            618986230
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   HIP_d1_m8-glob-002.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.233350
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.70 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Node	No RJ LS Betas	Global Trend	
1000000	459.981570	1	-1.041240191077	1.011969285404	-0.022201677054	0.009820262020	0.000172105644	0.999982984020	N\A	0.021892511103	0.002607137498	0.023572341372	45	7	0.875068045113	Global Trend	
1050000	463.862760	1	-0.985858070327	1.044868264964	-0.023203174705	-0.021618195175	0.000171591249	0.999993605688	N\A	0.023795615871	0.002649391105	0.025630504991	44	4	-1.514570805841	Global Trend	
1100000	472.703609	1	-1.183790516134	1.136403662779	-0.035298236665	-0.011994585297	0.000139478349	0.963713270484	N\A	0.051480700470	0.006384814232	0.023366740426	38	6	-0.002013842410	Global Trend	
1150000	452.134155	1	-1.013323778122	1.069383249996	-0.021273020191	-0.048104927822	0.000128369418	0.999943231498	N\A	0.021564523494	0.002600735118	0.023251586069	35	6	-0.404937466667	Global Trend	
1200000	465.974445	1	-0.984907080531	1.029135802210	-0.014507146701	-0.014809435699	0.000108449772	0.999989742898	N\A	0.022815601143	0.002712258858	0.024577340686	31	5	-1.164502915820	Global Trend	
1250000	462.483857	1	-0.907895451098	1.071094553899	-0.020550702980	-0.047703566023	0.000145840467	0.999781183655	N\A	0.021452475316	0.002685442500	0.023278228046	48	2	0.272762449127	Global Trend	
1300000	458.564633	1	-1.093616098225	1.086480528203	-0.021327744446	-0.057308165856	0.000155716849	0.992460082191	N\A	0.024756512597	0.003102660995	0.026382940933	43	6	-0.034093823046	Global Trend	
1350000	476.269576	1	-0.992574307358	1.085503346762	-0.020822022985	-0.051526370299	0.000107791790	0.993981952871	N\A	0.022733399196	0.002506589477	0.023641374474	28	11	0.036070046602	Global Trend	
1400000	474.684823	1	-1.028380242416	1.119353197769	-0.031197358224	-0.009768508678	0.000119966110	0.972760071681	N\A	0.027959143543	0.003364181337	0.019154181542	47	8	0.009931261657	Global Trend	
1450000	466.733806	1	-0.986190932971	1.053727475570	-0.017896225949	-0.034225040612	0.000114241173	0.999675423687	N\A	0.020484332546	0.002275768055	0.021894357942	41	6	0.180070166835	Global Trend	
1500000	450.324734	1	-1.028562932932	1.086007962255	-0.021419850811	-0.057852281217	0.000113969996	0.974653758096	N\A	0.028820768532	0.003111460226	0.025838865676	42	6	0.013906645743	Global Trend	
1550000	450.194403	1	-1.041391246273	1.033169133921	-0.019004048184	-0.015459525537	0.000112483861	0.982676168840	N\A	0.024718482067	0.003068103652	0.023695074691	32	3	0.019327412977	Global Trend	
1600000	469.218812	1	-1.090480550172	1.105396955123	-0.033901248359	-0.004571341265	0.000118928802	0.960108332762	N\A	0.051028175601	0.007404828605	0.020081635978	46	4	-0.001806875863	Global Trend	
1650000	480.844353	1	-0.841320330073	1.025094321205	-0.023708121287	-0.000414401613	0.000147056155	0.999945845398	N\A	0.022370354276	0.002523090606	0.024030587555	44	13	0.560270897929	Global Trend	
1700000	473.494368	1	-1.017006589037	1.052213708367	-0.017401421422	-0.035805640012	0.000096628988	0.997327727317	N\A	0.021863175005	0.002687623870	0.023474109935	35	8	-0.048263009406	Global Trend	
1750000	468.620542	1	-0.870334951954	1.017736903422	-0.025069649951	0.009079801937	0.000091495873	0.999776495811	N\A	0.022462030301	0.002537369705	0.024083102750	30	6	0.210302498228	Global Trend	
1800000	461.250456	1	-0.881788272037	1.006226074519	-0.031528407778	0.037985990056	0.000134455603	0.954713162335	N\A	0.056801176582	0.007239434712	0.024577548615	46	5	0.001905557626	Global Trend	
1850000	457.656517	1	-1.038808871208	1.049013141458	-0.016962799908	-0.032163776030	0.000135097612	0.999907999645	N\A	0.021696518175	0.002545087798	0.023344499166	40	6	-0.266203626726	Global Trend	
1900000	473.603366	1	-1.040078437986	1.061190846459	-0.019821009179	-0.041919780200	0.000145124443	0.996260200055	N\A	0.022329807047	0.002632626735	0.023501242432	37	7	0.071487777906	Global Trend	
1950000	462.836329	1	-1.149742356213	1.157266292148	-0.016808990143	-0.114027164448	0.000053080903	0.966590342361	N\A	0.033713521025	0.004228234347	0.023279492939	60	7	0.003018764703	Global Trend	
2000000	467.889501	1	-0.974348879090	1.012126256113	-0.019669273683	0.007607580316	0.000096422853	0.999935939489	N\A	0.018362332479	0.001970559615	0.019328140140	43	6	0.293146182643	Global Trend	
2050000	471.596385	1	-1.135152184276	1.149475186936	-0.027401504371	-0.062154089515	0.000117334231	0.961131359964	N\A	0.050298091934	0.007047871210	0.020866103774	35	6	0.001594458054	Global Trend	
2100000	450.505975	1	-0.938394398331	1.013255189595	-0.018313964094	0.002840097193	0.000102106381	0.998751113519	N\A	0.022665205808	0.002775848302	0.024494184258	40	5	-0.076921157375	Global Trend	
2150000	453.919644	1	-1.057144162189	1.108650058489	-0.028124867349	-0.012480382979	0.000132628161	0.960515338393	N\A	0.039252059456	0.004175714777	0.025299025753	31	4	0.008076009336	Global Trend	
2200000	456.930467	1	-1.020698516698	1.037595494733	-0.017163492052	-0.013287149642	0.000148302614	0.972999474989	N\A	0.027778144568	0.003642092074	0.022017435273	47	4	0.011061938296	Global Trend	
2250000	459.504861	1	-0.895794290306	0.985445852269	-0.024819902112	0.039384575065	0.000088617136	0.999531620837	N\A	0.021752555120	0.002634942489	0.023521090096	39	5	-0.094959263081	Global Trend	
2300000	476.925327	1	-1.130528148058	1.166893588960	-0.028334612077	-0.081754961142	0.000179925986	0.964919903041	N\A	0.037206995479	0.004591015465	0.023470627292	46	4	0.008263679898	Global Trend	
2350000	472.141501	1	-1.013926809913	1.057919841109	-0.024365614438	-0.023100099560	0.000071919772	0.969740790347	N\A	0.029297453672	0.003649301127	0.021225943037	47	6	-0.006364065798	Global Trend	
2400000	459.229159	1	-1.121501907300	1.094284560628	-0.026232398480	-0.039064465795	0.000137457646	0.967439690846	N\A	0.032146226160	0.003902769954	0.021055330915	52	7	-0.011384844278	Global Trend	
2450000	465.909379	1	-1.271194003952	1.141950843035	-0.023417457203	-0.069762693619	0.000090057195	0.961200676690	N\A	0.056084141274	0.007773325418	0.023210952089	44	6	-0.000177474634	Global Trend	
2500000	460.755107	1	-0.981079624146	1.023714494086	-0.025647458126	0.006090104098	0.000148684661	0.996222442546	N\A	0.022957679657	0.002781381166	0.024551652953	29	5	-0.067529707255	Global Trend	
2550000	453.633786	1	-1.018436924994	1.031343386124	-0.016857926928	-0.014521483521	0.000159514604	0.999881690672	N\A	0.022952948247	0.001960583445	0.024245939948	38	7	-0.441496988832	Global Trend	
2600000	471.269004	1	-0.873423388199	0.989236154495	-0.024558599681	0.033622661324	0.000127617249	0.999153580470	N\A	0.021165181875	0.002485129076	0.022499347584	42	10	0.163726858421	Global Trend	
2650000	447.458600	1	-0.930623761083	1.044974023173	-0.021623142349	-0.022238193030	0.000095613550	0.999937830086	N\A	0.022484724660	0.002358979127	0.024090001754	36	4	0.279944599517	Global Trend	
2700000	469.249110	1	-1.211013122367	1.198281953116	-0.048153583530	-0.016275541440	0.000060553073	0.960661259092	N\A	0.053691304237	0.007686985731	0.023154199884	38	9	-0.000120095662	Global Trend	
2750000	444.814297	1	-1.278746065167	1.160655211317	-0.033650139638	-0.035529218907	0.000123079427	0.955989324917	N\A	0.042312196197	0.005816586289	0.024536594847	30	4	-0.004636018576	Global Trend	
2800000	464.065491	1	-1.036438425335	1.063852314595	-0.027333902364	-0.015892709984	0.000085141581	0.956713051206	N\A	0.048632054698	0.006758231481	0.022729870554	40	6	-0.002133732446	Global Trend	
2850000	458.096570	1	-0.909400453673	0.982508810979	-0.023952584543	0.041693202257	0.000124115170	0.962653134403	N\A	0.044472182179	0.005080905734	0.025129442353	42	3	0.003802169174	Global Trend	
2900000	462.902255	1	-1.157954047614	1.152336139653	-0.033495789060	-0.032234126603	0.000108789280	0.959809302021	N\A	0.051496230391	0.006483879165	0.023332516764	38	6	0.001821422053	Global Trend	
2950000	475.994642	1	-1.159402867469	1.188564786292	-0.039614890442	-0.044795932873	0.000023423915	0.961769375246	N\A	0.047513481262	0.006048255122	0.022175100166	39	6	0.000469994366	Global Trend	
3000000	473.580032	1	-0.935786069245	1.029068162777	-0.020689222449	-0.008284304537	0.000024026070	0.999985167355	N\A	0.021695369968	0.002592812882	0.023423450601	43	6	0.121665041191	Global Trend	
3050000	471.422422	1	-1.023543846433	1.092033890942	-0.017643705862	-0.074376182119	0.000096061891	0.999998147323	N\A	0.015926393115	0.002520159319	0.018143672463	39	8	1.161270806801	Global Trend	
3100000	474.388749	1	-1.083741764555	1.089236204737	-0.016546325937	-0.070933357196	0.000080608714	0.999843088811	N\A	0.020373191469	0.002556795851	0.022088375918	45	9	-0.168405184185	Global Trend	
3150000	465.136609	1	-0.811653899948	0.973371780731	-0.025920241237	0.052196569498	0.000083367792	0.999974332674	N\A	0.023635583504	0.002737006407	0.025568056307	37	8	-0.473008272905	Global Trend	
3200000	458.448369	1	-1.035778295126	1.060783665366	-0.023059906057	-0.029625614444	0.000082285799	0.992697140152	N\A	0.024021561241	0.002974871388	0.025409001997	42	8	-0.021457374440	Global Trend	
