Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  HIP_d1_m9-VR-001.txt
Log File Name:                   HIP_d1_m9-VR-001.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            487227208
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   HIP_d1_m9-VR-001.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      5
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	No RJ Local Branch	No RJ Local Node	
1000000	429.852957	1	-1.587357527650	1.477299614717	-0.075210719849	-0.173010423566	0.020031733002	0.000199189367	0.950923738970	N\A	0.116349950849	0.016522319570	0.051468271111	0.009520884886	40	25	
1050000	442.161905	1	-1.172759454527	1.192052618967	-0.052796832342	-0.028879253012	0.011805619532	0.000073360716	0.958720184302	N\A	0.126690017945	0.018313699833	0.051878497571	0.009917048383	50	37	
1100000	445.609336	1	-1.698146882723	1.568495222193	-0.107997488709	-0.128797390753	0.033926762757	0.000148528077	0.954504121674	N\A	0.119683616649	0.017621051671	0.050567983564	0.009746288549	64	37	
1150000	433.187089	1	-1.406023887066	1.347254058956	-0.066460482476	-0.101291430295	0.017145800136	0.000144148633	0.951616409855	N\A	0.123113565153	0.018806138909	0.051105180356	0.010292531837	41	28	
1200000	447.260340	1	-1.137199606282	1.185372026115	-0.047334768755	-0.077618618991	0.019428801468	0.000113835202	0.956843109074	N\A	0.106544113253	0.016314241690	0.044660692100	0.008846554278	29	28	
1250000	438.824511	1	-1.260210001394	1.230071621709	-0.050732988473	-0.050553521901	0.011152953327	0.000089518217	0.957440195395	N\A	0.121159899600	0.017284617940	0.048964085513	0.008893007548	41	30	
1300000	435.070730	1	-0.943141672431	0.997812485011	-0.022290364238	0.044780299151	-0.006066463825	0.000100779740	0.960814180798	N\A	0.110324688109	0.015938325615	0.047225396162	0.009313843815	51	32	
1350000	446.041216	1	-1.365997328941	1.294867744845	-0.053327215378	-0.094402369817	0.013952674074	0.000085906555	0.954952926232	N\A	0.109917051792	0.015954955938	0.049577568737	0.009760825831	47	26	
1400000	443.318614	1	-0.996215716429	1.049647956275	-0.035236404476	0.094440545223	-0.016605008286	0.000073000177	0.959249035347	N\A	0.088346148121	0.014106619545	0.033784408105	0.008242687539	45	28	
1450000	433.174162	1	-1.276192804264	1.226886471615	-0.037623806417	-0.097761724282	0.008538083683	0.000132033208	0.958892829907	N\A	0.109199817841	0.014915428728	0.049721197643	0.008626761700	39	29	
1500000	440.404744	1	-1.296496790798	1.268792402697	-0.050114067669	-0.102073382083	0.010879988563	0.000126414627	0.958021121196	N\A	0.111504180945	0.016303605473	0.045975487713	0.008723189933	53	21	
1550000	442.266273	1	-1.913283708382	1.690910075286	-0.102869026876	-0.252253366786	0.039368735278	0.000196495583	0.955148308006	N\A	0.113428046197	0.015919570290	0.050321836655	0.009302957153	57	25	
1600000	441.444378	1	-1.491405605164	1.402524584991	-0.071269799281	-0.138029272887	0.022229309883	0.000126071960	0.960246906589	N\A	0.102025900940	0.016031372088	0.042896942141	0.008862897086	58	32	
1650000	445.368592	1	-1.598515332482	1.501583125357	-0.095576947841	-0.125440340595	0.025810631619	0.000177347170	0.959528927977	N\A	0.106481707527	0.016103063658	0.045559360840	0.009139438621	55	25	
1700000	431.598517	1	-1.452999049736	1.395639284020	-0.073342669219	-0.131072156075	0.025880675424	0.000159595485	0.950022133785	N\A	0.113899801205	0.016610936348	0.051246801877	0.009696391141	62	28	
1750000	445.287709	1	-1.179063824045	1.229213897017	-0.056754309829	-0.053039317167	0.013161717623	0.000125566906	0.953221395369	N\A	0.109951621717	0.016043106211	0.046578583068	0.008806044514	47	27	
1800000	433.338136	1	-1.289121925235	1.190041117014	-0.039820509419	-0.008953123292	-0.004174039713	0.000103869637	0.955834545713	N\A	0.114888608312	0.017268389042	0.047810682019	0.009122500573	41	33	
1850000	432.627226	1	-1.515889654120	1.384056518678	-0.060179172145	-0.122416135629	0.011086929462	0.000112630496	0.950131042145	N\A	0.104995468302	0.016159683417	0.041040379255	0.008206554004	49	28	
1900000	437.464057	1	-1.244817045680	1.252967309202	-0.058528396128	-0.056328876464	0.010746771819	0.000131887490	0.957055807587	N\A	0.102442018148	0.014865073636	0.043489737758	0.008360986896	52	29	
1950000	445.887168	1	-1.192601480249	1.236314749499	-0.055568615178	-0.100738097230	0.022450623928	0.000167973487	0.955356297227	N\A	0.092826367303	0.014292045043	0.041819345392	0.008546027015	29	20	
2000000	434.854542	1	-1.201054746917	1.227526143504	-0.056711024527	-0.073939654747	0.019667467605	0.000126357695	0.957366132035	N\A	0.107015465316	0.016123209355	0.044684910796	0.008696923906	45	34	
2050000	434.243107	1	-1.549652525827	1.435628128554	-0.074593905416	-0.137800714518	0.020669842122	0.000089869161	0.955292171507	N\A	0.113472321088	0.017283507951	0.047353805823	0.010078345367	55	26	
2100000	446.474182	1	-1.064599084741	1.097977258761	-0.033593060976	-0.012489504645	0.001738871595	0.000175039359	0.956953753561	N\A	0.106702978120	0.015530868458	0.046161226891	0.008720362301	38	33	
2150000	438.439714	1	-1.339053316347	1.298924540436	-0.060775211537	-0.072888753902	0.013174370543	0.000129212736	0.955154738877	N\A	0.102095067033	0.015022087373	0.045297330605	0.008739220178	44	28	
2200000	441.420815	1	-1.443434439128	1.366847587696	-0.068202827184	-0.111426394642	0.019455154767	0.000126441554	0.961432031159	N\A	0.107780788384	0.015860975026	0.043254958325	0.008533138238	43	24	
2250000	434.152405	1	-1.456407383164	1.411897403007	-0.069077468192	-0.172584206484	0.024514007633	0.000135245653	0.954102068721	N\A	0.096045748609	0.014127321832	0.044381937037	0.008172864774	57	27	
2300000	429.376048	1	-1.355193955380	1.300346282256	-0.051850383913	-0.126713422480	0.018561538102	0.000096535366	0.953680603100	N\A	0.133045527275	0.018775615292	0.051881938608	0.009349701958	45	33	
2350000	444.158011	1	-1.566647421103	1.492530137994	-0.083561201035	-0.192918536487	0.033061352383	0.000081968041	0.955876865331	N\A	0.109976774274	0.016426170714	0.046987255494	0.009318214742	46	21	
2400000	436.314427	1	-1.334342776342	1.315110136410	-0.070278389367	-0.051667136806	0.016508755449	0.000095384071	0.957067631863	N\A	0.099732471171	0.015526225026	0.041334877850	0.008757392989	42	27	
2450000	434.644505	1	-1.548067410218	1.491752061899	-0.091179650824	-0.190088812453	0.040801589952	0.000111873924	0.954978631468	N\A	0.114279678423	0.017621876881	0.045896181124	0.009473644200	36	25	
2500000	431.305536	1	-1.291840521838	1.224086787596	-0.042016724535	-0.073544275359	0.005749839923	0.000102544488	0.955838008939	N\A	0.103567381794	0.015586158091	0.044709663139	0.008849268544	52	25	
2550000	445.024431	1	-1.321061983243	1.297850297701	-0.052664413692	-0.110251971632	0.013240146450	0.000119569789	0.957517686024	N\A	0.105963683905	0.014840915521	0.046795838319	0.008514237721	40	34	
2600000	450.068072	1	-1.720176238997	1.536299283175	-0.076282151473	-0.188271059488	0.021083772466	0.000087460640	0.952677288733	N\A	0.110998319141	0.015858552644	0.047851519455	0.009171962281	55	31	
2650000	419.270577	1	-1.597002264363	1.454919208165	-0.076655290651	-0.125452396509	0.018270524623	0.000160211965	0.955179951303	N\A	0.130857993872	0.018445088935	0.053229779038	0.009979593774	56	24	
2700000	433.482820	1	-1.574102921117	1.459198111157	-0.076078993561	-0.169181534419	0.025046631036	0.000195907062	0.948678403309	N\A	0.099483661334	0.014087561566	0.045078302083	0.008163142699	40	23	
2750000	418.589946	1	-1.302420871579	1.240271290364	-0.045185740409	-0.055526802081	0.004288698301	0.000129688009	0.950642832571	N\A	0.113652622608	0.016222947273	0.050743450953	0.009406503924	42	23	
2800000	435.369329	1	-1.110192996534	1.149087565710	-0.040427423081	-0.032159125419	0.003523824424	0.000100329669	0.946923584365	N\A	0.125447245292	0.017761092125	0.050629887992	0.009195174460	47	25	
2850000	453.114962	1	-1.216658605917	1.228280467369	-0.054533325032	-0.059668821009	0.014914622676	0.000088595154	0.956480946927	N\A	0.107373030794	0.016032014147	0.045316444054	0.008790083560	36	29	
