Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  HIP_d1_m9-fab-003.txt
Log File Name:                   HIP_d1_m9-fab-003.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            3471113518
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   HIP_d1_m9-fab-003.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.233350
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.70 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      5
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	No RJ Local Node	No RJ LS Betas	
1000000	440.667107	1	-1.453490543669	1.452918667185	-0.087885096984	-0.150061788294	0.030436298328	0.000033909280	0.948006598604	N\A	0.106965780360	0.015553840395	0.047122864729	0.008791478179	40	3	
1050000	464.049321	1	-1.205634002675	1.152378062025	-0.031489894941	-0.003449492821	-0.007701926487	0.000101017845	0.960221168322	N\A	0.100248102929	0.014150860856	0.044896139770	0.008577828635	44	8	
1100000	462.427214	1	-0.848051649783	0.963461829813	-0.010499842790	-0.012314792042	0.000834318379	0.000031152499	0.956343360847	N\A	0.092890928468	0.011419067869	0.044832479364	0.007042984135	39	7	
1150000	473.471612	1	-1.503728889308	1.450653415332	-0.091357479700	-0.102317905362	0.029149423117	0.000022995783	0.954318488460	N\A	0.106524801014	0.016075050182	0.044841542508	0.008672225961	36	9	
1200000	463.920554	1	-1.130898541599	1.119007032359	-0.028546301682	-0.002852821749	-0.009193652237	0.000037305665	0.957553285829	N\A	0.105531423256	0.014445929924	0.047200110881	0.008474923518	49	8	
1250000	478.106152	1	-1.525117534178	1.435908919916	-0.079472622344	-0.141256360684	0.028692981439	0.000091097266	0.958640394020	N\A	0.104298127458	0.015221370481	0.045330934693	0.008864613649	41	5	
1300000	464.105741	1	-1.419317447768	1.353074450167	-0.067398887254	-0.084631145942	0.011815888944	0.000110957603	0.965063900877	N\A	0.101630607696	0.016738693662	0.040880681452	0.008881047709	45	5	
1350000	469.275731	1	-1.245703692830	1.293381515446	-0.079873633689	-0.053517360774	0.028951060179	0.000110232498	0.965711060711	N\A	0.110350200745	0.015954312601	0.045408105477	0.008873714788	41	7	
1400000	477.878219	1	-1.522306371548	1.452619970104	-0.085511464616	-0.138419892910	0.030713891745	0.000095122842	0.963852243706	N\A	0.111631810183	0.016085454722	0.046947669608	0.009267173438	42	8	
1450000	479.943894	1	-1.101422581909	1.116436653794	-0.027538909296	-0.057018018740	0.002773382982	0.000101058197	0.957143035691	N\A	0.097663794691	0.013784042352	0.043254604018	0.007929068828	37	10	
