Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  HIP_d1_m9-glob-001.txt
Log File Name:                   HIP_d1_m9-glob-001.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            276987476
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   HIP_d1_m9-glob-001.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.233350
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.70 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      5
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	No RJ Local Node	No RJ LS Betas	Global Trend	
1000000	449.230973	1	-1.275277022253	1.289954718005	-0.059047653523	-0.094370566585	0.016613571999	0.000164342500	0.955423127466	N\A	0.093925971751	0.013424850855	0.042606386524	0.007949974438	34	3	0.000849917157	Global Trend	
1050000	467.185816	1	-1.018737943389	1.054008085892	-0.008808848201	-0.058611944389	-0.002135116718	0.000105320744	0.982405393381	N\A	0.035226138818	0.005313383452	0.035093141280	0.006307801319	38	9	-0.013568209515	Global Trend	
1100000	474.060852	1	-0.934053629388	0.978852761284	-0.009212257347	0.051572606894	-0.021129843028	0.000100496057	0.999978119195	N\A	0.028535136992	0.004526641908	0.031344498222	0.005759701014	27	9	0.697045598454	Global Trend	
1150000	469.554402	1	-1.069682849745	1.124594535883	-0.027331502641	-0.067954962565	0.007576202011	0.000015015081	0.957489485812	N\A	0.096905262757	0.013400206686	0.044397316174	0.008031745797	41	11	0.000147649086	Global Trend	
1200000	471.458122	1	-0.986259151622	1.056396731600	-0.027830826322	-0.006338907577	-0.000726136160	0.000025344475	0.995056083833	N\A	0.036048493784	0.005718936966	0.033442717633	0.006222375845	45	5	-0.002306772673	Global Trend	
1250000	465.143671	1	-1.507476267094	1.488090071303	-0.097350891441	-0.108464100668	0.027989766464	0.000026378151	0.955329313476	N\A	0.109895513449	0.015421538546	0.047980059341	0.008663800865	46	5	0.000207607161	Global Trend	
1300000	456.367204	1	-1.158783932414	1.173412649710	-0.047004002196	-0.035559202256	0.008079511217	0.000123057768	0.958331402426	N\A	0.096590126275	0.013293936488	0.044882778147	0.008244950713	51	5	-0.000218948050	Global Trend	
1350000	458.167937	1	-0.830483405383	1.052428066303	-0.028711105217	-0.022782893948	0.009034405386	0.000080830043	0.995909535518	N\A	0.033256265530	0.004825426028	0.035642428421	0.006266014123	49	3	0.032785691667	Global Trend	
1400000	470.599073	1	-1.441846071198	1.368134117486	-0.070474650764	-0.125965103290	0.023649094322	0.000082000582	0.959450990118	N\A	0.097549426153	0.014837193156	0.042312539286	0.008287472381	35	5	-0.000901897777	Global Trend	
1450000	462.780974	1	-1.266044709069	1.264309672956	-0.055100959193	-0.083205611878	0.015460882469	0.000123123703	0.965008184531	N\A	0.101945817827	0.014443330477	0.044355522353	0.008216894991	51	6	0.000975830395	Global Trend	
1500000	462.024886	1	-1.487175255053	1.386561848298	-0.071883250866	-0.098126292721	0.015952176403	0.000103785201	0.955147283943	N\A	0.109204625937	0.016169280561	0.046407062095	0.009077865236	46	7	-0.000218885951	Global Trend	
1550000	460.944497	1	-0.882772024120	1.051555477111	-0.021774558121	0.000841756592	-0.004308421440	0.000141549069	0.990136917199	N\A	0.033153514844	0.004733105099	0.034390862082	0.005981969561	35	10	0.036290482464	Global Trend	
1600000	469.801862	1	-1.383663498316	1.305088761644	-0.057933766210	-0.102667814186	0.014002884786	0.000116334496	0.959008035790	N\A	0.087596136460	0.012612247913	0.041452242628	0.007471835691	50	8	-0.001650914205	Global Trend	
