Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  MED_d1_m2-VR-005.txt
Log File Name:                   MED_d1_m2-VR-005.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            2962425218
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   MED_d1_m2-VR-005.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	No RJ Local Branch	No RJ Local Node	
1000000	483.059202	1	0.884164291122	0.618180476298	0.127738530835	0.113750561413	0.318614900781	0.275691385549	0.200105488650	-0.004848736240	0.035758093543	-0.027527791933	-0.122510516673	-0.086830953383	0.000165817356	0.969972061245	N\A	0.054759367310	0.156042593546	0.152064112858	0.177486596383	0.171355543747	0.272398030903	0.055584567118	0.055631038284	0.060220077362	0.062545230439	0.057297007974	59	32	
1050000	480.320047	1	1.060790016926	0.573700104831	-0.013734961189	-0.108618022710	0.082443915571	-0.041472777860	0.058819362793	0.011466618564	0.071225373256	-0.044537608788	0.015323231788	-0.065471858825	0.000220872739	0.961497200182	N\A	0.062582374249	0.187797539446	0.182677486236	0.212466724646	0.203924345920	0.259332268583	0.063788175390	0.063397297437	0.067483317813	0.071074267378	0.065032113873	50	32	
1100000	491.037970	1	0.879778267938	0.582738848825	0.225866556653	0.149419181345	0.297222527162	0.169448178131	0.126323094744	0.034937985449	0.080091383502	-0.029643012688	-0.032073347764	-0.058180483759	0.000163534498	0.968371501190	N\A	0.068264602511	0.177701814655	0.173399434552	0.200919466226	0.199928892205	0.235531674014	0.069143204368	0.069001122571	0.072555392492	0.070146930804	0.070535697086	48	28	
1150000	486.140601	1	1.012354560266	0.640165491033	0.055966896661	-0.000849279350	0.155039033192	0.161942347615	-0.124147563738	-0.037602551553	-0.011851843046	-0.054018165643	-0.060642648630	-0.091789462562	0.000161800299	0.966092876185	N\A	0.063006200474	0.178206852027	0.173938195029	0.189184963167	0.182567725486	0.231252450648	0.064342439273	0.063884656681	0.066216253816	0.067564884563	0.064251751133	40	32	
1200000	481.047347	1	0.654933192198	0.696378974159	0.158076176912	0.125016416694	0.549469911586	0.436822391112	0.493234295670	-0.074614748745	-0.047918579370	-0.157019385863	-0.160162149231	-0.137376347970	0.000280921167	0.960315955160	N\A	0.051593686583	0.182333932828	0.176129467546	0.209023788255	0.198979433081	0.273130918413	0.053263286832	0.052579326054	0.056558250503	0.058914271456	0.055457665689	44	26	
1250000	464.207329	1	0.330274270600	0.513528666549	0.613962159784	0.603128191592	0.895640088613	0.750310491129	0.733046827332	0.097923021892	0.130897410505	0.026242387805	0.054527505445	0.041748902756	0.000301393681	0.965697191992	N\A	0.053152939827	0.533782867494	0.532344659529	0.540197799417	0.544643746447	0.569077826690	0.054280987260	0.053971485205	0.060848986394	0.064284079084	0.057770486189	48	24	
1300000	480.446493	1	0.856048931142	0.674415321174	-0.143316146995	-0.135980526131	0.233860101794	0.020418927499	0.388036583874	-0.056136556104	-0.041235252212	-0.139242740415	-0.126216544552	-0.135079697229	0.000156322486	0.964965121491	N\A	0.045578326947	0.149585256143	0.143598153631	0.203191756844	0.158923863062	0.210248297628	0.046869771283	0.046767168130	0.055296863719	0.052226989611	0.048347323530	53	27	
1350000	471.933869	1	0.808154420659	0.594465696731	0.193161077778	0.082116358494	0.292478341519	0.035990430378	0.323095883216	-0.016389843383	0.038905853018	-0.027329716551	0.018235525447	-0.062524790711	0.000177695143	0.960783499772	N\A	0.089030275210	0.214177893104	0.209125681957	0.226239962366	0.219053586061	0.272307119660	0.090172068305	0.089573997098	0.091890037962	0.092645229073	0.090946295612	46	29	
1400000	469.954757	1	0.826945448926	0.709708807208	-0.207515494542	-0.246267071975	0.051497147035	-0.150860931880	0.338584276675	-0.098280135859	-0.061362308743	-0.185431523490	-0.172941513094	-0.196635136216	0.000262441203	0.966792233262	N\A	0.056053770427	0.261818071144	0.259654193576	0.284213809119	0.273938971644	0.271715657531	0.056985653139	0.056853822974	0.063042919139	0.061643005998	0.060936405539	57	22	
1450000	498.137605	1	1.391265102480	0.527287468432	-0.568009656990	-0.603159208132	-0.403878458916	-0.575956184807	-0.175256505157	0.078750496013	0.095240013566	0.062550008806	0.042549713060	-0.010040589969	0.000178736655	0.968378802074	N\A	0.068090946284	0.262884542132	0.258280371503	0.272226102873	0.263331467324	0.307432565122	0.070017200340	0.068891121600	0.072002608850	0.068881977615	0.070182668178	54	32	
