Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  MED_d1_m2-bm-004.txt
Log File Name:                   MED_d1_m2-bm-004.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2882994964
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   MED_d1_m2-bm-004.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	
1000000	378.427015	1	0.835519547565	0.630030855561	-0.141989110304	-0.104518925724	0.178021621450	-0.017171022185	0.416917314146	0.006052564902	0.017925870960	-0.073634560741	-0.042998939492	-0.089013980815	0.000277851434	0.914121023319	N\A	0.051034814449	0.217800190114	0.197005664763	0.206500976933	0.200137857123	0.271365167938	0.056785896209	0.054802129796	0.056969314893	0.059202914589	0.054111508220	
1050000	374.086914	1	0.955329061479	0.637360604992	0.022960966804	-0.104793334494	0.034997698100	0.008265256568	0.169043667142	0.020972150951	0.021546667100	-0.088065955009	-0.040900852607	-0.096860504455	0.000284951704	0.911926455244	N\A	0.051682777804	0.220565489518	0.199506946544	0.209122815914	0.202678906774	0.274810554908	0.057506878155	0.055497924859	0.057692625613	0.059954584201	0.054798534808	
1100000	372.919945	1	0.926580372638	0.550808566039	-0.371485440286	-0.339921769185	0.104748786553	0.157390385509	0.384471314801	0.051543940642	0.106558124955	0.002156114844	-0.024139854767	-0.030840082646	0.000286891590	0.911326870761	N\A	0.051858401656	0.221314995686	0.200184893431	0.209833438599	0.203367632336	0.275744391868	0.057702292950	0.055686513006	0.057888671599	0.060158316575	0.054984746350	
1150000	378.671934	1	1.018693183280	0.550672212874	-0.054340100824	-0.201650173065	0.131619117419	-0.130746598722	0.208912457976	0.059442770364	0.094439649302	-0.010274849978	0.021738442234	-0.035656811412	0.000277456069	0.914243223693	N\A	0.050998491860	0.217645176975	0.196865451541	0.206354005690	0.199995414652	0.271172031438	0.056745480450	0.054763125927	0.056928768591	0.059160778586	0.054072995881	
1200000	373.860778	1	0.612374726783	0.604373842856	0.068640018750	0.193460172956	0.592849484910	-0.017990664399	0.807642906697	0.015714238751	0.008024566653	-0.087567448516	0.007012279909	-0.084352923863	0.000285326588	0.911810585127	N\A	0.051716763726	0.220710530512	0.199638139714	0.209260332355	0.202812185784	0.274991266752	0.057544693930	0.055534419572	0.057730563533	0.059994009555	0.054834569611	
1250000	375.711789	1	0.957316637060	0.549401420216	0.013238152824	0.004145044695	0.352168789867	-0.075903460473	0.153160896242	0.044204341810	0.058799466239	-0.001783639079	0.108300828400	-0.039509400387	0.000282272455	0.912754563745	N\A	0.051439231190	0.219526110821	0.198566802777	0.208137358939	0.201723815665	0.273515555237	0.057235886423	0.055236399989	0.057420758577	0.059672058056	0.054540305700	
1300000	376.886628	1	1.013848905557	0.649839735754	-0.135377368893	-0.185184959009	-0.036042168324	-0.147046522142	0.171304847966	-0.071269365811	0.009560166254	-0.104478526330	-0.056217743013	-0.121096791072	0.000280350974	0.913348459562	N\A	0.051263854045	0.218777657517	0.197889808231	0.207427734497	0.201036057585	0.272583030079	0.057040746136	0.055048076760	0.057224987986	0.059468611874	0.054354355737	
1350000	375.780111	1	1.047868473204	0.585325947340	0.027492011736	-0.103293968829	-0.049894321552	0.055764658732	0.024450327280	0.006160182469	0.013620629393	-0.008915991174	-0.007925814674	-0.053092881135	0.000282160354	0.912789212340	N\A	0.051429015905	0.219482515265	0.198527369517	0.208096025069	0.201683755456	0.273461237950	0.057224519983	0.055225430626	0.057409355424	0.059660207818	0.054529474574	
1400000	374.886782	1	0.794977876403	0.608108489143	0.047048880287	0.218386445899	0.557383143446	0.048631774922	0.287013264455	-0.013661219956	-0.008991789236	-0.056361308804	0.024635591235	-0.076963437489	0.000283629643	0.912335081047	N\A	0.051562744772	0.220053227101	0.199043592504	0.208637129058	0.202208185870	0.274172308557	0.057373318674	0.055369031163	0.057558634734	0.059815339933	0.054671265443	
1450000	376.978185	1	0.750639205838	0.634814872623	0.463709506156	0.300413751580	0.427944450608	0.377609589013	0.344590183955	-0.023499097781	0.002121091406	-0.078683515307	-0.041564690907	-0.128643068740	0.000280201782	0.913394572434	N\A	0.051250211829	0.218719436921	0.197837146261	0.207372534316	0.200982558342	0.272510490924	0.057025566586	0.055033427495	0.057209759406	0.059452786227	0.054339891084	
