Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  MED_d1_m2-fab-004.txt
Log File Name:                   MED_d1_m2-fab-004.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            3380970565
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   MED_d1_m2-fab-004.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.275310
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.67 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	No RJ Local Node	No RJ LS Betas	
1000000	515.134073	1	0.983389047320	0.731135362499	-0.011796835647	-0.026985640410	0.462140442226	0.256917184862	-0.007100622114	-0.129299093519	-0.097502832573	-0.217384182317	-0.210170306173	-0.225657896123	0.000253272516	0.970932278626	N\A	0.049894952869	0.169997323441	0.168506888216	0.195768190745	0.179669033016	0.256418588749	0.050685180891	0.050988545048	0.053868829741	0.056053366397	0.052452677087	46	10	
1050000	509.547929	1	0.672837132959	0.643202553518	0.256561128387	0.209091335454	0.543922665701	0.343383072151	0.510478314881	-0.024993415622	0.031484799033	-0.067988250354	-0.075422455652	-0.172860420383	0.000183973701	0.966777870184	N\A	0.095867090797	0.308632365864	0.305950576396	0.319318169400	0.313983850381	0.348893825691	0.096825257719	0.096314433339	0.098743102078	0.098190026760	0.097058977459	39	7	
1100000	496.160550	1	1.074856049624	0.599201426642	-0.196533259447	-0.207713101463	0.610927544846	0.207496612241	-0.071693528148	0.020098003210	0.033855446706	-0.062421519927	-0.035828518820	-0.044341704806	0.000219885958	0.965553631643	N\A	0.047071249631	0.166437789631	0.161072670515	0.186440772612	0.186006154397	0.244052530420	0.048433040949	0.048081746961	0.052310725159	0.058199479501	0.050280698083	33	7	
1150000	502.803271	1	1.549784053996	0.566505248433	0.057043217482	0.016850707518	0.391885836873	0.028684151876	-0.369261405097	0.027191135413	0.075415040108	-0.037008050575	0.062276353548	-0.061217086576	0.000143199115	0.964490255453	N\A	0.051782595057	0.177272876627	0.173247079529	0.212306044806	0.186364722516	0.246659073271	0.053449360963	0.052643757535	0.058909054767	0.058587055945	0.054439501235	40	7	
1200000	504.964821	1	0.690292216882	0.552258389912	0.260458361230	0.262033729663	0.597721263294	0.376841809016	0.517152617060	0.040323933796	0.085763586238	-0.059899841632	-0.023174597136	-0.062286915931	0.000117365290	0.960019103646	N\A	0.036802221252	0.128656879110	0.121160156249	0.163785489604	0.135335023519	0.183094483354	0.038829475033	0.038415053132	0.043774905112	0.043635956431	0.041384841276	43	5	
1250000	494.773135	1	1.457775954103	0.593551486413	-0.110548945683	-0.186260902237	0.143893890645	-0.123775123915	-0.292478785245	-0.004087859307	0.033490265136	-0.035424370993	-0.055649507110	-0.062719496090	0.000265443355	0.966167884699	N\A	0.049882262956	0.175729860485	0.171589146870	0.202353991509	0.197172015994	0.267430226170	0.051029241629	0.050783101889	0.056017594098	0.058143038559	0.054369508958	33	8	
1300000	509.834024	1	1.077029712112	0.559280669842	-0.297194198027	-0.353158407821	0.056280768698	-0.248108103721	0.069014760624	0.059581146525	0.098615103670	-0.005620910466	-0.015263716031	-0.048543250544	0.000228972044	0.969658944033	N\A	0.081437040842	0.233988335067	0.230886674638	0.251302648366	0.243551816116	0.271416168943	0.081983602485	0.082081090125	0.085077645946	0.085090350407	0.082695849716	31	11	
1350000	519.948791	1	1.222163047130	0.490138811279	-0.151096401879	-0.234783697261	0.125444474192	-0.235872582041	-0.262162608852	0.121126781922	0.170766683976	0.054438070479	0.097349786339	0.035636159166	0.000206516921	0.964120633593	N\A	0.031127966635	0.148944883378	0.142450219972	0.173256006908	0.164420169539	0.221242584391	0.034042621546	0.032577516027	0.040445058842	0.041893262110	0.034759645525	29	9	
1400000	504.065234	1	1.294592088842	0.469240608590	-0.435053965889	-0.507190228358	-0.168413059003	-0.236655830370	-0.029863137674	0.146450516355	0.192194490613	0.061516455406	0.077469805153	0.025150683037	0.000221552084	0.968037184840	N\A	0.064052546137	0.215410188329	0.211581814914	0.235369507902	0.225914556330	0.280181181914	0.065033189952	0.064749484172	0.069087800536	0.068219917766	0.065745777715	33	6	
1450000	510.633478	1	0.704076496548	0.586109406438	0.021806730372	0.040713699956	0.281337740379	0.297525724549	1.448038160142	0.047040230824	0.064689946343	0.018419664231	-0.047967128213	-0.093714150333	0.000152117435	0.970518670093	N\A	0.061208040579	0.203155983986	0.200057460061	0.219219838009	0.211715906133	0.252790926460	0.062012732234	0.061928605655	0.066037858143	0.065457687681	0.063480973968	29	10	
