Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  MED_d1_m2-glob-002.txt
Log File Name:                   MED_d1_m2-glob-002.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            181240998
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   MED_d1_m2-glob-002.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.275310
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.67 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	No RJ Local Node	No RJ LS Betas	Global Trend	
1000000	494.971340	1	1.072073694509	0.482285053027	-0.188649006033	-0.158705274430	-0.187096086267	-0.051499067490	0.644123611472	0.154663198482	0.137441908404	0.081673274240	0.047920752751	0.038500687783	0.000197831960	0.999621316730	N\A	0.048718424135	0.077124137859	0.070658222576	0.112019905520	0.102992279590	0.155022096237	0.050043142588	0.050045831049	0.054151594971	0.057044251558	0.051285143325	40	9	-0.307156224117	Global Trend	
1050000	518.184728	1	1.026667726827	0.550638802192	-0.084798843922	0.051056181583	0.191711616692	0.187845280552	0.034983846092	0.072085840555	0.066360540396	0.016151481001	-0.021495560314	-0.040989276839	0.000163811789	0.969828375659	N\A	0.036650576644	0.075435471002	0.064819651008	0.099119966909	0.090831605449	0.144311249711	0.038223918493	0.037908889930	0.041028760046	0.042177523071	0.038599464961	31	10	0.005782314890	Global Trend	
1100000	500.594109	1	0.969768644476	0.506800464972	-0.036711997428	-0.115771608336	0.348423768113	-0.131044926845	0.053871098060	0.082278700468	0.151158969214	0.038484629743	0.114700428683	-0.011923484130	0.000163521350	0.999979129344	N\A	0.037667922922	0.086358799328	0.078685009560	0.104422359740	0.092398843824	0.164134825813	0.039555706340	0.038821030338	0.042284320807	0.044401852347	0.042264333854	46	6	-1.099625928773	Global Trend	
1150000	511.391046	1	0.868818977200	0.465432922014	-0.114194335725	-0.093526251495	0.193180363096	-0.395707046980	0.280452852432	0.157735723669	0.172642327471	0.075119394178	0.187671461063	0.073026558008	0.000160700579	0.999757923808	N\A	0.039552106244	0.070826001564	0.063729832099	0.098356353482	0.092718177990	0.145362578496	0.040773731984	0.040847187416	0.043802011824	0.048280423940	0.043242803261	34	8	-0.313385478267	Global Trend	
1200000	515.511730	1	0.780502537824	0.579384817214	0.202247689608	0.143618338053	0.314119683296	0.376918148548	0.384769062190	0.027500197319	0.074471243128	-0.025156002515	-0.113819583301	-0.067195948819	0.000127624570	0.963842232590	N\A	0.040334047088	0.132475227396	0.125375926455	0.146627674332	0.141017408925	0.184254202554	0.042547828368	0.041554630518	0.045010012500	0.046867883214	0.043404834513	39	10	0.000078456667	Global Trend	
1250000	511.209178	1	1.054692144877	0.516171795568	-0.065467017546	-0.048551528137	0.325237900489	-0.014735828684	-0.019634034010	0.084015151023	0.117101364416	0.035191996371	0.066307073581	0.003769496992	0.000176446583	0.998944995484	N\A	0.038782615699	0.072162354510	0.065706598327	0.113176235538	0.092675478581	0.148544986920	0.039665484718	0.040029655447	0.046214409249	0.046645359802	0.041494942636	34	9	-0.187170456359	Global Trend	
1300000	516.447335	1	1.077199430100	0.662700660679	0.090795816785	0.069028907381	0.218631750859	0.178371736258	0.306315816388	-0.061193218060	-0.023395551061	-0.090372865129	-0.098056991497	-0.157455737713	0.000195945183	0.977172484541	N\A	0.055426936363	0.079177275480	0.072278009781	0.118331038911	0.104528828141	0.162688336389	0.056497884231	0.055859425338	0.060432009457	0.060929928364	0.057872214835	42	7	0.006087142974	Global Trend	
1350000	498.795772	1	0.746358984728	0.616700258072	0.186799011658	0.108709444126	0.339164364318	0.215918140541	0.449745943888	-0.022255677011	0.036631922148	-0.066512006522	-0.056131459726	-0.082310870754	0.000123184427	0.962854263118	N\A	0.075697105488	0.225886641189	0.221350502057	0.232947612773	0.229748117720	0.260478199218	0.076778770394	0.076425366435	0.078633061721	0.079115521114	0.077598811566	33	9	0.000037865265	Global Trend	
1400000	492.086556	1	0.794929315673	0.630876756499	-0.001333603406	-0.059228022767	0.119424147169	-0.034171730893	0.292926483236	-0.017034909575	-0.003079374121	-0.042150353985	-0.048241809668	-0.121712614106	0.000416491918	0.963128942846	N\A	0.084515246227	0.105043684322	0.102160101674	0.141322505049	0.134298043765	0.233214091307	0.085044945152	0.085292534574	0.087018334297	0.089532422579	0.086209770412	37	5	0.004153564971	Global Trend	
1450000	506.897028	1	0.779915974993	0.596241932431	0.041567607743	0.023552487120	0.442201288633	0.239070116236	0.450788501570	0.018969093003	0.063273914294	-0.088238752921	-0.023242495175	-0.082605499553	0.000212911227	0.967879024503	N\A	0.044437445795	0.162802158686	0.158298267244	0.172741362783	0.172950487679	0.233308968914	0.045792026283	0.045456088439	0.048092948114	0.053974549193	0.047998043653	36	9	-0.000191040832	Global Trend	
1500000	502.252437	1	0.874435894057	0.608835870420	0.026419500810	-0.063680159982	0.086023010611	0.148470466654	0.299487492631	0.009609632949	0.037499434043	-0.042425107350	-0.039988110857	-0.064679963303	0.000197409370	0.980579288111	N\A	0.060291239746	0.083169612382	0.077170930982	0.117779294623	0.103578193071	0.166340583282	0.061318304134	0.060844419201	0.064994320578	0.065700241381	0.062492439186	37	8	-0.019901305458	Global Trend	
1550000	510.565733	1	0.824053051000	0.533696393008	0.134219547326	-0.010739328640	-0.135136687039	-0.020827738529	0.189413110515	0.057818689708	0.115214871753	0.050425366178	0.054258389436	0.031964211211	0.000107994573	0.999993517313	N\A	0.032239976181	0.064172423251	0.054815402630	0.089045555877	0.080888459551	0.119076912607	0.034272011747	0.033234692227	0.038444978988	0.041116864445	0.035299803409	40	8	-1.223500115829	Global Trend	
1600000	500.434373	1	0.670187771173	0.544239024733	0.021472451155	0.029503798322	0.396744536783	0.056112842379	0.538118103936	0.092139884444	0.069466569690	-0.003681174669	0.005857360802	0.030872560368	0.000202206804	0.966428455867	N\A	0.041534884291	0.128177167149	0.123386172931	0.144173087713	0.134587944660	0.193412566904	0.043115768316	0.042772319820	0.047424523661	0.049730480894	0.044155944374	36	5	-0.000465668847	Global Trend	
1650000	529.685523	1	0.913450132535	0.640038337314	-0.025875296271	-0.022001220584	0.476813418017	0.105303818482	0.105216611908	-0.026752594759	0.017473229499	-0.086295323395	-0.056454245217	-0.127587213334	0.000156578208	0.999836707295	N\A	0.051154604079	0.073377498618	0.067142037148	0.103040244019	0.095701960146	0.137950400031	0.052753633255	0.052076225358	0.054651541154	0.057633652354	0.053259698416	31	10	0.476780127029	Global Trend	
1700000	524.506934	1	0.943761354720	0.565283680510	-0.054524557140	-0.039045528560	0.267329840642	-0.011849486303	0.244597344724	0.036612317108	0.056148100955	-0.001856871741	0.001640733150	-0.058663286354	0.000237199565	0.981538575535	N\A	0.089302794087	0.101568843967	0.094688261715	0.144143754556	0.108238116488	0.186706529520	0.090316502602	0.089433706523	0.092392341441	0.091850434911	0.090179373865	39	10	0.004364370271	Global Trend	
1750000	503.810003	1	0.867780372216	0.683862606115	-0.040683321530	-0.010176475586	0.352156324031	0.106358322957	0.373911213745	-0.051077841340	-0.052790135564	-0.154429011864	-0.085553587510	-0.155743364938	0.000190555946	0.971597647105	N\A	0.066926480641	0.081241479153	0.077301929911	0.106640065074	0.101647311311	0.156910105970	0.067760710056	0.067618477333	0.069076090772	0.072245162575	0.069213094837	43	4	-0.008344407655	Global Trend	
1800000	497.090695	1	0.941855691131	0.625904117377	0.046143324653	0.086524213655	0.402995419087	0.076797325367	0.032296501736	-0.008864673291	0.002234531866	-0.079187524226	-0.093999410058	-0.061758922889	0.000345390295	0.962054702843	N\A	0.054357331953	0.091204042660	0.084205702813	0.146198609334	0.109995988149	0.211464844345	0.055511659454	0.055325753800	0.060619819708	0.059186574734	0.057720978721	27	9	0.006741977960	Global Trend	
1850000	499.779565	1	0.972595111288	0.522834205124	-0.077961644586	-0.147426491601	0.054023826088	0.039440285375	0.326297444299	0.090293228204	0.103312279073	0.072347879577	0.011723620074	0.020061170990	0.000139939978	0.969344251904	N\A	0.072418474511	0.087101445797	0.082312680006	0.124719244022	0.091521380623	0.194987987967	0.073111789297	0.073017868828	0.076921292348	0.074604175689	0.075357770968	47	5	0.002165754395	Global Trend	
1900000	523.112805	1	0.996802739146	0.527603548500	-0.145708537047	-0.145451850936	0.306599189136	0.020488401191	0.290419989441	0.086383282704	0.121182877399	-0.023674498620	0.027794158994	-0.065567543106	0.000201999710	0.999937277100	N\A	0.044258514436	0.072675230273	0.065518451111	0.096929865130	0.077585307118	0.159222664252	0.045364180588	0.045277544220	0.047107429362	0.048748348914	0.047819368847	35	10	-0.651115230186	Global Trend	
1950000	516.063265	1	0.881021266783	0.555822236007	-0.009791809170	0.010102930423	0.087927873769	0.001990512575	0.279597126600	0.047517495404	0.076761929166	0.021254985077	0.021237180763	-0.072119971506	0.000096454498	0.983808797274	N\A	0.028152039108	0.062616042738	0.056632353053	0.099523958255	0.076600399454	0.115966025612	0.030390090035	0.029303443806	0.036576610281	0.036812083711	0.032968744116	37	8	-0.015108073221	Global Trend	
