Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  MED_d1_m3-glob-004.txt
Log File Name:                   MED_d1_m3-glob-004.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            233539781
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   MED_d1_m3-glob-004.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.275310
Restrictions:
    Beta-1                       None
    Beta-2                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.67 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      3
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	No RJ Local Node	No RJ LS Betas	Global Trend	
1000000	509.233421	1	22.647350060118	0.719299177107	-0.029944151298	0.000131625582	0.983719092357	N\A	0.007247172921	0.001920168163	8	16	-0.438459255895	Global Trend	
1050000	507.250791	1	29.272720462829	0.691393593316	-0.024036710412	0.000132357818	0.977715687510	N\A	0.008763385975	0.002221783956	4	15	-0.533468304824	Global Trend	
1100000	496.484100	1	22.061822137078	0.689515338796	-0.023343543320	0.000141958349	0.973236430024	N\A	0.009939271639	0.002317411565	6	11	-0.396440373781	Global Trend	
1150000	503.339893	1	26.754387119918	0.695474954325	-0.025540089698	0.000136106749	0.974188968453	N\A	0.009660258526	0.002294311106	6	13	-0.490240077628	Global Trend	
1200000	514.942723	1	23.363475507048	0.662201969799	-0.020481289486	0.000127386053	0.975423397552	N\A	0.009472934568	0.002213095036	5	15	-0.391653164238	Global Trend	
1250000	513.447858	1	35.199857742276	0.657599792038	-0.020668985524	0.000127606358	0.972741409812	N\A	0.009843121135	0.002341097247	8	16	-0.590140892393	Global Trend	
1300000	499.068675	1	28.103236859645	0.730596814033	-0.033503678570	0.000138613284	0.981559703954	N\A	0.007729020966	0.002115915779	4	14	-0.562520779197	Global Trend	
1350000	504.742443	1	27.998521329460	0.717673241316	-0.029793603375	0.000134545815	0.977852163204	N\A	0.008819053427	0.002216120731	5	14	-0.543763478522	Global Trend	
1400000	508.190917	1	24.959384836036	0.717574502770	-0.029280526127	0.000132172642	0.979247947038	N\A	0.008621785941	0.002153834083	5	15	-0.483449118456	Global Trend	
1450000	515.745326	1	22.191430297793	0.690718106047	-0.028037175882	0.000126702920	0.979119487950	N\A	0.008119645664	0.002007631897	7	19	-0.395203287697	Global Trend	
