Species_TTOL	MED	rest_of_brain	BOD	BOD2
Anourosorex_squamipes	1.644	3.0789623596587	1.307	1.708249
Atelerix_algirus	2.535	3.0789623596587	2.867	8.219689
Blarina_brevicauda	1.633	3.0789623596587	1.267	1.605289
Chrysochloris_asiatica	1.767	3.0789623596587	1.69	2.8561
Chrysochloris_stuhlmanni	1.833	3.0789623596587	1.626	2.643876
Crocidura_attenuata	1.511	3.0789623596587	0.968	0.937024
Crocidura_flavescens	1.777	3.0789623596587	1.467	2.152089
Crocidura_hildegardeae	1.497	3.0789623596587	0.996	0.992016
Crocidura_denti	1.626	3.0789623596587	1.079	1.164241
Crocidura_russula	1.458	3.0789623596587	1.049	1.100401
Crocidura_suaveolens	1.431	3.0789623596587	1.013	1.026169
Cryptotis_parvus	1.479	3.0789623596587	0.991226075692495	0.982529133132744
Desmana_moschata	2.605	3.0789623596587	2.646	7.001316
Echinops_telfairi	1.956	3.0789623596587	1.942	3.771364
Echinosorex_gymnura	2.794	3.0789623596587	2.921	8.532241
Erinaceus_europaeus	2.525	3.0789623596587	2.929	8.579041
Euroscaptor_micrura	1.887	3.0789623596587	1.617	2.614689
Galemys_pyrenaicus	2.168	3.0789623596587	1.778	3.161284
Geogale_aurita	1.531	3.0789623596587	1	1
Hemicentetes_semispinosus	2.068	3.0789623596587	2.062	4.251844
Hemiechinus_auritus	2.268	3.0789623596587	2.371	5.621641
Hylomys_suillus	2.098	3.0789623596587	1.756	3.083536
Limnogale_mergulus	2.309	3.0789623596587	1.964	3.857296
Microgale_dobsoni	1.769	3.0789623596587	1.504	2.262016
Microgale_talazaci	1.924	3.0789623596587	1.683	2.832489
Micropotamogale_lamottei	2.13	3.0789623596587	1.808	3.268864
Micropotamogale_ruwenzorii	2.297	3.0789623596587	1.986	3.944196
Myosorex_sclateri	1.665	3.0789623596587	1.23	1.5129
Neomys_anomalus	1.534	3.0789623596587	1.037	1.075369
Neomys_fodiens	1.656	3.0789623596587	1.182	1.397124
Oryzorictes_hova	1.785	3.0789623596587	1.645	2.706025
Parascalops_breweri	1.873	3.0789623596587	1.731	2.996361
Potamogale_velox	2.859	3.0789623596587	2.791	7.789681
Ruwenzorisorex_suncoides	1.74	3.0789623596587	1.262	1.592644
Scalopus_aquaticus	2.074	3.0789623596587	2.061	4.247721
Scutisorex_somereni	1.919	3.0789623596587	1.792	3.211264
Setifer_setosus	2.257	3.0789623596587	2.373	5.631129
Solenodon_paradoxus	2.674	3.0789623596587	2.826	7.986276
Sorex_alpinus	1.496	3.0789623596587	1.033	1.067089
Sorex_araneus	1.464	3.0789623596587	0.987	0.974169
Sorex_cinereus	1.236	3.0789623596587	0.633	0.400689
Sorex_fumeus	1.354	3.0789623596587	0.924	0.853776
Sorex_hoyi	1.037	3.0789623596587	0.42	0.1764
Sorex_minutus	1.176	3.0789623596587	0.633	0.400689
Suncus_etruscus	1.045	3.0789623596587	0.762	0.580644
Suncus_murinus	1.736	3.0789623596587	1.529	2.337841
Sylvisorex_granti	1.332	3.0789623596587	0.591	0.349281
Suncus_megalura	1.428	3.0789623596587	0.74	0.5476
Talpa_europaea	1.981	3.0789623596587	1.908	3.640464
Tenrec_ecaudatus	2.499	3.0789623596587	2.935	8.614225
Aepyprymnus_rufescens	3.004321	3.0789623596587	3.392697	11.510392933809
Antechinus_flavipes	1.965672	3.0789623596587	1.568202	2.459257512804
Antechinus_minimus	2.0103	3.0789623596587	1.724276	2.973127724176
Bettongia_gaimardi	2.963504	3.0789623596587	3.176091	10.087554040281
Bettongia_penicillata	2.882126	3.0789623596587	3.079181	9.481355630761
Burramys_parvus	2.023664	3.0789623596587	1.770852	3.135916805904
Cercartetus_nanus	1.827369	3.0789623596587	1.278754	1.635211792516
Dactylopsila_trivirgata	2.634779	3.0789623596587	2.643453	6.987843763209
Dasycercus_cristicauda	2.304921	3.0789623596587	2	4
Dasyuroides_byrnei	2.349278	3.0789623596587	2.146128	4.605865392384
Dasyurus_geoffroii	2.81961	3.0789623596587	2.69897	7.2844390609
Dasyurus_hallucatus	2.555699	3.0789623596587	3.021189	9.127582973721
Dendrolagus_lumholtzi	3.220892	3.0789623596587	3.78533	14.3287232089
Distoechurus_pennatus	2.067443	3.0789623596587	1.633468	2.668217707024
Dorcopsis	3.129368	3.0789623596587	3.462398	11.988199910404
Echymipera_kalubu	2.626853	3.0789623596587	2.819544	7.949828367936
Gymnobelideus_leadbeateri	2.300813	3.0789623596587	2.041393	4.167285380449
Hypsiprymnodon_moschatus	2.639486	3.0789623596587	2.748188	7.552537283344
Isoodon_macrourus	2.656769	3.0789623596587	3.033424	9.201661163776
Isoodon_obesulus_obesulus	2.677424	3.0789623596587	3.004321	9.025944671041
Osphranter_antilopinus	3.603469	3.0789623596587	4.537819	20.591801276761
Macropus_giganteus	3.580469	3.0789623596587	4.563481	20.825358837361
Notamacropus_irma	3.26529	3.0789623596587	3.819544	14.588916367936
Notamacropus_parma	3.11059	3.0789623596587	3.536558	12.507242487364
Notamacropus_parryi	3.404834	3.0789623596587	4.170262	17.391085148644
Osphranter_robustus	3.515344	3.0789623596587	4.409933	19.447509064489
Osphranter_rufus	3.362963	3.0789623596587	4.494155	20.197429164025
Thylamys_pallidior	1.853698	3.0789623596587	1.477121	2.181886448641
Marmosops_impavidus	2.073718	3.0789623596587	1.845098	3.404386629604
Monodelphis_brevicaudata	2.05038	3.0789623596587	1.924279	3.702849669841
Notoryctes_typhlops	1.818226	3.0789623596587	1.531479	2.345427927441
Petauroides_volans	2.697752	3.0789623596587	3.09691	9.5908515481
Petaurus_australis	2.634578	3.0789623596587	2.748188	7.552537283344
Petaurus_breviceps	2.334856	3.0789623596587	2.113943	4.468755007249
Petaurus_norfolcensis	2.429752	3.0789623596587	2.374748	5.639428063504
Petrogale_inornata	3.138934	3.0789623596587	3.628389	13.165206735321
