Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  MED_d1_m7-glob-004.txt
Log File Name:                   MED_d1_m7-glob-004.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            1780848424
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   MED_d1_m7-glob-004.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.275310
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.67 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Node	No RJ LS Betas	Global Trend	
1000000	605.912300	1	-0.137943396734	0.583172765504	0.243797703467	-0.004209453558	0.000077281990	0.982352591060	N\A	0.026019242694	0.024062778409	0.003085950561	47	7	0.000291034452	Global Trend	
1050000	641.670179	1	-0.165352098805	0.637536451569	0.235221716089	-0.014739278074	0.000123324535	0.988255227654	N\A	0.023450783269	0.019787440102	0.002548037835	41	8	-0.003301975434	Global Trend	
1100000	602.547264	1	-0.090582635205	0.554946449158	0.295610440606	-0.019243103327	0.000106121393	0.983183076779	N\A	0.024927473299	0.021880546431	0.002587977840	45	5	-0.000080803412	Global Trend	
1150000	617.206509	1	-0.228585462462	0.637815289372	0.253828655924	-0.016128960762	0.000098960717	0.986803363025	N\A	0.023546816951	0.020931115559	0.002651943517	36	8	-0.001377369254	Global Trend	
1200000	632.334894	1	-0.106491744563	0.578141897491	0.248811395558	-0.008001166822	0.000078713580	0.984025041685	N\A	0.024137509657	0.020398111775	0.002692909868	36	8	0.001251835863	Global Trend	
1250000	601.512315	1	-0.374928168924	0.659706310921	0.231473236472	-0.014914950678	0.000133816188	0.980668243460	N\A	0.027451733872	0.024342612325	0.003047609870	41	8	0.004375890877	Global Trend	
1300000	606.016558	1	-0.217494181347	0.635765512887	0.229396429804	-0.012060040921	0.000045218401	0.980922921991	N\A	0.027035871753	0.023822885784	0.003085289352	37	6	-0.000090755977	Global Trend	
1350000	611.204051	1	-0.190272369324	0.619368257305	0.235548664095	-0.012224654555	0.000039460359	0.981138834296	N\A	0.025849559023	0.023258187316	0.003186760634	46	5	-0.000916354161	Global Trend	
1400000	608.676344	1	-0.195028700132	0.637815642578	0.221405741158	-0.009809338998	0.000061475674	0.983540397526	N\A	0.024561427135	0.020914923959	0.002394363564	48	6	-0.002612885659	Global Trend	
1450000	628.215961	1	-0.063659864039	0.603636641886	0.252389646752	-0.013224586273	0.000155263356	0.985125063155	N\A	0.024963820587	0.022346068186	0.002607948729	30	9	-0.004979889024	Global Trend	
1500000	627.562868	1	-0.324837949653	0.664945959564	0.207211446760	-0.012519803584	0.000054277321	0.984822207393	N\A	0.023526804040	0.021189336716	0.002757840728	40	7	0.001050665003	Global Trend	
1550000	609.513523	1	-0.068043140676	0.533085382111	0.322138808876	-0.017613980219	0.000046315757	0.984631566113	N\A	0.025563903634	0.021697089130	0.002935766772	38	9	0.000078801081	Global Trend	
1600000	622.457325	1	-0.391040672172	0.722331143641	0.155557288712	-0.006840416332	0.000065033365	0.982466744469	N\A	0.024420237561	0.021527145764	0.002137508069	32	10	0.000246698596	Global Trend	
1650000	638.028617	1	-0.225833101220	0.687068070996	0.180744880707	-0.007500357377	0.000074039003	0.983564725885	N\A	0.024152572152	0.021748384768	0.002690889265	39	10	-0.002680832386	Global Trend	
1700000	620.286874	1	-0.189000137081	0.608259724740	0.244689721574	-0.012054708306	0.000155196294	0.981215671815	N\A	0.027482331742	0.023916478803	0.002899590529	43	7	0.003902302334	Global Trend	
1750000	598.602587	1	-0.378405391159	0.695646310107	0.189638548116	-0.011708783519	0.000092847397	0.979756972716	N\A	0.027163909296	0.023854592933	0.003199609146	39	4	0.000333422977	Global Trend	
1800000	613.340364	1	-0.250421579601	0.587088643141	0.255871238410	-0.011080606741	0.000062940760	0.982312541265	N\A	0.023499514822	0.021597229111	0.002716068061	43	8	0.001241091193	Global Trend	
1850000	617.725214	1	-0.206729334829	0.614227947150	0.265392907843	-0.015697693914	0.000070162061	0.984174924467	N\A	0.026722408245	0.022860457506	0.002712280557	40	6	-0.001077098222	Global Trend	
1900000	620.284415	1	-0.113092098412	0.562457447368	0.294768198060	-0.016411776565	0.000070180886	0.986221102075	N\A	0.026463572825	0.022872633135	0.003180033064	56	8	-0.000502884608	Global Trend	
1950000	625.202688	1	-0.137419217968	0.584278468336	0.277359886428	-0.014306334282	0.000114460714	0.985576908662	N\A	0.022906475041	0.020212600254	0.002674279400	45	11	-0.001805098580	Global Trend	
2000000	637.123897	1	-0.303878871060	0.689030970502	0.191509498145	-0.010932490379	0.000068463900	0.985525023771	N\A	0.024608875032	0.021004135790	0.002522074102	39	13	-0.000558362276	Global Trend	
2050000	621.455019	1	-0.207099308031	0.665374009188	0.187372738483	-0.006732448164	0.000046028711	0.981824250651	N\A	0.025539027954	0.023083037039	0.002977005543	42	9	-0.001419883922	Global Trend	
