Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  MED_d1_m8-VR-005.txt
Log File Name:                   MED_d1_m8-VR-005.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            1932368563
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   MED_d1_m8-VR-005.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Branch	No RJ Local Node	
1000000	600.460781	1	-0.497993924193	0.835451935899	-0.036051350164	0.197589181283	0.000056786118	0.985060524219	N\A	0.036614946776	0.004637099347	0.016909158634	51	25	
1050000	609.645058	1	-0.331563729846	0.743613360807	-0.027009286108	0.213972564554	0.000035204348	0.982531791022	N\A	0.039128009226	0.004629518641	0.017981603243	53	30	
1100000	617.429463	1	-0.364803068852	0.762948405681	-0.029169156643	0.219654187313	0.000059357771	0.980967712045	N\A	0.035054152416	0.003938981988	0.015194891411	63	29	
1150000	606.486152	1	-0.348531463985	0.743497446010	-0.025939692694	0.220897584511	0.000062050831	0.983844614823	N\A	0.034228062448	0.003848282708	0.015353396822	48	19	
1200000	608.130811	1	-0.357462585015	0.764384094003	-0.032339578335	0.220633079110	0.000045785899	0.984080475351	N\A	0.024010803315	0.003354165438	0.012590840977	54	35	
1250000	597.522161	1	-0.631653484868	0.892077986528	-0.041719613019	0.186782691136	0.000118591001	0.979744341407	N\A	0.034564737113	0.004495950777	0.017584054381	46	26	
1300000	593.328701	1	-0.458232662143	0.809301313587	-0.036786625841	0.231694111466	0.000061567817	0.980668953539	N\A	0.036324134454	0.004357725126	0.016401185199	53	27	
1350000	603.532497	1	-0.493572965567	0.841638919835	-0.036822215320	0.194877561185	0.000066376489	0.982764686335	N\A	0.030458113504	0.003773000824	0.013974586893	56	33	
1400000	600.340534	1	-0.218383203507	0.662750659393	-0.024392531789	0.266920795780	0.000046253665	0.981522089552	N\A	0.037241031775	0.003892816619	0.015531895308	45	37	
1450000	600.273960	1	-0.458247122427	0.797305809661	-0.036378021311	0.228109548883	0.000053618781	0.982828013796	N\A	0.036312152907	0.003968350136	0.015757486167	37	26	
