Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  MED_d1_m8-fab-005.txt
Log File Name:                   MED_d1_m8-fab-005.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            3952842963
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   MED_d1_m8-fab-005.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.275310
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.67 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Node	No RJ LS Betas	
1000000	625.062368	1	-0.381633863023	0.761625526025	-0.031285572284	0.231703591964	0.000042584375	0.980698277521	N\A	0.037395287725	0.004536089722	0.016981722495	41	4	
1050000	629.347088	1	-0.349999932034	0.764707181724	-0.030969720051	0.211253652443	0.000070288726	0.981882208257	N\A	0.038781114252	0.004560108154	0.017799447935	31	4	
1100000	633.389282	1	-0.314723850434	0.730409704500	-0.026583585115	0.227955356190	0.000096588347	0.984502896514	N\A	0.035560318374	0.004033168530	0.015708925187	43	4	
1150000	637.204576	1	-0.453412702351	0.811660455052	-0.033757908587	0.205347293667	0.000080447463	0.985027868565	N\A	0.032119245204	0.003617167937	0.015829205350	41	3	
1200000	622.352449	1	-0.473374059151	0.801773586715	-0.029706227683	0.197130723392	0.000081416974	0.980082319412	N\A	0.037032009138	0.004385818836	0.016102575428	31	4	
1250000	610.156335	1	-0.480790685668	0.825179169175	-0.036466401685	0.208819715165	0.000083903340	0.980442754939	N\A	0.038674651302	0.004561159292	0.017408795352	36	3	
1300000	623.291956	1	-0.471830596133	0.826284069349	-0.042267697914	0.229809803080	0.000066983099	0.983527496634	N\A	0.033021288864	0.004287366706	0.015723624098	41	5	
1350000	615.333171	1	-0.454251454924	0.810390391191	-0.036689371240	0.215096059103	0.000050962027	0.981294649253	N\A	0.039207267613	0.004702849731	0.017052281134	36	2	
1400000	614.073128	1	-0.412444165863	0.774271750845	-0.030488341641	0.219997541315	0.000042854353	0.984249890126	N\A	0.034837363263	0.003618810523	0.015170203293	41	2	
1450000	605.953957	1	-0.374277028336	0.761914736820	-0.034492975248	0.238113792657	0.000058965932	0.982794474005	N\A	0.035383002306	0.004024691143	0.015486959713	34	3	
1500000	619.286878	1	-0.439787287691	0.802477406396	-0.038554405586	0.224584275935	0.000046351146	0.984106777301	N\A	0.036333531050	0.003844471194	0.015415299608	33	3	
1550000	608.077989	1	-0.404886153018	0.787671278085	-0.035561053158	0.221836211628	0.000048824951	0.980581830606	N\A	0.034393559963	0.003837631190	0.014807609734	39	2	
1600000	619.186570	1	-0.508452803932	0.820257626619	-0.034128666029	0.212615561529	0.000099960767	0.983165956052	N\A	0.034321904820	0.004678745825	0.017304291013	42	4	
1650000	618.078485	1	-0.510375953731	0.843711628958	-0.039323249215	0.206058509928	0.000051121381	0.984112246404	N\A	0.032536593097	0.003513100807	0.014385113565	49	3	
1700000	614.650545	1	-0.419629566244	0.777101480512	-0.031346076037	0.215647268851	0.000058219263	0.980167568379	N\A	0.037773220726	0.004160945761	0.016025432911	39	5	
1750000	610.168700	1	-0.573239467022	0.855964729527	-0.040750408114	0.216871588374	0.000050098713	0.982196901382	N\A	0.036962659291	0.003952172560	0.016027029876	45	3	
1800000	610.336894	1	-0.390496880039	0.766844148808	-0.028037451832	0.206327505552	0.000071591140	0.980184416858	N\A	0.037823276807	0.004797003993	0.017395715994	36	3	
1850000	617.120450	1	-0.451242894967	0.790939173183	-0.025823946706	0.189398079641	0.000076884736	0.981101290566	N\A	0.036445021074	0.004283984647	0.016012693967	36	3	
1900000	617.617455	1	-0.450242062376	0.797302403633	-0.034225595424	0.220226917455	0.000071124026	0.982942065123	N\A	0.035371406403	0.003851359875	0.015228003508	31	3	
1950000	628.024699	1	-0.295189245817	0.738539236691	-0.027984472030	0.212000829894	0.000093645596	0.981164235408	N\A	0.036568424186	0.004377036247	0.016594809071	24	3	
2000000	635.623441	1	-0.367739497798	0.738289571955	-0.026192190311	0.227534297221	0.000044957500	0.981240079687	N\A	0.036289193700	0.004006622857	0.015811988672	37	4	
2050000	642.228962	1	-0.428808798534	0.779105401561	-0.033582625096	0.231531446021	0.000051073242	0.984530150613	N\A	0.034423412507	0.004596478771	0.015958689411	35	7	
2100000	634.325361	1	-0.431669309730	0.793648321430	-0.032731499910	0.211588380838	0.000047244422	0.981189381628	N\A	0.036217520780	0.003891847594	0.015018686881	40	11	
2150000	635.400213	1	-0.497132736923	0.823975598525	-0.032114573949	0.197228299060	0.000087816540	0.983430709722	N\A	0.035734047698	0.004270876016	0.015660896290	40	9	
2200000	642.418808	1	-0.413269586644	0.779116441014	-0.032168263952	0.220375665270	0.000057947948	0.982835176030	N\A	0.032833499747	0.003837462354	0.014367156895	39	10	
2250000	653.755328	1	-0.362493078802	0.758304080205	-0.029112568766	0.219934913785	0.000060470468	0.983784443949	N\A	0.032868773011	0.003750728527	0.014907865224	42	9	
2300000	650.361868	1	-0.419684008581	0.779756137744	-0.033387318024	0.228521158228	0.000055992837	0.987898612625	N\A	0.032501997178	0.003615820281	0.014783751356	34	9	
2350000	625.061376	1	-0.402527131506	0.778869258625	-0.025656026916	0.186775714197	0.000078170435	0.981034618008	N\A	0.034837443692	0.003833371361	0.015495842318	37	6	
2400000	628.521283	1	-0.453966762470	0.787599088120	-0.025672867254	0.194908070883	0.000128280095	0.982673217271	N\A	0.037109741505	0.004438572567	0.016125427187	33	6	
2450000	625.697028	1	-0.532796395240	0.855407969357	-0.041870188892	0.213874157995	0.000087321433	0.983881607683	N\A	0.035348867177	0.004716006002	0.017616350781	39	5	
2500000	635.753182	1	-0.466964019349	0.820267387849	-0.035794224473	0.203405732428	0.000105123194	0.983894630995	N\A	0.033436404366	0.004038698961	0.016386639785	30	5	
2550000	621.899518	1	-0.383067853806	0.752545101453	-0.024128322549	0.204997770555	0.000071226833	0.985228887338	N\A	0.036254997293	0.004239994463	0.017138285739	40	4	
2600000	621.721184	1	-0.443299892354	0.790937997261	-0.036599763338	0.240653373064	0.000079768949	0.984175775735	N\A	0.030435011629	0.002977866051	0.012576009033	38	3	
2650000	630.083999	1	-0.474205989317	0.817584905575	-0.037661639096	0.222191294882	0.000055567259	0.988033153345	N\A	0.027327149437	0.003318096541	0.013683555232	44	3	
2700000	620.344196	1	-0.458758968523	0.815934796657	-0.032166916424	0.187651571645	0.000099136264	0.982224685445	N\A	0.035489866224	0.004003395806	0.015628190914	38	3	
2750000	635.884814	1	-0.438290517139	0.824946591217	-0.037357591146	0.208115705290	0.000058670910	0.981273587612	N\A	0.034984236452	0.003989464794	0.015615263708	50	7	
2800000	624.585676	1	-0.415398103910	0.776958772378	-0.033773394099	0.234246410248	0.000099395723	0.986710752503	N\A	0.035641398906	0.004335888504	0.016676683905	45	4	
2850000	616.569601	1	-0.295795324724	0.723471020186	-0.022653233211	0.211030641256	0.000057003004	0.981633845959	N\A	0.036826433332	0.004953799937	0.017602634700	43	4	
2900000	638.553640	1	-0.356236097260	0.762047075520	-0.030127424118	0.217168371264	0.000055895168	0.982228197836	N\A	0.034900161615	0.004254810489	0.015521906575	37	7	
2950000	625.271482	1	-0.308581618651	0.731311495707	-0.032406712274	0.251556318694	0.000025803360	0.982838836188	N\A	0.034274434123	0.003411960485	0.014306834055	37	4	
3000000	629.307373	1	-0.491851542446	0.794700230724	-0.032974623519	0.217971587582	0.000058968960	0.982688163693	N\A	0.036701054248	0.004061383288	0.016229140525	40	4	
3050000	627.718431	1	-0.481550388794	0.817534437722	-0.034799751890	0.205627266388	0.000074046842	0.982691133034	N\A	0.034143389458	0.003739989104	0.014580579951	39	2	
3100000	621.126637	1	-0.504749987300	0.832655156458	-0.030932441472	0.178124518923	0.000065818539	0.982422308200	N\A	0.034628565130	0.003861885749	0.015314329676	36	3	
3150000	621.519856	1	-0.450731462303	0.795653120653	-0.033659939695	0.222499492255	0.000054672850	0.985975867121	N\A	0.034981630226	0.003792132764	0.015224097868	42	2	
3200000	638.261111	1	-0.371089552437	0.756972179902	-0.031269473777	0.230339625426	0.000094364266	0.983741964265	N\A	0.033172802684	0.004097222159	0.015611152233	42	2	
3250000	628.375865	1	-0.496613897180	0.864843910420	-0.039500696248	0.188735568570	0.000030248654	0.982301542383	N\A	0.033327009513	0.003419925447	0.014246818140	39	5	
3300000	621.917169	1	-0.376357107162	0.763920710014	-0.032686782459	0.227219094918	0.000034611116	0.979928703727	N\A	0.034209864186	0.003553713766	0.014567887572	39	4	
3350000	629.542100	1	-0.408526937143	0.791443638788	-0.030363087624	0.200321815572	0.000100442792	0.981096103515	N\A	0.032993359273	0.004338171448	0.015396113485	32	3	
3400000	631.724234	1	-0.450048493180	0.815083719435	-0.029750038878	0.190508207259	0.000192791362	0.982939982567	N\A	0.035294479511	0.004293298862	0.015211475954	54	7	
