Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  MED_d1_m9-VR-002.txt
Log File Name:                   MED_d1_m9-VR-002.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            3292896384
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   MED_d1_m9-VR-002.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      5
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	No RJ Local Branch	No RJ Local Node	
1000000	600.215488	1	-0.550453856425	0.869753336451	-0.040551325871	0.197607940627	-0.000679435028	0.000105818713	0.981107871032	N\A	0.074501663516	0.010243132564	0.033134417829	0.005876890792	42	26	
1050000	590.710027	1	-0.539018727892	0.896050261754	-0.041971774542	0.137390687344	0.009264163763	0.000050593389	0.985227104323	N\A	0.071397753231	0.010520172217	0.031437820087	0.006527706820	56	36	
1100000	600.449818	1	-0.636189289034	0.947511427903	-0.049462515693	0.136684963972	0.009929806818	0.000033758162	0.981421550187	N\A	0.066769882628	0.009185161402	0.030602886191	0.005449666787	43	35	
1150000	602.435157	1	-0.262473949196	0.695807304662	-0.028775533105	0.263940361999	-0.002037283859	0.000045402190	0.980855065967	N\A	0.056851280320	0.007116107638	0.028603369304	0.004851788445	40	29	
1200000	599.409379	1	-0.343100156272	0.718452736021	-0.020877096941	0.238883474473	-0.006281719771	0.000064457621	0.982096763059	N\A	0.057912058471	0.007193445922	0.029087984589	0.004802616233	39	33	
1250000	610.919872	1	-0.394034129666	0.763178935760	-0.026370099893	0.200747532638	0.001605134173	0.000040194809	0.981757530673	N\A	0.064164934187	0.008793557334	0.029484832583	0.005439417721	49	31	
1300000	601.850816	1	-0.314509980792	0.719354449197	-0.027017464787	0.242948801034	-0.002310426822	0.000051097164	0.980067558679	N\A	0.054104007224	0.006309379111	0.028133852686	0.004389408172	52	26	
1350000	602.466487	1	-0.219756302930	0.657060394544	-0.025368076120	0.293723160152	-0.004912872080	0.000046239641	0.978346532766	N\A	0.075696597376	0.010341354778	0.034716251108	0.005981446657	57	22	
1400000	591.596152	1	-0.424478357566	0.795466261368	-0.028446825278	0.187299717170	0.000900310121	0.000060545494	0.980602914824	N\A	0.062605813625	0.008710792703	0.029192451319	0.004960338228	37	28	
1450000	600.626983	1	-0.420164447112	0.792429045914	-0.026472204319	0.176626941265	0.000602049184	0.000097474597	0.982912705395	N\A	0.067790956505	0.008180169363	0.032426796946	0.005111823923	56	30	
