Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  MED_d1_m9-fab-003.txt
Log File Name:                   MED_d1_m9-fab-003.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            479271784
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   MED_d1_m9-fab-003.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.275310
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.67 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      5
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	No RJ Local Node	No RJ LS Betas	
1000000	626.177835	1	-0.519735965183	0.851534100438	-0.039369352000	0.194483337144	0.001193207688	0.000081325465	0.982752264027	N\A	0.058747731707	0.006160723353	0.029966922439	0.004198531018	47	2	
1050000	624.656585	1	-0.277396648902	0.698237987375	-0.027143771541	0.272745696274	-0.005878826584	0.000033019627	0.982627805944	N\A	0.064346727297	0.007507537558	0.031697565289	0.004604662018	40	4	
1100000	626.186517	1	-0.283935288965	0.701207801418	-0.028663308227	0.266188317726	-0.002034805731	0.000060290589	0.981238846195	N\A	0.065644363600	0.008138781277	0.031605922684	0.004924072844	41	4	
1150000	630.100993	1	-0.389754715631	0.799226940086	-0.037243386464	0.190163059937	0.006550579764	0.000065938036	0.983841739514	N\A	0.060040690172	0.007552795810	0.028108639896	0.004739984422	45	4	
1200000	626.293175	1	-0.570548032535	0.883845779271	-0.040280101176	0.147435143971	0.010812798175	0.000067663506	0.984477405863	N\A	0.064396207861	0.007911215147	0.031436018629	0.005029530540	38	6	
1250000	632.336030	1	-0.518095576306	0.880774479009	-0.041915777934	0.141795740872	0.010275473767	0.000044691521	0.982485290538	N\A	0.055487204378	0.006585914023	0.027712829965	0.004440363487	43	5	
1300000	624.800512	1	-0.491970207459	0.830240725005	-0.036028277582	0.197532643124	0.001101152671	0.000070571380	0.980547122287	N\A	0.059930332011	0.007605757067	0.028734142855	0.004811161924	37	4	
1350000	617.361558	1	-0.732001562646	1.024748424812	-0.062598307563	0.105540357267	0.017914914854	0.000077295338	0.980923408971	N\A	0.059450933074	0.007314542084	0.029672508263	0.004650320300	37	3	
1400000	623.226412	1	-0.223252550479	0.656317701407	-0.018595195290	0.258125672363	-0.004616033089	0.000068266482	0.981951301035	N\A	0.063416358531	0.007856361021	0.030571702017	0.004712058425	46	2	
1450000	626.937195	1	-0.604489280108	0.907232169098	-0.043475538005	0.172088806397	0.003216639650	0.000091331647	0.984209609351	N\A	0.059968025808	0.007950228779	0.028042034722	0.004877319757	43	4	
