Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  MED_d1_m9-glob-004.txt
Log File Name:                   MED_d1_m9-glob-004.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            4275248147
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   MED_d1_m9-glob-004.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.275310
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.67 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      5
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	No RJ Local Node	No RJ LS Betas	Global Trend	
1000000	621.436095	1	-0.511423122820	0.821889937564	-0.034722654748	0.216423448501	-0.003178125989	0.000063685124	0.999888960065	N\A	0.019890857272	0.002561062477	0.021441432344	0.003690336014	31	5	-0.293185675076	Global Trend	
1050000	625.735326	1	-0.510139646763	0.818317450457	-0.037624580836	0.183566005322	0.008008958213	0.000079952504	0.983287176476	N\A	0.032951734928	0.004094220592	0.023134809584	0.003671589210	31	5	0.015243022106	Global Trend	
1100000	627.864053	1	-0.596200100114	0.862523670834	-0.039699594251	0.176003803278	0.003822676953	0.000061612253	0.999279553052	N\A	0.020888229940	0.002910357915	0.022664925885	0.004015574653	39	5	-0.131948549176	Global Trend	
1150000	623.538199	1	-0.401612768380	0.814436162656	-0.042256500546	0.208231658042	0.007339116047	0.000094747747	0.989325785274	N\A	0.024289965108	0.002861184878	0.021520305817	0.003489347071	50	4	-0.024456725660	Global Trend	
1200000	614.947272	1	-0.523496619943	0.881536628459	-0.043483156233	0.153777790811	0.009200097547	0.000067838863	0.994870387813	N\A	0.022424304166	0.002707950908	0.022664016669	0.003566976184	36	3	-0.036118772226	Global Trend	
1250000	620.580710	1	-0.494157097820	0.847651675687	-0.039242978475	0.187814860897	0.004061268140	0.000077937709	0.999799302950	N\A	0.019695545633	0.002309096668	0.021121675923	0.003290559506	31	6	0.261820794194	Global Trend	
1300000	625.743762	1	-0.539767145310	0.869683770031	-0.037636029108	0.161758175545	0.005309905180	0.000048816646	0.984337560703	N\A	0.045240288957	0.006127640132	0.025245910953	0.004035877389	56	4	-0.003432660375	Global Trend	
1350000	630.872228	1	-0.482221524692	0.866535439537	-0.041816067084	0.169388915403	0.008727629294	0.000071899929	0.999185633196	N\A	0.017802065018	0.002475754368	0.018692813762	0.003088237979	40	3	0.087843748091	Global Trend	
1400000	608.352828	1	-0.510259371508	0.845370836582	-0.036071215106	0.188728866648	0.002338819656	0.000058755316	0.999446400143	N\A	0.020162363606	0.002624665139	0.021758681449	0.003609908494	51	1	-0.094713014487	Global Trend	
1450000	613.412753	1	-0.518867279712	0.864283846998	-0.039875667310	0.167694610344	0.006986315844	0.000080433684	0.995678696187	N\A	0.022009263085	0.003095788971	0.023016901016	0.003823448576	43	3	-0.040300714415	Global Trend	
